"Default Config","Cấu hình mặc định"
"Save Config","Lưu Config"
"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"Use system value","Sử dụng giá trị hệ thống"
"Use Default","Sử dụng mặc định"
"Use Website","Sử dụng Website"
"Add","Thêm"
"Delete File","Xoá tập tin"
"Search String","Chuỗi tìm kiếm"
"Design Theme","Thiết kế chủ đề"
"Add \Exception","Thêm\Bớt"
"-- No Theme --","--Không có chủ đề--"
"Enable","Kích hoạt"
"Disable","Vô hiệu hóa"
"Configuration","Cấu hình"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 nên triển khai %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Giá trị bạn đặt đã bị khóa. Để thay đổi giá trị, sử dụng --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Hệ thống"
"You saved the configuration.","Bạn đã lưu lại cấu hình."
"Something went wrong while saving this configuration:","Một cái gì đó đã đi sai trong khi lưu điều kiện này:"
"Page not found.","Không tìm thấy trang."
"Please specify the admin custom URL.","Xin vui lòng ghi rõ quản trị viên tuỳ chỉnh URL."
"Invalid %1. %2","Không hợp lện %1. %2"
"Value must be a URL or one of placeholders: %1","Giá trị phải là một URL hoặc một trong các phần giữ chỗ: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Chỉ định một URL hoặc đường dẫn bắt đầu với phần giữ chỗ: %1, và kết thúc bằng ""/""."
"%1 An empty value is allowed as well.","%1 một giá trị rỗng cũng được cho phép."
"Specify a fully qualified URL.","Chỉ định một URL đầy đủ."
"Selected allowed currency ""%1"" is not available in installed currencies.","Lựa chọn tiền tệ được cho phép ""%1"" không có sẵn trong đơn vị tiền tệ được cài đặt."
"Default display currency ""%1"" is not available in allowed currencies.","Tiền tệ Hiển thị mặc định ""%1"" không có sẵn trong đơn vị tiền tệ được cho phép."
"Sorry, we haven't installed the base currency you selected.","Xin lỗi, chúng tôi đã không cài đặt các loại tiền tệ cơ bản bạn đã chọn."
"We can't save the Cron expression.","Chúng tôi không thể lưu các quy tắc cronjob."
"Sorry, we haven't installed the default display currency you selected.","Xin lỗi, chúng tôi đã không cài đặt mặc định Hiển thị đơn vị tiền tệ bạn chọn."
"Sorry, the default display currency you selected is not available in allowed currencies.","Xin lỗi, Hiển thị mặc định tiền tệ bạn chọn không có sẵn trong đơn vị tiền tệ được cho phép."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Tên người gửi ""%1"" không hợp lệ. Xin vui lòng chỉ sử dụng các ký tự và dấu cách có thể nhìn thấy."
"Maximum sender name length is 255. Please correct your settings.","Độ dài tên người gửi tối đa là 255. Xin vui lòng sửa các cài đặt của bạn."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Các tập tin bạn tải lên vượt quá giới hạn kích thước của máy chủ của %1 kilobyte."
"The base directory to upload file is not specified.","Thư mục cơ bản để tải lên tập tin không được chỉ định."
"The specified image adapter cannot be used because of: %1","Bộ chuyển đổi hình ảnh được chỉ định không thể được sử dụng vì: %1"
"Default scope","Phạm vi mặc định"
"Base currency","Tiền tệ cơ sở"
"Display default currency","Hiển thị tiền tệ mặc định"
"website(%1) scope","phạm vi trang web (%1)"
"store(%1) scope","phạm vi cửa hàng (%1)"
"Currency ""%1"" is used as %2 in %3.","Đơn vị tiền tệ ""%1"" được sử dụng như là %2 ở %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Only Once (version upgrade)","Chỉ một lần (Phiên bản nâng cấp)"
"Never (production)","Không bao giờ (sản xuất)"
"Bcc","Bcc"
"Separate Email","Email riêng biệt"
"%1 (Default)","%1 (mặc định)"
"title","tiêu đề"
"No","Không"
"Optional","Tùy chọn"
"Required","Bắt buộc"
"Website","Trang web"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"HTTP (unsecure)","HTTP (không đảm bảo)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Có (302 tìm thấy)"
"Yes (301 Moved Permanently)","Có (301 di chuyển vĩnh viễn)"
"Yes","Có"
"Specified","Quy định"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Cấu hình dạng mẫu bộ trường vô tính cần thiết để có thể sao chép các trường vô tính"
"%1: Instance of %2 is expected, got %3 instead","%1: thực thể của %2 được mong đợi, lấy %3 thay vào đó"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Đó là kiểu không được xác định '."
"'Object is not instance of ' .","' Đối tượng không phải là trường hợp của'."
"Filesystem is not writable.","Không thể ghi vào tập tin hệ thống."
"Some error","Có lỗi xảy ra"
"Some message","Một số tin nhắn"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Lệnh này không có sẵn bây giờ."
"The ""test/test/test"" path does not exists","Đường dẫn ""test/test/test"" không tồn tại"
"error message","thông báo lỗi"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","một số tiền tố"
