"Add configurable attributes to the current Attribute Set (""%1"")","Přidat konfigurovatelné atributy k aktuální sadě atributů (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Přidat konfigurovatelné atributy do nové sady atributů odvozené od aktuální"
"New attribute set name","Název nové sady atributů"
"Add configurable attributes to the existing Attribute Set","Přidat konfigurovatelné atributy k existující sadě atributů"
"Choose existing Attribute Set","Zvolte axistující sadu atributů"
"Save","Uložit"
"Save & New","Uložit & nový"
"Save & Duplicate","Uložit & duplikovat"
"Save & Close","Uložit a zavřít"
"Configurations","Konfigurace"
"Attribute Values","Hodnoty atributů"
"Bulk Images &amp; Price","Hromadné obrázky a ceny"
"Create New Attribute","Vytvořit nový atribut"
"Select Attributes","Zvolte atributy"
"Summary","Souhrn"
"Choose an Option...","Zvolte možnost..."
"This attribute is used in configurable products.","Tento atribut je použit v konfigurovatelných produktech."
"Product has been already attached","Product has been already attached"
"Parent product does not have configurable product options","Parent product does not have configurable product options"
"Child product does not have attribute value %1","Child product does not have attribute value %1"
"Product with specified sku: %1 is not a configurable product","Product with specified sku: %1 is not a configurable product"
"Requested option doesn't exist","Requested option doesn't exist"
"Requested option doesn't exist: %1","Requested option doesn't exist: %1"
"Cannot delete variations from product: %1","Cannot delete variations from product: %1"
"Cannot delete option with id: %1","Cannot delete option with id: %1"
"Option with id ""%1"" not found","Volba s ID ""%1"" nebyla nalezena"
"Something went wrong while saving option.","Something went wrong while saving option."
"Only implemented for configurable product: %1","Only implemented for configurable product: %1"
"Option attribute ID is not specified.","ID volby atributu není zadáno."
"Option label is not specified.","Titulek volby není zadán."
"Option values are not specified.","Hodnota volby není zadána."
"Value index is not specified for an option.","Index hodnoty volby není zadán."
"Product with id ""%1"" does not contain required attribute ""%2"".","Produkt s ID ""%1"" neobsahuje povinný atribut ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Produkty ""%1"" a %2 mají stejné hodnoty sad atributů."
"You can't add the item to shopping cart.","Položku nelze do nákupního košíku přidat."
"You need to choose options for your item.","Je třeba zvolit jeden z parametrů produktu."
"Some product variations fields are not valid.","Některé údaje varianty nejsou správně zvoleny."
"Configuration must have specified attributes","Configuration must have specified attributes"
"Type %1 is not an instance of %2","Typ %1 není instancí %2"
"Choose Affected Attribute Set","Zvolte sadu atributů"
"Add configurable attributes to the current Attribute Set","Přidat konfigurovatelné atributy k aktuální sadě atributů"
"Confirm","Potvrdit"
"New Attribute Set Name","Název nové sady atributů"
"Select Associated Product","Zvolte přiřazený produkt"
"Done","Hotovo"
"Choose a new product to delete and replace the current product configuration.","Zvolte nový produkt, aby došlo k vymazání a nahrazení stávající konfigurace produktů."
"For better results, add attributes and attribute values to your products.","Pro lepší výsledky přidejte atributy a hodnoty atributů k vašim produktům."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Konfigurovatelné výrobky umožňují zákazníkům vybrat možnosti (např.: barva košile). Pro každou konfiguraci potřebujete vytvořit jednotlivý produkt (např.: produkt pro každou barvu)."
