"Add configurable attributes to the current Attribute Set (""%1"")","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current"
"New attribute set name","Uus atribuudi kogumi nimi"
"Add configurable attributes to the existing Attribute Set","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile"
"Choose existing Attribute Set","Vali olemasolev atribuudikogum"
"Save","Salvesta"
"Save & New","Salvesta & Uus"
"Save & Duplicate","Salvesta & Duplikeeri"
"Save & Close","Salvesta & Sulge"
"Configurations","Seadistused"
"Attribute Values","Atribuudi väärtused"
"Bulk Images &amp; Price","Bulk Images &amp; Price"
"Create New Attribute","Loo uus atribuut"
"Select Attributes","Vali atribuudid"
"Summary","Kokkuvõte"
"Choose an Option...","Tehke valik..."
"This attribute is used in configurable products.","Seda atribuut on kasutuses konfigureeritavate toodetega."
"Product has been already attached","Product has been already attached"
"Parent product does not have configurable product options","Parent product does not have configurable product options"
"Child product does not have attribute value %1","Child product does not have attribute value %1"
"Product with specified sku: %1 is not a configurable product","Product with specified sku: %1 is not a configurable product"
"Requested option doesn't exist","Requested option doesn't exist"
"Requested option doesn't exist: %1","Requested option doesn't exist: %1"
"Cannot delete variations from product: %1","Cannot delete variations from product: %1"
"Cannot delete option with id: %1","Cannot delete option with id: %1"
"Option with id ""%1"" not found","Option with id ""%1"" not found"
"Something went wrong while saving option.","Something went wrong while saving option."
"Only implemented for configurable product: %1","Only implemented for configurable product: %1"
"Option attribute ID is not specified.","Option attribute ID is not specified."
"Option label is not specified.","Option label is not specified."
"Option values are not specified.","Option values are not specified."
"Value index is not specified for an option.","Value index is not specified for an option."
"Product with id ""%1"" does not contain required attribute ""%2"".","Product with id ""%1"" does not contain required attribute ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Products ""%1"" and ""%2"" have the same set of attribute values."
"You can't add the item to shopping cart.","You can't add the item to shopping cart."
"You need to choose options for your item.","Peate tegema toote juures valikud."
"Some product variations fields are not valid.","Some product variations fields are not valid."
"Configuration must have specified attributes","Configuration must have specified attributes"
"Type %1 is not an instance of %2","Type %1 is not an instance of %2"
"Choose Affected Attribute Set","Choose Affected Attribute Set"
"Add configurable attributes to the current Attribute Set","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile"
"Confirm","Kinnita"
