"Add configurable attributes to the current Attribute Set (""%1"")","Adăugați atribute configurabile la setul de atribute curent (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Adăugați atribute configurabile la noul setul de atribute bazat pe actualul"
"New attribute set name","Nume st atribute nou"
"Add configurable attributes to the existing Attribute Set","Adăugați atribute configurabile la setul de atribute existent"
"Choose existing Attribute Set","Alegeți set atribute existent"
"Save","Salvare"
"Save & New","Salvare și creare nou"
"Save & Duplicate","Salvare și Dublare"
"Save & Close","Salvare și închidere"
"Configurations","Configurații"
"Attribute Values","Valori atribute"
"Bulk Images &amp; Price","Imagini colective &amp; Preț"
"Create New Attribute","Creați atribut nou"
"Select Attributes","Selectați atribute"
"Summary","Titlul recenziei"
"Choose an Option...","Alegeți o opțiune.."
"This attribute is used in configurable products.","Acest atribut este folosit la produsele configurabile."
"Product has been already attached","Produsul a fost deja atașat"
"Parent product does not have configurable product options","Produsul părinte nu are opțiuni configurabile ale produsului"
"Child product does not have attribute value %1","Copil produs nu are valoarea atributului %1"
"Product with specified sku: %1 is not a configurable product","Produs cu sku specificat: %1 nu este un produs configurabil"
"Requested option doesn't exist","Opţiunea solicitată nu există"
"Requested option doesn't exist: %1","Opțiunea solicitată nu există: %1"
"Cannot delete variations from product: %1","Nu se pot sterge variatiile de la produs: %1"
"Cannot delete option with id: %1","Nu se poate șterge opțiunea cu id: %1"
"Option with id ""%1"" not found","Opțiunea cu id-ul ""%1"" nu a fost găsită"
"Something went wrong while saving option.","Ceva nu a mers bine în timpul salvării opțiunii."
"Only implemented for configurable product: %1","Implementat numai pentru produse de tip pachet"
"Option attribute ID is not specified.","ID atribut opțiune nespecificat."
"Option label is not specified.","Etichetă opțiune nespecificată."
"Option values are not specified.","Valori opțiune nespecificate."
"Value index is not specified for an option.","Indexul de valoare nu este specificat pentru o opțiune."
"Product with id ""%1"" does not contain required attribute ""%2"".","Produsul cu id-ul ""%1"" nu conține atributul necesar ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Produsele ""%1"" și ""%2"" au același set de valori de atribut"
"You can't add the item to shopping cart.","Nu puteți adăuga articolul la coșul de cumpărături."
"You need to choose options for your item.","Trebuie să alegeți opțiunile pentru elementul dvs."
"Some product variations fields are not valid.","Unele câmpuri de variații ale produsului nu sunt valide."
"Configuration must have specified attributes","Configurarea trebuie să aibă atribute specificate"
"Type %1 is not an instance of %2","Tipul %1 nu este o instanță de %2"
"Choose Affected Attribute Set","Alegere set atribute afectat"
"Add configurable attributes to the current Attribute Set","Adăugați atribute configurabile la setul de atribute curent"
"Confirm","Confirmați"
"New Attribute Set Name","Nume set de atribute nou"
"Select Associated Product","Selectați Produse asociate"
"Done","Efectuat"
"Choose a new product to delete and replace the current product configuration.","Alegeți un produs nou pentru a șterge și înlocui configurația curentă a produsului."
"For better results, add attributes and attribute values to your products.","Pentru rezultate mai bune, adăugați atribute și valori de atribute produselor dumneavoastră."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Produsele configurabile permit clienților să aleagă opțiuni (Ex: culoare tricou). Trebuie să creați un produs simplu pentru fiecare configurație (Ex: un produs pentru fiecare culoare)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Configurațiile nu pot fi create pentru un produs standard cu fișiere descărcabile. Pentru a crea configurații, eliminați mai întâi toate fișierele descărcabile."
"Add Products Manually","Adăugați produse manual"
"Create Configurations","Creați configurații"
"Current Variations","Variații curente"
"Image","Imagine"
"Name","Numeric"
"SKU","Cod"
"Price","Preț"
"Quantity","Cantitate"
"Weight","Greutate"
"Status","Statut"
"Attributes","Atribute"
"Actions","Actiuni"
"Custom options with price type ""percent"" is not available for configurable product.","Opțiunile personalizate cu tipul de preț ""procent"" nu sunt disponibile pentru produsul configurabil."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Acest grup conține atribute folosite la produse configurabile. Mutați aceste atribute în alt grup și încercați din nou."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Acest atribut este folosit la produse configurabile. Nu îl puteți șterge din setul de atribute."
"Associated Products","Produse asociate"
"Step 2: Attribute Values","Pasul 2: Valori atribute"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Selectați valorile din fiecare atribut pentru a include în acest produs. Fiecare combinație unică de valori creează un produs SKU unic."
"Sort Variations","Sortați variații"
"Options","Opțiuni"
"Select All","Selectare toate"
"Deselect All","Deselectează tot"
"Remove Attribute","Elimină atributul"
"Save Option","Salvați opțiune"
"Remove Option","Eliminați opțiunea"
"Create New Value","Creați valoare nouă"
"Step 3: Bulk Images, Price and Quantity","Pasul 3: Imagini în masă, Preț și cantitate"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Bazat pe selectia ta %1 produse noi vor fi create. Foloseste acest pas pentru a personaliza imaginile si pretul pentru produsele tale noi."
"Images","Imagini"
"Apply single set of images to all SKUs","Aplicați un singur set de imagini la toate unitățile de înmagazinare"
"Apply unique images by attribute to each SKU","Aplicați imagini unice prin atribut pentru fiecare unitate de înmagazinare"
"Skip image uploading at this time","Omiteți încărcarea imaginii în acest moment"
"Browse Files...","Răsfoiți fișiere..."
"Browse to find or drag image here","Răsfoire pentru a găsi sau glisează imaginea aici"
"Remove image","Elimină imaginea"
"Hidden","Ascuns"
"Alt Text","Alt Text"
"Role","Rol"
"Image Size","Dimensiune imagine"
"{size}","{size}"
"Image Resolution","Rezoluție imagine"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Ascundeți din pagina produsului"
"Select attribute","Selectați atribute"
"Select","Selectare"
"Apply single price to all SKUs","Aplică un preț la toate SKU-urile"
"Apply unique prices by attribute to each SKU","Aplicați prețuri unice prin atribut la fiecare unitate de înmagazinare"
"Skip price at this time","Omiteți preț în acest moment"
"Apply single quantity to each SKUs","Aplicați o singură cantitate la fiecare unitate de înmagazinare"
"Apply unique quantity by attribute to each SKU","Aplicați cantitate unică prin atribut la fiecare unitate de înmagazinare"
"Skip quantity at this time","Omiteți cantitatea în acest moment"
"Step 1: Select Attributes","Pasul 1: Selectați atribute"
"Selected Attributes:","Atribute selectate:"
"Step 4: Summary","Pasul 4: Cuprins"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Produsele configurabile permit clienților să aleagă opțiuni (Ex: culoare tricou).
            Trebuie să creați un produs simplu pentru fiecare configurație (Ex: un produs pentru fiecare culoare)."
"Edit Configurations","Modificați configurații"
"Upload Image","Încarcă imaginea"
"Upload image","Încarcă imaginea"
"No Image","Nici o imagine"
"Choose a different Product","Alegeți un produs diferit"
"Remove Product","Elimina produs"
"Create Product Configurations","Creați configurații produs"
"Cancel","Anulează"
"As low as","Cel mai scăzut"
"Regular Price","Preț normal"
"New Product Review","Recenzii Produs"
"Here are the products you're about to create.","Aici sunt produsele pe care urmează să le creaţi."
"You created these products for this configuration.","Ați creat aceste produse pentru această configurație."
"Disassociated Products","Produse asociate"
"These products are not associated.","Aceste produse nu sunt asociate."
"Disable Product","Dezactivare produs"
"Enable Product","Activare produs"
"Incl. Tax","Includere taxe"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Un atribut a fost eliminat. Acest atribut nu va mai apărea în configurațiile dumneavoastră."
"Select options for all attributes or remove unused attributes.","Selectați opțiuni pentru toate atributele sau eliminați atributele nefolosite."
"Choose this option to delete and replace extension data for all past configurations.","Alegeți această opțiune pentru a șterge și înlocui datele extensiei pentru toate configurațiile anterioare."
"Please select attribute for {section} section.","Vă rugăm să selectați atributul pentru secțiunea {section}."
"Please fill in the values for {section} section.","Vă rugăm să completați valorile pentru secțiunea {section}."
"Please fill-in correct values.","Vă rugăm să completați valorile corecte."
"Please select image(s) for your attribute.","Vă rugăm să selectați imaginea (imaginii) pentru atributul dvs."
"Please choose image(s).","Te rog alege o imagine (imagini)."
"We could not detect a size.","Nu s-a putut detecta o mărime."
"We don't recognize or support this file extension type.","Nu se recunoaște sau nu se acceptă acest tip de extensie fișier."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Când eliminați sau adăugați un atribut, vom actualiza automat toate configurațiile și va trebui să recreați configurațiile curente manual."
"Please select attribute(s).","Selectați atributul(ele) de atribuire."
"Generate Products","Generare produse"
"Something went wrong.","Ne pare rău, a avut loc o eroare."
"Buy %1 for %2 each and","Cumpără %1 pentru %2 fiecare și fiecare"
"save","salvează"
"Configurable Product Image","Imagine produs configurabilă"
"Select...","Selectați..."
"ID","ID"
"Thumbnail","Miniatură"
"Attribute Code","Cod atribut nevalid"
"Attribute Label","Etichetă atribut"
"Required","Necesar"
"System","Sistem"
"Visible","Vizibil"
"Scope","Domeniu"
"Searchable","Căutat"
"Comparable","Comparabil"
"As low as: ","Începând de la: "
"productFactory is already set","productFactory este deja setat"
"catalogProductMediaConfig is already set","catalogProductMediaConfig este deja setat"
"Could not update option with id ""%1""","Nu se poate șterge opțiunea cu id %1"""
"Product already has this option","Produsul are deja această opțiune"
"The configurable product does not have any variation attribute.","Produsul configurabil nu are nici un atribut de variație."
"Product with id ""%1"" does not exist.","Produsul cu SKU ""%1"" nu există."
"Products ""%1"" and %2 have the same set of attribute values.","Produsele ""%1"" și %2 au același set de valori de atribut"
"Configurable product ""%1"" do not have sub-products","Produsul configurabil ""%1"" nu are subproduse"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selectați valorile din fiecare atribut pentru a include în acest produs. Fiecare combinație unică de valori creează un produs de unire SKU."
"Step 3: Bulk Images, Price, and Quantity","Pasul 3: Imagini în masă, Preț și Cantitate"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","Bazat pe selecțiile tale <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        vor fi create produse noi. Folosește acest pas pentru a personaliza imaginile și prețul pentru noile tale produse."
"Edit role","Editare rol"
"Please, select attribute for the section ","Vă rugăm, selectaţi atributul pentru secţiune "
"Please fill in the values for the section ","Vă rugăm să completaţi valorile pentru secţiune "
"Please, fill correct values","Vă rugăm să completați valorile corecte"
"Please, select image(s) for your attribute","Vă rugăm, selectaţi o imagine (imagini) pentru atributul dvs"
"Please choose image(s)","Te rog alege o imagine"
"Please, select attribute(s)","Vă rugăm, selectaţi atributul/atributele"
"Special Price","Preț special"
"The product is already attached.","Produsul este deja atasat."
"The parent product doesn't have configurable product options.","Produsul părinte nu are opțiuni configurabile ale produsului."
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","Produsul copil nu are valoarea atributului ""%1"". Verifică valoarea şi încearcă din nou."
"The product with the ""%1"" SKU isn't a configurable product.","Produsul cu ""%1"" SKU nu este un produs configurabil."
"The option that was requested doesn't exist. Verify the entity and try again.","Opţiunea solicitată nu există. Verificaţi entitatea şi încercaţi din nou."
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","Opțiunea solicitată nu există. Verificați entitatea si încercați din nou."
"The variations from the ""%1"" product can't be deleted.","Variațiile de la ""%1"" produs nu pot fi șterse."
