"Page not found.","Síða fannst ekki."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Takk fyrir að hafa samband við okkur með athugasemdum og spurningum. Við munum svara þér mjög fljótlega."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Nafn vantar"
"Comment is missing","Athugasemd vantar"
"Invalid email address","Ógilt rafpóstfang"
"* Required Fields","* Required Fields"
"Write Us","Skrifaðu okkur"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"Name","Nafn"
"Email","Rafpóstur"
"Phone Number","Símanúmer"
"What’s on your mind?","What’s on your mind?"
"Submit","Senda"
"Contact Form","Contact Form"
"Phone","Sími"
"Message","Skilaboð"
"Contacts Section","Contacts Section"
"Contacts","Contacts"
"Contact Us","Hafa samband við okkur"
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Nafn: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
