"Page not found.","Sidan kunde inte hittas."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Tack för att du kontaktar oss med dina kommentarer och frågor. Vi kommer svara dig inom kort."
"An error occurred while processing your form. Please try again later.","Ett fel uppstod vid bearbetningen av formuläret. Försök igen senare."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Obligatoriska fält"
"Write Us","Skriv till oss"
"Jot us a note and we’ll get back to you as quickly as possible.","Skicka oss ett mail så återkommer vi till dig så snabbt som möjligt."
"Name","Namn"
"Email","E-post"
"Phone Number","Telefonnummer"
"What’s on your mind?","Vad har du på hjärtat?"
"Submit","Skicka"
"Contact Form","Kontaktformulär"
"Phone","Phone"
"Message","Message"
"Contacts Section","Sektion för kontakter"
"Contacts","Kontakter"
"Contact Us","Kontakta oss"
"Enable Contact Us","Aktivera kontakta oss"
"Email Options","E-postalternativ"
"Send Emails To","Skicka e-postmeddelande till"
"Email Sender","E-postavsändare"
"Email Template","E-postmall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
