"Invalid domain name: %1","Невалидно домейн име: %1"
"Invalid cookie lifetime: %1","Невалидна бисквитка живот: %1"
"Invalid cookie path","Невалиден път за бисквитка

"
"We use cookies to make your experience better.","Ние използваме бисквитки за да може сайта да функционира пълноценно."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Спазвайки директивата за електронните комуникации изискваме Вашето съгласие за използването на бисквитки."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Научете повече</a>."
"Allow Cookies","Разрешаване на бисквитки"
"Cookies are disabled in your browser.","Бисквитките са деактивирани във вашия браузър."
"Default Cookie Settings","Настройки на Бисквитките по подразбиране"
"Cookie Lifetime","Живот на бисквитката"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Път на бисквитката"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Домейн на бисквитката"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Използвайте HTTP само"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Шнимание!</strong>:  Не избирайте ""No"". Това ще компометира сигурноста на потребителя."
"Cookie Restriction Mode","Ограничен режим на Бисквитките"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
