"Invalid domain name: %1","Ungültiger Domain-Name: %1"
"Invalid cookie lifetime: %1","Ungültige Cookie-Gültigkeitsdauer: %1"
"Invalid cookie path","Ungültiger Cookie-Pfad"
"We use cookies to make your experience better.","Wir verwenden Cookies, um Ihre Erfahrungen besser machen."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Um der neuen e-Privacy-Richtlinie zu entsprechen, müssen wir um Ihre Zustimmung bitten, die Cookies zu setzen."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Erfahren Sie mehr</a>."
"Allow Cookies","Cookies setzen"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Cookie-Einstellungen (Voreinstellung)"
"Cookie Lifetime","Cookie-Gültigkeitsdauer"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Cookie Verzeichnis"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Cookie-Domain"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Nur HTTP verwenden"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Cookie Beschränkter Modus"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
