"Invalid domain name: %1","Nome di dominio non valido: %1"
"Invalid cookie lifetime: %1","Durata del cookie non valida"
"Invalid cookie path","Percorso del cookie non valido"
"We use cookies to make your experience better.","Utilizziamo i cookie per rendere migliore la tua esperienza di navigazione."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Per rispettare la nuova direttiva sulla privacy, è necessario chiedere il tuo consenso per impostare i cookie."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Per saperne di più</a>."
"Allow Cookies","Consenti i cookie"
"Default Cookie Settings","Impostazioni cookie predefiniti"
"Cookie Lifetime","Durata cookie"
"Cookie Path","Percorso cookie"
"Cookie Domain","Dominio cookie"
"Use HTTP Only","Uso solo HTTP"
"Cookie Restriction Mode","Modalità di restrizione dei cookie"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Invalid domain name: ' ."
"'Invalid cookie lifetime: ' .","'Invalid cookie lifetime: ' ."
