"Invalid domain name: %1","Ugyldig domenenavn: %1"
"Invalid cookie lifetime: %1","Ugyldig cookie levetid: %1"
"Invalid cookie path","Ugyldig informasjonskapselbane"
"We use cookies to make your experience better.","Vi bruker informasjonskapsler for å gjøre opplevelsen bedre."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","I samsvar med det nye e-direktivet trenger vi å be om tillatelse til å sette informasjonskapsler."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Lær mer</a>."
"Allow Cookies","Tillate informasjonskapsler"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Standardinnstillinger for infokapsler"
"Cookie Lifetime","Informasjonskapsel levetid"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Informasjonskapselbane"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Informasjonskapsel-domene"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Bruk kun HTTP"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Begrenset informasjonskapsel modus"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
