"Invalid domain name: %1","Ogiltig domännamn: %1"
"Invalid cookie lifetime: %1","Ogiltig cookie livstid: %1"
"Invalid cookie path","Ogiltig cookie-sökväg"
"We use cookies to make your experience better.","Vi använder cookies för att göra din upplevelse bättre."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","För att följa det nya direktivet om e-integritet, behöver vi be om ditt medgivande att sätta cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Läs mer</a>."
"Allow Cookies","Tillåt Cookies"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Cookie-inställningar"
"Cookie Lifetime","Cookiens Livstid"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Sökväg för Cookie (Cookie path)"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Cookiedomän"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Använd HTTP endast"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Cookie begränsning-läge"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
