"Invalid domain name: %1","Ogiltig domännamn: %1"
"Invalid cookie lifetime: %1","Ogiltig cookie livstid: %1"
"Invalid cookie path","Ogiltig cookie-sökväg"
"We use cookies to make your experience better.","Vi använder cookies för att göra din upplevelse bättre."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","För att följa det nya direktivet om e-integritet, behöver vi be om ditt medgivande att sätta cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Läs mer</a>."
"Allow Cookies","Tillåt Cookies"
"Default Cookie Settings","Cookie-inställningar"
"Cookie Lifetime","Cookiens Livstid"
"Cookie Path","Sökväg för Cookie (Cookie path)"
"Cookie Domain","Cookiedomän"
"Use HTTP Only","Använd HTTP endast"
"Cookie Restriction Mode","Cookie begränsning-läge"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
