"Invalid domain name: %1","Geçersiz alan adı: %1"
"Invalid cookie lifetime: %1","Geçersiz çerez süresi: %1"
"Invalid cookie path","Geçersiz çerez yolu"
"We use cookies to make your experience better.","Daha iyi bir deneyim için çerez kullanılmaktadır."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Yeni e-Gizlilik direktifine uymak için çerezleri ayarlamanız için onayınızı istemek zorundayız."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Daha fazla</a>."
"Allow Cookies","Çerezlere izin ver"
"Default Cookie Settings","Varsayılan Çerez Ayarları"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez yolu"
"Cookie Domain","Çerez Domaini"
"Use HTTP Only","Sadece HTTP Kullan"
"Cookie Restriction Mode","Web Çerezi Kısıtlama Modu"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
