"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"The current module XML block name is undefined.","El actual nombre del bloque módulo XML está indefinido."
"The current module form model pathname is undefined.","El pathname del modulo de forma actual esta indefinido."
"No","No 	"
"Yes","Sí"
"Use helper with defined EAV entity.","Usar helper con entidad EAV definida."
"Default EAV Form","Formulario EAV predeterminado"
"Please correct the values for minimum and maximum text length validation rules.","Por favor corrige los valores para las reglas de validación de longitud mínima y máxima de texto."
"Please correct the values for minimum and maximum date validation rules.","Por favor corrige los valores para las reglas de validación de fecha mínima y máxima."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Multiple Line","Línea múltiple"
"Date","Fecha"
"Dropdown","Lista desplegable"
"Multiple Select","Selección múltiple"
"Yes/No","Sí/No"
"File (attachment)","Archivo (adjunto)"
"Image File","Archivo de imagen"
"Alphanumeric","Alfanumérico"
"Numeric Only","Sólo numérico"
"Alpha Only","Sólo alfanumérico"
"URL","URL"
"Email","Correo electrónico"
"Strip HTML Tags","Eliminar etiquetas HTML"
"Escape HTML Entities","Escapar de entidades HTML"
"Normalize Date","Normalizar la fecha"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","El código del atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo. El primer carácter debe ser una letra."
"Please correct the value for file extensions.","Por favor, corrija el valor de las extensiones de archivo."
"Alphanumeric with spaces","Alfanuméricos con espacios"
