"[GLOBAL]","[ഗ്ലോബൽ]"
"[WEBSITE]","[വെബ്സൈറ്റ്]"
"[STORE VIEW]","[സ്റ്റോർ വ്യൂ]"
"The current module XML block name is undefined.","നിലവിലെ മൊഡ്യൂൾ എക്സ്എം‌എൽ ബ്ലോക്ക് നാമം നിർ‌വ്വചിച്ചിട്ടില്ല."
"The current module form model pathname is undefined.","നിലവിലെ മൊഡ്യൂൾ ഫോം മോഡൽ പാത്ത് നാമം നിർവചിക്കപ്പെട്ടിട്ടില്ല."
"No","ഇല്ല"
"Yes","അതെ"
"Use helper with defined EAV entity.","നിർവചിക്കപ്പെട്ട EAV എന്റിറ്റി ഉള്ള സഹായി ഉപയോഗിക്കുക."
"Default EAV Form","ഡീഫോൾട് EAV ഫോം"
"Please correct the values for minimum and maximum text length validation rules.","കുറഞ്ഞതും കൂടിയതുമായ വാചക ദൈർ‌ഘ്യ മൂല്യനിർണ്ണയ നിയമങ്ങൾ‌ക്കായി ദയവായി മൂല്യങ്ങൾ‌ ശരിയാക്കുക."
"Please correct the values for minimum and maximum date validation rules.","കുറഞ്ഞതും കൂടിയതുമായ വാചക ദൈർ‌ഘ്യ മൂല്യനിർണ്ണയ നിയമങ്ങൾ‌ക്കായി ദയവായി മൂല്യങ്ങൾ‌ ശരിയാക്കുക."
"Text Field","ടെക്സ്റ്റ് ഫീൽഡ്"
"Text Area","ടെക്സ്റ്റ് ഏരിയ"
"Multiple Line","ഒന്നിലധികം ലൈൻ"
"Date","തീയതി"
"Dropdown","Dropdown"
"Multiple Select","Multiple Select"
"Yes/No","Yes/No"
"File (attachment)","File (attachment)"
"Image File","Image File"
"Alphanumeric","Alphanumeric"
"Numeric Only","Numeric Only"
"Alpha Only","Alpha Only"
"URL","URL"
"Email","Email"
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Entities"
"Normalize Date","Normalize Date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
