"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"The current module XML block name is undefined.","Tên mô-đun XML khối hiện tại là không xác định."
"The current module form model pathname is undefined.","Hiện tại mô-đun mẫu mô hình tên đường dẫn là không xác định."
"No","Không"
"Yes","Có"
"Use helper with defined EAV entity.","Sử dụng công cụ trợ giúp với định nghĩa EAV thực thể."
"Default EAV Form","Hình thức EAV mặc định"
"Please correct the values for minimum and maximum text length validation rules.","Xin vui lòng sửa các giá trị cho văn bản tối thiểu và tối đa chiều dài xác nhận quy tắc."
"Please correct the values for minimum and maximum date validation rules.","Xin vui lòng sửa các giá trị cho các quy tắc xác nhận ngày tối thiểu và tối đa."
"Text Field","Trường văn bản"
"Text Area","Khu vực văn bản"
"Multiple Line","Nhiều dòng"
"Date","Ngày"
"Dropdown","Trình đơn xổ dọc"
"Multiple Select","Nhiều lựa chọn"
"Yes/No","Có/không"
"File (attachment)","Tập tin (file đính kèm)"
"Image File","Tập tin hình ảnh"
"Alphanumeric","Chữ số"
"Numeric Only","Chỉ sử dụng số"
"Alpha Only","Chỉ sử dụng chữ"
"URL","URL"
"Email","Email"
"Strip HTML Tags","Dải HTML Tags"
"Escape HTML Entities","Thoát khỏi HTML Entities"
"Normalize Date","Ngày bình thường"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Mã số thuộc tính không hợp lệ. Xin vui lòng chỉ sử dụng các chữ cái (a-z), số (0-9) hoặc dấu gạch dưới (_) trong lĩnh vực này. Kí tự đầu tiên là chữ."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
