"Sign Out","Αποσύνδεση"
"Sign In","Σύνδεση"
"You are subscribed to our newsletter.","Έχετε εγγραφεί στο ενημερωτικό δελτίο μας."
"You aren't subscribed to our newsletter.","Δεν έχετε εγγραφεί στο ενημερωτικό δελτίο μας."
"You have not set a default shipping address.","Δεν έχετε ορίσει κάποια προεπιλεγμένη διεύθυνση αποστολής."
"You have not set a default billing address.","Δεν έχετε ορίσει κάποια προεπιλεγμένη διεύθυνση χρέωσης."
"Address Book","Βιβλίο Διευθύνσεων"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"region","περιοχή"
"Create Order","Δημιουργία παραγγελίας"
"Save Customer","Αποθήκευση πελάτη"
"Delete Customer","Διαγραφή πελάτη"
"Reset Password","Επαναφορά κωδικού πρόσβασης"
"Are you sure you want to revoke the customer's tokens?","Είστε βέβαιοι ότι θέλετε να ανακαλέσετε διακριτικά του πελάτη;"
"Force Sign-In","Εξαναγκασμένη Σύνδεση"
"New Customer","Νέος πελάτης"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Back","Πίσω"
"Please select","Παρακαλώ επιλέξτε"
"Reset","Επαναφορά"
"ID","ID"
"Product","Προϊόν"
"SKU","Κωδικός"
"Quantity","Ποσότητα"
"Price","Τιμή"
"Total","Σύνολο"
"Action","Ενέργεια"
"Configure","Ρύθμιση"
"Delete","Διαγραφή"
"Shopping Cart from %1","Καλάθι Αγορών από %1"
"Newsletter","Ενημερωτικό δελτίο"
"Newsletter Information","Πληροφορίες Ενημερωτικού Δελτίου"
"Subscribed to Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"Last Date Subscribed","Τελευταία Ημερομηνία Εγγραφής"
"Last Date Unsubscribed","Τελευταία Ημερομηνία Διαγραφής"
"No Newsletter Found","Δεν βρέθηκε κανένα Ενημερωτικό Δελτίο"
"Start date","Ημερομηνία έναρξης"
"End Date","Ημερομηνία λήξης"
"Receive Date","Ημερομηνία Λήψης"
"Subject","Θέμα"
"Status","Κατάσταση"
"Sent","Απεστάλη"
"Cancel","Άκυρο"
"Not Sent","Δεν αποστάλθηκε"
"Sending","Γίνεται αποστολή"
"Paused","Σε παύση"
"View","Προβολή"
"Unknown","Άγνωστο"
"Order","Παραγγελία"
"Purchased","Αγοράστηκαν"
"Bill-to Name","Τιμολόγηση σε Όνομα"
"Ship-to Name","Αποστολή σε Όνομα"
"Order Total","Σύνολο Παραγγελίας"
"Purchase Point","Σημείο Αγοράς"
"Customer View","Προβολή Πελάτη"
"There are no items in customer's shopping cart.","Δεν υπάρχουν αντικείμενα στο καλάθι αγορών του πελάτη."
"Qty","Ποσότητα"
"Confirmed","Επιβεβαιωμένη"
"Confirmation Required","Απαιτείται Επιβεβαίωση"
"Confirmation Not Required","Δεν Απαιτείται Επιβεβαίωση"
"Indeterminate","Απροσδιόριστο"
"The customer does not have default billing address.","Ο πελάτης δεν έχει προεπιλεγμένη διεύθυνση χρέωσης."
"Offline","Χωρίς σύνδεση"
"Online","Σε σύνδεση"
"Never","Ποτέ"
"Unlocked","Ξεκλείδωτο"
"Locked","Κλειδωμένο"
"Deleted Stores","Διαγραμμένα καταστήματα"
"Add Locale","Προσθήκη τοπικών ρυθμίσεων"
"Add Date","Προσθήκη ημερομηνίας"
"Days in Wish List","Ημέρες στη Λίστα Επιθυμιών"
"Unlock","Ξεκλείδωμα"
"No","Όχι"
"Yes","Ναί"
"Delete File","Διαγραφή Αρχείου"
"Download","Λήψη"
"Delete Image","Διαγραφή εικόνας"
"View Full Size","Προβολή πλήρους μεγέθους"
"All countries","Όλες οι χώρες"
"Customer Groups","Ομάδες Πελατών"
"Add New Customer Group","Προσθήκη Νέας Ομάδας Πελατών"
"Save Customer Group","Αποθήκευση Ομάδας Πελατών"
"Delete Customer Group","Διαγραφή Ομάδας Πελατών"
"New Customer Group","Νέα Ομάδα Πελατών"
"Edit Customer Group ""%1""","Επεξεργασία Ομάδας Πελατών ""%1"""
"Group Information","Πληροφορίες Ομάδας"
"Group Name","Όνομα ομάδας"
"Maximum length must be less then %1 characters.","Το μέγιστο μήκος πρέπει να είναι λιγότερο από %1 χαρακτήρες."
"Tax Class","Φορολογική κλάση"
"The customer is now assigned to Customer Group %s.","Ο πελάτης αντιστοιχίζεται τώρα στην ομάδα πελατών %s."
"Would you like to change the Customer Group for this order?","Θα θέλατε να αλλάξετε την ομάδα πελατών για αυτή τη ταξινόμιση;"
"The VAT ID is valid.","Το ΑΦΜ δεν είναι έγκυρο."
"The VAT ID entered (%s) is not a valid VAT ID.","Το ΑΦΜ που εισάγατε (%1) δεν είναι ένα έγκυρο ΑΦΜ."
"The VAT ID is valid. The current Customer Group will be used.","Το ΑΦΜ είναι έγκυρο. Θα χρησιμοποιηθεί η τρέχουσα ομάδα πελατών."
"The VAT ID is valid but no Customer Group is assigned for it.","Το ΑΦΜ είναι έγκυρο, αλλά καμία ομάδα πελατών δεν είναι συνδεδεμένη με αυτό."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Με βάση το ΑΦΜ, ο πελάτης ανήκει στην ομάδα πελατών %s."
"Something went wrong while validating the VAT ID.","Κάτι πήγε στραβά κατά την επικύρωση του ΑΦΜ."
"The customer would belong to Customer Group %s.","Ο πελάτης θα ανήκει στην ομάδα πελατών %s."
"There was an error detecting Customer Group.","Παρουσιάστηκε σφάλμα κατά τον εντοπισμό της ομάδας πελάτη."
"Validate VAT Number","Επικύρωση ΑΦΜ"
"Customer Login","Σύνδεση Πελάτη"
"Create New Customer Account","Δημιουργία λογαριασμού νέου πελάτη"
"Date of Birth","Ημερομηνία γέννησης"
"Bad request.","Ακατάλληλη αίτηση."
"This confirmation key is invalid or has expired.","Αυτό το κλειδί επιβεβαίωσης δεν είναι έγκυρο ή έχει λήξει."
"There was an error confirming the account","Παρουσιάστηκε σφάλμα στην επιβεβαίωση του λογαριασμού"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση αποστολής σας για σωστό υπολογισμό ΦΠΑ."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ."
"Thank you for registering with %1.","Ευχαριστούμε που εγγραφήκατε στο %1."
"Please check your email for confirmation key.","Παρακαλώ ελέγξτε το email σας για υο κλειδί επιβεβαίωσης."
"This email does not require confirmation.","Αυτό το email δεν απαιτεί επιβεβαίωση."
"Wrong email.","Λάθος email."
"Your password reset link has expired.","Ο σύνδεσμος επαναφοράς κωδικού πρόσβασης έχει λήξει."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Θα πρέπει να επιβεβαιώσετε το λογαριασμό σας. Παρακαλώ ελέγξτε το email σας για το σύνδεσμο επιβεβαίωσης ή <a href=""%1"">κάντε κλικ εδώ</a> για ένα νέο σύνδεσμο."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Υπάρχει ήδη ένας λογαριασμός με αυτήν τη διεύθυνση email. Εάν είστε σίγουροι ότι είναι η διεύθυνση email σας, <a href=""%1"">κάντε κλικ εδώ</a> για να πάρετε τον κωδικό σας και να συνδεθείτε στο λογαριασμό σας."
"We can't save the customer.","Δεν είναι δυνατή η αποθήκευση του πελάτη."
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί σας είναι ίδιοι."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση αποστολής σας για σωστό υπολογισμό ΦΠΑ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ."
"Account Information","Πληροφορίες Λογαριασμού"
"You saved the account information.","Αποθηκεύσατε τις πληροφορίες λογαριασμού."
"You did not sign in correctly or your account is temporarily disabled.","Δεν συνδεθήκατε σωστά ή ο λογαριασμός σας έχει απενεργοποιηθεί προσωρινά."
"Password confirmation doesn't match entered password.","Η επιβεβαίωση κωδικού πρόσβασης δεν συμφωνεί με τον εισαχθέντα κωδικό πρόσβασης."
"The password doesn't match this account.","Ο κωδικός πρόσβασης δεν συμφωνεί με αυτόν το λογαριασμό."
"Please correct the email address.","Παρακαλώ διορθώστε τη διεύθυνση email."
"We're unable to send the password reset email.","Δεν ήταν δυνατή η αποστολή email για την επαναφορά του κωδικού πρόσβασης."
"Please enter your email.","Παρακαλώ εισάγετε τη διεύθυνση email σας."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Εάν υπάρχει ένας λογαριασμός που σχετίζεται με %1 θα λάβετε ένα email με ένα σύνδεσμο για επαναφορά του κωδικού πρόσβασης."
"My Account","Ο Λογαριασμός μου"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Αυτός ο λογαριασμός δεν έχει επιβεβαιωθεί. <a href=""%1"">κάντε κλικ εδώ</a> για να στείλετε ξανά το μήνυμα email επιβεβαίωσης."
"An unspecified error occurred. Please contact us for assistance.","Παρουσιάστηκε ένα απροσδιόριστο σφάλμα. Επικοινωνήστε μαζί μας για βοήθεια."
"A login and a password are required.","Απαιτούνται μια σύνδεση και ένας κωδικός πρόσβασης."
"New Password and Confirm New Password values didn't match.","Νέες τιμές κωδικού πρόσβασης και επιβεβαίωσης του νέου κωδικού πρόσβασης δεν ταιριάζουν."
"Please enter a new password.","Παρακαλώ εισάγετε ένα νέο κωδικό πρόσβασης."
"You updated your password.","Ενημερώσατε τον κωδικό πρόσβασής σας."
"Something went wrong while saving the new password.","Κάτι πήγε στραβά κατά την αποθήκευση του νέου κωδικού πρόσβασης."
