"Sign Out","Cerrar sesión"
"Sign In","Iniciar sesión"
"You are subscribed to our newsletter.","Está suscrito a nuestro boletín de noticias."
"You aren't subscribed to our newsletter.","No está suscrito a nuestro boletín de noticias."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"Address Book","Libreta de direcciones"
"Edit Address","Editar dirección"
"Add New Address","Agregar nueva dirección"
"region","región"
"Create Order","Crear pedido"
"Save Customer","Guardar cliente"
"Delete Customer","Eliminar Cliente"
"Reset Password","Restablecer contraseña"
"Are you sure you want to revoke the customer's tokens?","¿Está seguro que desea revocar el token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"New Customer","Nuevo cliente"
"Save and Continue Edit","Guardar y continuar editando"
"Back","Atrás"
"Please select","Por favor, seleccione"
"Reset","Restablecer"
"ID","Número de Identificación (ID)"
"Product","Producto"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Quantity","Cantidad"
"Price","Precio"
"Total","Total"
"Action","Acción"
"Configure","Configurar"
"Delete","Borrar"
"Shopping Cart from %1","Carrito de la compra de %1"
"Newsletter","Boletín de noticias"
"Newsletter Information","Boletín Información"
"Subscribed to Newsletter","Suscrito al boletín de noticias"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de baja"
"No Newsletter Found","Boletín informativo no encontrado"
"Start date","Fecha de inicio"
"End Date","Fecha de fin"
"Receive Date","Fecha de recepción"
"Subject","Asunto"
"Status","Estatus"
"Sent","Enviado"
"Cancel","Cancelar"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","Pausado"
"View","Ver"
"Unknown","Desconocido"
"Order","Encargar"
"Purchased","Comprada"
"Bill-to Name","Nombre de facturación"
"Ship-to Name","Nombre de envío"
"Order Total","Total del pedido"
"Purchase Point","Punto de compra"
"Customer View","Vista cliente"
"There are no items in customer's shopping cart.","No hay productos en la cesta de la compra del cliente."
"Qty","Cantidad"
"Confirmed","Confirmado"
"Confirmation Required","Confirmación necesaria"
"Confirmation Not Required","Confirmación no necesaria"
"Indeterminate","Indeterminado"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"Offline","Fuera de línea"
"Online","En línea"
"Never","Nunca"
"Unlocked","Desbloqueado"
"Locked","Bloqueado"
"Deleted Stores","Tiendas eliminadas"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"Unlock","Desbloquear"
"No","No 	"
"Yes","Sí"
"Delete File","Eliminar archivo"
"Download","Descarga"
"Delete Image","Eliminar imagen"
"View Full Size","Ver tamaño completo"
"All countries","Todos los países"
"Customer Groups","Grupos de cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Save Customer Group","Guardar grupo de clientes"
"Delete Customer Group","Borrar grupo de clientes"
"New Customer Group","Nuevo grupo de clientes"
"Edit Customer Group ""%1""","Editar grupo del cliente ""%1"""
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Maximum length must be less then %1 characters.","Longitud máxima debe ser menor de %1 caracteres."
"Tax Class","Grupo de tributación"
"The customer is now assigned to Customer Group %s.","El cliente está ahora asignado al grupo de clientes %s."
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"The VAT ID is valid.","El ID de IVA es válido."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The VAT ID is valid but no Customer Group is assigned for it.","El identificador de IVA es válido pero no se encuentra asignado a ningún grupo de Clientes."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basado en el ID del IVA, el cliente pertenece al grupo de clientes %s."
"Something went wrong while validating the VAT ID.","Se produjo un error al validar la ID del IVA."
"The customer would belong to Customer Group %s.","El cliente pertenecería al grupo de clientes %s."
"There was an error detecting Customer Group.","Hubo un error al detectar Grupo de Clientes."
"Validate VAT Number","Validar número de IVA"
"Customer Login","Inicio de sesión de cliente"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Date of Birth","Fecha de nacimiento"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","Esta clave de confirmación no es válido o ha caducado."
"There was an error confirming the account","Hubo un problema al confirmar la cuenta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"Thank you for registering with %1.","Gracias por registrarse en %1."
"Please check your email for confirmation key.","Por favor, revise su correo electrónico y busque la clave de confirmación. "
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor compruebe su correo electrónico para el enlace de confirmación o <a href=""%1"">haga clic aquí</a> para un nuevo enlace."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que esa es su dirección de correo electrónico, <a href=""%1"">pulse aquí</a> para conseguir su contraseña y acceder a su cuenta."
"We can't save the customer.","No se puede guardar al cliente."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
