"Sign Out","退出"
"Sign In","登录"
"You are subscribed to our newsletter.","您已订阅我们的最新资讯。"
"You aren't subscribed to our newsletter.","您未订阅我们的最新资讯。"
"You have not set a default shipping address.","您没有设置默认的送货地址。"
"You have not set a default billing address.","您没有设置默认的帐单地址。"
"Address Book","通讯簿"
"Edit Address","更改账单地址"
"Add New Address","添加新地址"
"region","地区"
"Create Order","创建订单"
"Save Customer","保存客户"
"Delete Customer","删除客户"
"Reset Password","重置密码"
"Are you sure you want to revoke the customer's tokens?","你确定你想要撤销客户的令牌?"
"Force Sign-In","强制登录"
"New Customer","新用户"
"Save and Continue Edit","保存并继续编辑"
"Back","返回"
"Please select","请选择"
"Reset","重置"
"ID","编号ID"
"Product","产品"
"SKU","商品编号SKU"
"Quantity","数量"
"Price","价格"
"Total","总额"
"Action","操作"
"Configure","配置"
"Delete","删除"
"Shopping Cart from %1","从 %1 购物车"
"Newsletter","最新资讯"
"Newsletter Information","最新资讯信息"
"Subscribed to Newsletter","订阅最新资讯"
"Last Date Subscribed","订阅期限"
"Last Date Unsubscribed","取消订阅期限"
"No Newsletter Found","未找到最新资讯"
"Start date","开始日期"
"End Date","结束日期"
"Receive Date","接收日期"
"Subject","主题"
"Status","状态"
"Sent","已发送"
"Cancel","取消"
"Not Sent","未发送"
"Sending","发送"
"Paused","已暂停"
"View","查看"
"Unknown","未知"
"Order","Order"
"Purchased","已购买"
"Bill-to Name","收件人姓名"
"Ship-to Name","Ship-to名称"
"Order Total","订单总额"
"Purchase Point","购买点"
"Customer View","客户视图"
"There are no items in customer's shopping cart.","客户的购物车中没有项目。"
"Qty","数量"
"Confirmed","确认"
"Confirmation Required","需要确认"
"Confirmation Not Required","不需确认"
"Indeterminate","不确定"
"The customer does not have default billing address.","客户没有默认的帐单地址。"
"Offline","离线"
"Online","在线"
"Never","永不"
"Unlocked","已解锁"
"Locked","已锁定"
"Deleted Stores","已删除存储区"
"Add Locale","收藏的天数"
"Add Date","添加日期"
"Days in Wish List","天在愿望清单"
"Unlock","解锁​​​​"
"No","否"
"Yes","是"
"Delete File","删除文件"
"Download","下载"
"Delete Image","全尺寸视图"
"View Full Size","查看全部尺寸"
"All countries","所有国家"
"Customer Groups","客户组"
"Add New Customer Group","添加新客户组"
"Save Customer Group","保存客户组"
"Delete Customer Group","删除客户组"
"New Customer Group","新的客户群体"
"Edit Customer Group ""%1""","编辑客户组""%1"""
"Group Information","组信息"
"Group Name","群组名称"
"Maximum length must be less then %1 characters.","最大长度必须小于 %1 个字符。"
"Tax Class","税收类"
"The customer is now assigned to Customer Group %s.","客户现在分配给客户组 %s。"
"Would you like to change the Customer Group for this order?","你想要改变此订单的客户组吗？"
"The VAT ID is valid.","增值税 ID 是有效的。"
"The VAT ID entered (%s) is not a valid VAT ID.","输入的增值税 ID (%s) 不是一个有效增值税 id。"
"The VAT ID is valid. The current Customer Group will be used.","增值税 ID 是有效的。将使用当前的客户组。"
"The VAT ID is valid but no Customer Group is assigned for it.","增值税 ID 是有效的但没有客户组分配给它。"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","基于增值税 ID，客户属于客户组 %s。"
"Something went wrong while validating the VAT ID.","验证增值税 id时出现问题。"
"The customer would belong to Customer Group %s.","客户将属于客户组 %s。"
"There was an error detecting Customer Group.","检测客户组时出错。"
"Validate VAT Number","验证增值税号码"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","出生日期"
"Bad request.","请求有误。"
"This confirmation key is invalid or has expired.","此确认密钥无效或已过期。"
"There was an error confirming the account","确认该帐户时出错"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里点击< a href = "" % 1 "" >来输入你的送货地址，以进行增值税的计算。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里点击< a href = "" % 1 "" >来输入你的账单地址，以进行适当的增值税计算。"
"Thank you for registering with %1.","感谢您注册与 %1。"
"Please check your email for confirmation key.","请检查您的电子邮件以确认。"
"This email does not require confirmation.","这封电子邮件不要求确认。"
"Wrong email.","错误的电子邮件。"
"Your password reset link has expired.","您的密码重置链接已过期。"
