"Customer Address Attributes","Atributy adresy zákazníka"
"Add New Attribute","Přidat nový atribut"
"Save and Continue Edit","Použít"
"Save Attribute","Uložit atribut"
"Delete Attribute","Odstranit atribut"
"Edit Customer Address Attribute ""%1""","Upravit atribut zákazníkovi adresy ""%1"""
"New Customer Address Attribute","Nový atribut zákazníkovi adresy"
"Input Type","Typ vstupu"
"Lines Count","Počet řádků"
"Valid range 2-20","Platný rozsah 2-20"
"Input Validation","Validace vstupu"
"None","Nic"
"Minimum Text Length","Minimální délka textu"
"Maximum Text Length","Maximální délka textu"
"Maximum File Size (bytes)","Maximální velikost souboru (bajty)"
"File Extensions","Přípony souborů"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximální šířka obrázku (px)"
"Maximum Image Height (px)","Maximální výška obrázku (px)"
"Input/Output Filter","Vstupně/výstupní filtr"
"Minimal value","Minimální hodnota"
"Maximum value","Maximální hodnota"
"Add to Column Options","Přidat do volby slouců"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Select ""Yes"" to add this attribute to the list of column options in the customer grid."
"Use in Filter Options","Použít ve volbách filtrování"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Select ""Yes"" to add this attribute to the list of filter options in the customer grid."
"Use in Search Options","Use in Search Options"
"Use in Search Option","Use in Search Option"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Select ""Yes"" to add this attribute to the list of search options in the customer grid."
"Storefront Properties","Nastavení v obchodu"
"Show on Storefront","Zobrazit v obchodě"
"Sort Order","Řadit podle"
"Forms to Use In","Použít ve formuláři"
"Properties","Vlastnosti"
"Manage Label / Options","Správá nadpisů a voleb"
"Attribute Information","Informace o atributu"
"Visible to Customer","Viditelné pro zákazníka"
"No","Ne"
"Yes","Ano"
"Customer Attributes","Atributy zákazníka"
"Edit Customer Attribute ""%1""","Upravit atribut zákazníka ""%1"""
"New Customer Attribute","Nový atribut zákazníka"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Používá se interně. Ujistěte se, že nepoužíváte mezery nebo více než %1 znaků."
"Manage Form Types","Správa typů formulářů"
"New Form Type","Nový typ formuláře"
"Edit Form Type ""%1""","Upravit typ formuláře ""%1"""
"General Information","Všeobecné informace"
"-- Please Select --","-- Vyberte --"
"Based On","Na základě"
"Form Label","Nadpis formuláře"
"All Themes","Všecha témata"
"For Theme","Pro téma"
"Store View","Zobrazení obchodu"
"Form Code","Kód formuláře"
"Form Title","Název formuláře"
"General","Obecné"
"New Fieldset","New Fieldset"
"Save","Uložit"
"Remove","Odstranit"
"Cancel","Zrušit"
"Attributes","Atributy"
"Form Type Information","Form Type Information"
"Type Code","Type Code"
"Label","Štítek"
"Theme","Téma"
"System","Systém"
"Customer","Zákazník"
"Manage Customer Address Attributes","Manage Customer Address Attributes"
"You cannot delete this attribute.","Tento atribut nelze odstranit."
