"Customer Address Attributes","Customer Address Attributes"
"Add New Attribute","Tilføj ny attribut"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Attribute","Gem attribut"
"Delete Attribute","Slet attributten"
"Edit Customer Address Attribute ""%1""","Edit Customer Address Attribute ""%1"""
"New Customer Address Attribute","New Customer Address Attribute"
"Input Type","Input type"
"Lines Count","Lines Count"
"Valid range 2-20","Valid range 2-20"
"Input Validation","Input Validation"
"None","Ingen"
"Minimum Text Length","Minimum Text Length"
"Maximum Text Length","Maximum Text Length"
"Maximum File Size (bytes)","Maximum File Size (bytes)"
"File Extensions","File Extensions"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximum Image Width (px)"
"Maximum Image Height (px)","Maximum Image Height (px)"
"Input/Output Filter","Input/Output Filter"
"Minimal value","Minimal value"
"Maximum value","Maximum value"
"Add to Column Options","Tilføj til kolonne muligheder"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Select ""Yes"" to add this attribute to the list of column options in the customer grid."
"Use in Filter Options","Brug filterindstillingerne"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Select ""Yes"" to add this attribute to the list of filter options in the customer grid."
"Use in Search Options","Use in Search Options"
"Use in Search Option","Use in Search Option"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Select ""Yes"" to add this attribute to the list of search options in the customer grid."
"Storefront Properties","Egenskaber for butiksforside"
"Show on Storefront","Show on Storefront"
"Sort Order","Sorteringsrækkefølge"
"Forms to Use In","Forms to Use In"
"Properties","Egenskaber"
"Manage Label / Options","Manage Label / Options"
"Attribute Information","Atribut information"
"Visible to Customer","Visible to Customer"
"No","Nej"
"Yes","Ja"
"Customer Attributes","Customer Attributes"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute","New Customer Attribute"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette bruges internt. Kontroller, at du ikke bruger mellemrum eller mere end %1 symboler."
"Manage Form Types","Manage Form Types"
"New Form Type","New Form Type"
"Edit Form Type ""%1""","Edit Form Type ""%1"""
"General Information","Generelle informationer"
"-- Please Select --","-- Vælg venligst --"
"Based On","Baseret på"
"Form Label","Form Label"
"All Themes","All Themes"
"For Theme","For Tema"
"Store View","Butiksvisning"
"Form Code","Form Kode"
"Form Title","Form Title"
"General","Generelt"
"New Fieldset","New Fieldset"
"Save","Gem"
"Remove","Fjern"
"Cancel","Annuller"
"Attributes","Attributter"
"Form Type Information","Form Type Information"
"Type Code","Type Kode"
"Label","Etiket"
"Theme","Tema"
"System","System"
"Customer","Kunde"
"Manage Customer Address Attributes","Manage Customer Address Attributes"
"You cannot delete this attribute.","You cannot delete this attribute."
"You deleted the customer address attribute.","You deleted the customer address attribute."
"We can't delete the customer address attribute right now.","We can't delete the customer address attribute right now."
"This attribute no longer exists.","Denne attribut eksisterer ikke længere."
"You cannot edit this attribute.","You cannot edit this attribute."
"Edit Customer Address Attribute","Edit Customer Address Attribute"
"You saved the customer address attribute.","You saved the customer address attribute."
"We can't save the customer address attribute right now.","We can't save the customer address attribute right now."
"An attribute with this code already exists.","Der findes allerede en attribut med denne kode."
"Manage Customer Attributes","Manage Customer Attributes"
"You deleted the customer attribute.","You deleted the customer attribute."
"The attribute no longer exists.","The attribute no longer exists."
"Edit Customer Attribute","Edit Customer Attribute"
"You saved the customer attribute.","You saved the customer attribute."
"We can't save the form type right now.","We can't save the form type right now."
"This system form type cannot be deleted.","This system form type cannot be deleted."
"The form type has been deleted.","The form type has been deleted."
"We can't delete the form type right now.","We can't delete the form type right now."
"Customer Address Registration","Customer Address Registration"
"Customer Account Address","Customer Account Address"
"Customer Registration","Customer Registration"
"Customer Account Edit","Customer Account Edit"
"Admin Checkout","Admin Checkout"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Brug standardværdi"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Fieldset Title"
"Fieldset Code","Fieldset Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","This fieldset is not empty!"
"Choose Website:","Choose Website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"* Required Fields","* Påkrævede felter"
"Contact Information","Kontaktinformation"
"Address","Adresse"
"Street Address","Gade/vejnavn"
"Street Address %1","Gade/vejnavn %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Vælg en region, stat eller provins."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Dette er din standard faktureringsadresse."
"Use as my default billing address","Brug som min standard faktureringsadresse"
"This is your default shipping address.","Dette er din standard betalingssadresse."
"Use as my default shipping address","Brug som min standard forsendelsesadresse"
"Save Address","Gem adresse"
"Go back","Gå tilbage"
"Account Information","Konto Information"
"Change Email","Skift email"
"Change Password","Skift kodeord"
"Change Email and Password","Skift e-mail og adgangskode"
"Email","E-mail"
"Current Password","Nuværende adgangskode"
"New Password","Ny adgangskode"
"Password Strength","Styrken af adgangskoden"
"No Password","Ingen adgangskode"
"Confirm New Password","Bekræft ny adgangskode"
"Personal Information","Personlige informationer"
"Sign Up for Newsletter","Tilmeld nyhedsbrev"
"Address Information","Adresseoplysninger"
"Company","Firma"
"Phone Number","Telefonnummer"
"Sign-in Information","Login-oplysninger"
"Password","Kodeord"
"Confirm Password","Bekræft kodeord"
"Create an Account","Opret en konto"
"Back","Tilbage"
"Customer Address","Kundens adresse"
"Default Values","Standardværdi"
"Fax","Fax"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
