"Customer Address Attributes","Atributos da Morada de Cliente"
"Add New Attribute","Adicionar Novo Atributo"
"Save and Continue Edit","Gravar e Continuar Edição"
"Save Attribute","Gravar Atributo"
"Delete Attribute","Remover Atributo"
"Edit Customer Address Attribute ""%1""","Editar Atributo de Morada de Cliente ""%1"""
"New Customer Address Attribute","Novo Atributo da Morada de Cliente"
"Input Type","Tipo de input"
"Lines Count","Contagem de Linhas"
"Valid range 2-20","Intervalo válido 2-20"
"Input Validation","Validação de Input"
"None","Nenhum"
"Minimum Text Length","Comprimento Mínimo de Texto"
"Maximum Text Length","Comprimento Máximo de Texto"
"Maximum File Size (bytes)","Tamanho Máximo de Ficheiro (bytes)"
"File Extensions","Extensões de Ficheiro"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Largura Máxima da Imagem (px)"
"Maximum Image Height (px)","Altura Máxima da Imagem (px)"
"Input/Output Filter","Filtro de Input/Output"
"Minimal value","Valor mínimo"
"Maximum value","Valor máximo"
"Add to Column Options","Adicionar às Opções de Coluna"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Selecione ""Sim"" para adicionar este atributo à lista de opções de coluna na grelha do cliente."
"Use in Filter Options","Usar nas Opções de Filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Selecione ""Sim"" para adicionar este atributo à lista de opções de filtro na grelha do cliente."
"Use in Search Options","Usar nas Opções de Pesquisa"
"Use in Search Option","Usar na Opção de Pesquisa"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Selecione ""Sim"" para adicionar este atributo à lista de opções de pesquisa na grelha do cliente."
"Storefront Properties","Propriedades da Loja"
"Show on Storefront","Mostar na Loja"
"Sort Order","Ordenação"
"Forms to Use In","Formulários para Uso Em"
"Properties","Propriedades"
"Manage Label / Options","Gerir Etiqueta / Opções"
"Attribute Information","Informações de Atributo"
"Visible to Customer","Visível para o Cliente"
"No","Não"
"Yes","Sim"
"Customer Attributes","Atributos de Cliente"
"Edit Customer Attribute ""%1""","Editar Atributo ""%1"" de Cliente"
"New Customer Attribute","Novo Atributo de Cliente"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isto é usado internamente. Certifique-se que você não usa espaços ou mais do que %1 símbolos."
"Manage Form Types","Gerir Tipos de Formulário"
"New Form Type","Novo Tipo de Formulário"
"Edit Form Type ""%1""","Editar Tipo de Formulário ""%1"""
"General Information","Informação Geral"
"-- Please Select --","-- Por favor, selecione --"
"Based On","Baseado Em"
"Form Label","Etiqueta de Formulário"
"All Themes","Todos os Temas"
"For Theme","Para o Tema"
"Store View","Vista da Loja"
"Form Code","Código do Formulário"
"Form Title","Título do Formulário"
"General","Geral"
"New Fieldset","Novo conjunto de campos"
"Save","Gravar"
"Remove","Eliminar"
"Cancel","Cancelar"
"Attributes","Atributos"
"Form Type Information","Informação do Tipo de Formulário"
"Type Code","Código do Tipo"
"Label","Etiqueta"
"Theme","Tema"
"System","Sistema"
"Customer","Cliente"
"Manage Customer Address Attributes","Gerir Atributos das Moradas dos Clientes"
"You cannot delete this attribute.","Não pode apagar este atributo."
"You deleted the customer address attribute.","Apagou o atributo da morada do cliente."
"We can't delete the customer address attribute right now.","De momento não é possível remover o atributo da morada de cliente."
"This attribute no longer exists.","Este atributo já não existe."
"You cannot edit this attribute.","Não pode editar este atributo."
"Edit Customer Address Attribute","Editar Atributo de Morada de Cliente"
"You saved the customer address attribute.","Gravou o atributo da morada de cliente."
"We can't save the customer address attribute right now.","De momento não é possível guardar o atributo da morada de cliente."
"An attribute with this code already exists.","Já existe um atributo com este código."
"Manage Customer Attributes","Gerir Atributos de Cliente"
"You deleted the customer attribute.","Apagou o atributo de cliente."
"The attribute no longer exists.","Este atributo já não existe."
"Edit Customer Attribute","Editar Atributo de Cliente"
"You saved the customer attribute.","Gravou o atributo de cliente."
"We can't save the form type right now.","De momento não conseguimos gravar o tipo de formulário."
"This system form type cannot be deleted.","Este tipo de formulário de sistema não pode ser apagado."
"The form type has been deleted.","O tipo de formulário foi apagado."
"We can't delete the form type right now.","De momento não é possível apagar o tipo de formulário."
"Customer Address Registration","Registo de Morada de Cliente"
"Customer Account Address","Morada da Conta do Cliente"
"Customer Registration","Registo de Cliente"
"Customer Account Edit","Editar Conta de Cliente"
"Admin Checkout","Admin. Finalizar Compra"
"Use helper with defined EAV entity.","Usar ajudante com a entidade EAV definida."
"Length Only","Apenas Comprimento"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Usar o Valor Pré-definido"
"Fieldset Properties","Propriedades de Conjunto de Campos"
"Fieldset Title","Título de Conjunto de Campos"
"Fieldset Code","Código de Conjunto de Campos"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","Este conjunto de campos não está vazio!"
"Choose Website:","Escolha o Site:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram gravados serão perdidos."
"* Required Fields","* Campos Obrigatórios"
"Contact Information","Informação de Contacto"
"Address","Morada"
"Street Address","Morada"
"Street Address %1","Morada %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Por favor selecione a região, concelho ou distrito."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Esta é a sua morada de faturação pré-definida."
"Use as my default billing address","Usar como morada de faturação pré-definida"
"This is your default shipping address.","Esta é a sua morada de envio pré-definida."
"Use as my default shipping address","Usar como morada de envio pré-definida"
"Save Address","Gravar Morada"
"Go back","Voltar"
"Account Information","Informações da Conta"
"Change Email","Alterar Email"
"Change Password","Alterar Palavra-passe"
"Change Email and Password","Alterar Email e Palavra-passe"
"Email","Correio electrónico"
"Current Password","Palavra-passe Atual"
"New Password","Nova Password"
"Password Strength","Força da Palavra-Passe"
"No Password","Sem palavra-passe"
"Confirm New Password","Confirmar Nova Palavra-passe"
"Personal Information","Informação Pessoal"
"Sign Up for Newsletter","Subscreva a Newsletter"
"Address Information","Informação da Morada"
"Company","Empresa"
"Phone Number","Número de Telefone"
"Sign-in Information","Informação de Login"
"Password","Palavra-passe"
"Confirm Password","Confirmar Palavra-passe"
"Create an Account","Criar uma Conta"
"Back","Voltar"
"Customer Address","Morada do Cliente"
"Default Values","Valores por omissão"
"Fax","Fax"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
