"Current customer does not have access to the resource ""%1""","El cliente actual no tiene acceso al recurso ""%1"""
"Customer id %1 does not exist.","El cliente con id %1 no existe."
"Required parameters are missing: %1","Faltan parámetros requeridos: %1"
"Customer Address %1 is set as default billing address and can not be deleted","La dirección del cliente %1 se establece como dirección de facturación predeterminada y no puede ser eliminada"
"Customer Address %1 is set as default shipping address and can not be deleted","La dirección del cliente %1 se establece como dirección de envío predeterminada y no puede ser eliminada"
"Could not find a address with ID ""%address_id""","No se pudo encontrar una dirección con ID ""%address_id"""
"Current customer does not have permission to address with ID ""%address_id""","El cliente actual no tiene permiso para la dirección id %address_id"""
"The current customer isn't authorized.","El cliente actual no está autorizado."
"Customer with id ""%customer_id"" does not exist.","El cliente con id ""%customer_id"" no existe."
"The account is locked.","Tu cuenta está bloqueada."
"This account isn't confirmed. Verify and try again.","Esta cuenta no está confirmada. Verifique y vuelve a intentarlo."
"A customer with the same email address already exists in an associated website.","Ya existe un cliente con la misma dirección de correo electrónico en un sitio web asociado."
"Provide the current ""password"" to change ""email"".","Proporcione la ""contraseña"" actual para cambiar ""correo electrónico""."
"Specify the ""currentPassword"" value.","Especifique el valor de ""currentPassword""."
"Specify the ""newPassword"" value.","Especifique el valor de ""newPassword""."
"""input"" value should be specified","Se debe especificar el valor de ""input"""
"""model"" value should be specified","Se debe especificar el valor del ""modelo"""
"Address ""id"" value should be specified","Se debe esepcificar el ""id"" de la dirección"
"Specify the ""email"" value.","Especifique el valor de ""email""."
"Specify the ""password"" value.","Especifique el valor de ""contraseña""."
"""Email should be specified","""El Email debe ser especificado"
