"Current customer does not have access to the resource ""%1""","O cliente atual não tem acesso ao recurso ""%1"""
"Customer id %1 does not exist.","O Id do cliente %1 não existe."
"Required parameters are missing: %1","Parâmetros obrigatórios faltando: %1"
"Customer Address %1 is set as default billing address and can not be deleted","O endereço do cliente %1 está definido como endereço de cobrança padrão e não pode ser excluído"
"Customer Address %1 is set as default shipping address and can not be deleted","O endereço do cliente %1 está definido como endereço de entrega padrão e não pode ser excluído"
"Could not find a address with ID ""%address_id""","Não foi possível encontrar um endereço com ID ""%address_id"""
"Current customer does not have permission to address with ID ""%address_id""","Cliente atual não tem permissão para endereço com ID ""%address_id"""
"The current customer isn't authorized.","O cliente atual não está autorizado."
"Customer with id ""%customer_id"" does not exist.","Cliente com id ""%customer_id"" não existe."
"The account is locked.","A conta está bloqueada."
"This account isn't confirmed. Verify and try again.","Esta conta não está confirmada. Verifique e tente novamente."
"A customer with the same email address already exists in an associated website.","Um cliente com o mesmo endereço de e-mail já existe em um site associado."
"Provide the current ""password"" to change ""email"".","Informe a ""senha"" atual para alterar o ""e-mail""."
"Specify the ""currentPassword"" value.","Especifique o valor da ""senhaAtual""."
"Specify the ""newPassword"" value.","Especifique o valor da ""novaSenha""."
"""input"" value should be specified","O valor de ""input"" deve ser especificado"
"""model"" value should be specified","O valor ""model"" deve ser especificado"
"Address ""id"" value should be specified","O valor do endereço ""id"" deve ser especificado"
"Specify the ""email"" value.","Especifique o valor do ""e-mail""."
"Specify the ""password"" value.","Especifique o valor da ""senha""."
"""Email should be specified","O E-mail deve ser especificado"
