"Current customer does not have access to the resource ""%1""","Current customer does not have access to the resource ""%1"""
"Customer id %1 does not exist.","Customer id %1 does not exist."
"Required parameters are missing: %1","Отсутствуют необходимые параметры: %1"
"Customer Address %1 is set as default billing address and can not be deleted","Customer Address %1 is set as default billing address and can not be deleted"
"Customer Address %1 is set as default shipping address and can not be deleted","Customer Address %1 is set as default shipping address and can not be deleted"
"Could not find a address with ID ""%address_id""","Не удалось найти адрес с ID ""%address_id"""
"Current customer does not have permission to address with ID ""%address_id""","Current customer does not have permission to address with ID ""%address_id"""
"The current customer isn't authorized.","Текущий клиент не авторизован."
"Customer with id ""%customer_id"" does not exist.","Клиент с id ""%customer_id"" не существует."
"The account is locked.","Профиль заблокирован."
"This account isn't confirmed. Verify and try again.","Этот профиль не подтвержден. Подтвердите его и повторите попытку."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"Provide the current ""password"" to change ""email"".","Provide the current ""password"" to change ""email""."
"Specify the ""currentPassword"" value.","Укажите значение ""currentPassword""."
"Specify the ""newPassword"" value.","Укажите значение ""newPassword""."
"""input"" value should be specified","Значение ""input"" должно быть указано"
"""model"" value should be specified","Значение ""model"" должно быть указано"
"Address ""id"" value should be specified","Значение адреса ""id"" должно быть указано"
"Specify the ""email"" value.","Укажите значение ""email""."
"Specify the ""password"" value.","Укажите значение ""password""."
"""Email should be specified","""Адрес электронной почты должен быть указан"
