"Segments","شرائح"
"Add Segment","إضافة قسم"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Refresh Segment Data","تحديث بيانات الجزء"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Edit Segment '%1'","تعديل الجزء '%1'"
"New Segment","الجزء الجديد"
"Segment Information","الجزء المتعلق بالمعلومات"
"Conditions","الحالات"
"* applicable to visitors and registered customers","تنطبق على الزوار والعملاء المسجلين"
"General Properties","الخصائص العامة"
"Segment Name","اسم الشريحة"
"Description","الوصف"
"Assigned to Website","ادراج تحت موقع"
"Status","الحاله"
"Active","فعال"
"Inactive","خاملة"
"Apply To","طبق على"
"Visitors and Registered Customers","الزوار والاعضاء"
"Registered Customers","الأعضاء المسجلين"
"Visitors","الزائرين"
"Please save this information to specify segmentation conditions.","الرجاء حفظ هذه المعلومات لتحديد شروط التجزئة."
"Matched Customers (%1)","العملاء المطابقين (%1)"
"ID","التعريف"
"Segment","جزء"
"Website","الموقع"
"Customer Segment Report","تقرير تشريح العميل '%1'"
"Customer Segment Report '%1'","تقرير جزء العميل '%1'"
"Customer Segments Report","تقرير تشريح العميل"
"Back","رجوع"
"From","من"
"To","إلى"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","لقد حذفت التشريح."
"Unable to delete the segment.","غير قادر على حذف هذا التشريح."
"Customer Segments","شريحة العملاء"
"Edit Segment","تعديل تشريح"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","لا يمكننا حفظ الجزء الآن."
"Reports","تقارير"
"Customers","العملاء"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","التفاصيل"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Intersection"
"All","الكل"
"Specified","محدد"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","يحتوي على"
"does not contains","لا يحتوي على"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Conditions Combination","الجمع بين الشروط"
"Customer Address","عنوان العميل"
"Product List","قائمة المنتجات"
"Product History","تاريخ المنتج"
"Products","المنتجات"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","زبون"
"If Customer Addresses match %1 of these Conditions:","في حالة تطابق ""عناوين العملاء"" %1 من هذه الشروط:"
"Address Attributes","سمات العنوان"
"Customer Address %1","عنوان العميل %1"
"Default Address","العنوان الإفتراضي"
"Billing","الفوترة"
"Shipping","الشحن"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","يحتوي على محافظة"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","has"
"does not have","ليس به"
"exists","موجود"
"does not exist","غير موجود"
"Customer %1","العميل %1"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Customer is %1 to newsletter.","العميل %1 في القائمة البريدية."
"subscribed","مشترك"
"not subscribed","غير مشترك"
"Store Credit","نقاط المتجر"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","فترة التاريخ"
"Open Chooser","افتح الاختيارى"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","عنوان الطلب %1"
"Address Type","نوع العنوان"
