"Segments","സെഗ്‌മെന്റുകൾ"
"Add Segment","സെഗ്മെന്റ് ചേർക്കുക"
"Are you sure you want to do this?","ഇത് ചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Refresh Segment Data","സെഗ്മെന്റ് ഡാറ്റ പുതുക്കുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Edit Segment '%1'","സെഗ്മെന്റ് '%1' എഡിറ്റുചെയ്യുക"
"New Segment","പുതിയ സെഗ്മെന്റ്"
"Segment Information","സെഗ്മെന്റ് വിവരങ്ങൾ"
"Conditions","വ്യവസ്ഥകൾ"
"* applicable to visitors and registered customers","* സന്ദർശകർക്കും രജിസ്റ്റർ ചെയ്ത ഉപയോക്താക്കൾക്കും ബാധകമാണ്"
"General Properties","പൊതു പ്രോപ്പർട്ടികൾ"
"Segment Name","സെഗ്‌മെന്റിന്റെ പേര്"
"Description","വിവരണം"
"Assigned to Website","വെബ്‌സൈറ്റിലേക്ക് നിയുക്തമാക്കി"
"Status","സ്റ്റാറ്റസ്"
"Active","സജീവമാണ്"
"Inactive","നിഷ്‌ക്രിയം"
"Apply To","ബാധകമാണ്"
"Visitors and Registered Customers","സന്ദർശകരും രജിസ്റ്റർ ചെയ്ത ഉപഭോക്താക്കളും"
"Registered Customers","രജിസ്റ്റർ ചെയ്ത ഉപഭോക്താക്കൾ"
"Visitors","സന്ദർശകർ"
"Please save this information to specify segmentation conditions.","വിഭജന വ്യവസ്ഥകൾ വ്യക്തമാക്കാൻ ദയവായി ഈ വിവരങ്ങൾ സംരക്ഷിക്കുക."
"Matched Customers (%1)","പൊരുത്തപ്പെടുന്ന ഉപഭോക്താക്കൾ (%1)"
"ID","ഐഡി"
"Segment","സെഗ്മെന്റ്"
"Website","വെബ് സൈറ്റ്"
"Customer Segment Report","ഉപഭോക്തൃ സെഗ്‌മെന്റ് റിപ്പോർട്ട്"
"Customer Segment Report '%1'","ഉപഭോക്തൃ സെഗ്‌മെന്റ് റിപ്പോർട്ട് '%1'"
"Customer Segments Report","ഉപഭോക്തൃ സെഗ്‌മെന്റ് റിപ്പോർട്ട്"
"Back","പിന്നിലേക്കു"
"From","മുതൽ"
"To","വരെ"
"Please request the correct customer segment.","ശരിയായ ഉപഭോക്തൃ വിഭാഗത്തിന് അഭ്യർത്ഥിക്കുക."
"You deleted the segment.","നിങ്ങൾ സെഗ്മെന്റ് ഇല്ലാതാക്കി."
"Unable to delete the segment.","സെഗ്മെന്റ് ഇല്ലാതാക്കാൻ കഴിയില്ല."
"Customer Segments","ഉപഭോക്തൃ വിഭാഗങ്ങൾ"
"Edit Segment","സെഗ്മെന്റ് എഡിറ്റുചെയ്യുക"
"Segment Customers matching error","സെഗ്മെന്റ് ഉപയോക്താക്കൾ പൊരുത്തപ്പെടുന്ന പിശക്"
"You saved the segment.","നിങ്ങൾ സെഗ്മെന്റ് സേവ് ചെയ്തു."
"We can't save the segment right now.","ഞങ്ങൾക്ക് ഇപ്പോൾ സെഗ്മെന്റ് സേവ് ചെയ്യാൻ കഴിയില്ല."
"Reports","റിപ്പോർട്ടുകൾ"
"Customers","ഉപഭോക്താക്കൾ"
"Viewing combined ""%1"" report from segments: %2.","സെഗ്‌മെന്റുകളിൽ നിന്നുള്ള സംയോജിത ""%1"" റിപ്പോർട്ട് കാണുന്നു: %2."
"Details","വിവരങ്ങൾ"
"The Customer Segment data has been refreshed.","ഉപഭോക്തൃ സെഗ്‌മെന്റ് ഡാറ്റ പുതുക്കി."
"Union","യൂണിയൻ"
"Intersection","ഇന്റർസെക്ഷൻ"
"All","എല്ലാം"
"Specified","വ്യക്തമാക്കിയ"
"Applies to All of the Specified Customer Segments","എല്ലാ നിർദ്ദിഷ്ട ഉപഭോക്തൃ സെഗ്‌മെന്റുകൾക്കും ബാധകമാണ്"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","contains"
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Conditions Combination","Conditions Combination"
"Customer Address","Customer Address"
"Product List","Product List"
"Product History","Product History"
"Products","Products"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Customer"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Address Attributes"
"Customer Address %1","Customer Address %1"
"Default Address","Default Address"
"Billing","Billing"
"Shipping","Shipping"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Has State/Province"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","has"
"does not have","does not have"
"exists","exists"
"does not exist","does not exist"
"Customer %1","Customer %1"
"Newsletter Subscription","Newsletter Subscription"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","subscribed"
"not subscribed","not subscribed"
"Store Credit","Store Credit"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Address Type"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Order Status"
"Any","Any"
"Order Status %1 %2:","Order Status %1 %2:"
"Product Attributes","Product Attributes"
"Product %1","Product %1"
"Date Ranges","Date Ranges"
"viewed","viewed"
"ordered","ordered"
"was","was"
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","ഉൽപ്പന്നം %1%2 ഉം ഈ നിബന്ധനകളുടെ %3 മായി പൊരുത്തപ്പെടുന്നതുമാണെങ്കിൽ:"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Wish List","വിഷ് ലിസ്റ്റ്"
"found","കണ്ടെത്തി"
"not found","കാണ്മാനില്ല"
"If Product is %1 in the %2 with %3 of these Conditions match:","ഈ നിബന്ധനകളുമായി %3 ഉള്ള %2 ൽ ഉൽപ്പന്നം %1 ആണെങ്കിൽ:"
"Order Address","ഓർഡർ വിലാസം"
"Sales Amount","വിൽപ്പന തുക"
"Number of Orders","ഓർഡറുകളുടെ എണ്ണം"
"Purchased Quantity","വാങ്ങിയ അളവ്"
"Sales","വിൽപ്പന"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4, ഈ നിബന്ധനകളിൽ %5 പൊരുത്തപ്പെടുന്നു:"
"Total","ആകെ"
"Average","ശരാശരി"
"If Customer Segment %1 %2","ഉപഭോക്തൃ വിഭാഗം %1 %2 ആണെങ്കിൽ"
"matches","matches"
"does not match","ചേരുന്നില്ല"
"is one of","അതിലൊന്നാണ്"
"is not one of","അതിലൊന്നല്ല"
"Shopping Cart Total","ഷോപ്പിംഗ് കാർട്ട് ആകെ"
"Subtotal","ആകെത്തുക"
"Grand Total","ആകെ തുക"
"Tax","നികുതി"
"Gift Card","ഗിഫ്റ്റ് കാർഡ്"
"Shopping Cart %1 Amount %2 %3:","ഷോപ്പിംഗ് കാർട്ട് %1 തുക %2 %3:"
"Unknown quote total specified.","അജ്ഞാത കോട്ട് ആകെ വ്യക്തമാക്കി."
"Number of Cart Line Items","കാർട്ട് ലൈൻ ഇനങ്ങളുടെ എണ്ണം"
"Number of Shopping Cart Line Items %1 %2:","ഷോപ്പിംഗ് കാർട്ട് ലൈൻ ഇനങ്ങളുടെ എണ്ണം %1 %2:"
"Products Quantity","ഉൽപ്പന്നങ്ങളുടെ അളവ്"
"Shopping Cart Products Qty %1 %2:","ഷോപ്പിംഗ് കാർട്ട് ഉൽപ്പന്നങ്ങൾ അളവ് %1 %2:"
"equals or greater than","തുല്യമോ വലുതോ ആണ്"
"equals or less than","തുല്യമോ അതിൽ കുറവോ"
"greater than","എന്നതിനേക്കാൾ വലുത്"
"less than","അതിൽ കുറവ്"
"Up To Date","തീയ്യതി വരെ"
"Period %1 %2 Days Up To Date","കാലയളവ് %1 %2 തീയതി വരെ"
"Customer Segment","ഉപഭോക്തൃ വിഭാഗം"
"Use in Customer Segment","ഉപഭോക്തൃ വിഭാഗത്തിൽ ഉപയോഗിക്കുക"
"Please choose a condition to add.","ചേർക്കാൻ ഒരു വ്യവസ്ഥ തിരഞ്ഞെടുക്കുക."
"Enable Customer Segment Functionality","ഉപഭോക്തൃ സെഗ്‌മെന്റ് പ്രവർത്തനം പ്രവർത്തനക്ഷമമാക്കുക"
"Refresh Data","ഡാറ്റ പുതുക്കുക"
"Manage Segments","സെഗ്‌മെന്റുകൾ നിയന്ത്രിക്കുക"
"All Websites","എല്ലാ വെബ്‌സൈറ്റുകളും"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","പേര്"
"Email","ഇമെയിൽ"
"Group","ഗ്രൂപ്പ്"
"Phone","ഫോൺ"
"ZIP","ZIP"
"Country","Country"
"State/Province","State/Province"
"Customer Since","Customer Since"
"View Combined Report","View Combined Report"
"Set","Set"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
