"Segments","Segmentler"
"Add Segment","Bölüm ekle"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Refresh Segment Data","Segment Verilerini Yenile"
"Save and Continue Edit","Kaydet ve Devam Et"
"Edit Segment '%1'","'%1' Segmentini Düzenle"
"New Segment","Yeni bölüm"
"Segment Information","Segment Bilgisi"
"Conditions","Koşullar"
"* applicable to visitors and registered customers","* ziyaretçiler ve kayıtlı müşteriler için geçerli"
"General Properties","Genel Özellikler"
"Segment Name","Bölüm adı"
"Description","Açıklama"
"Assigned to Website","Web Sitesine Atandı"
"Status","Durum"
"Active","Aktif"
"Inactive","Pasif"
"Apply To","Uygula"
"Visitors and Registered Customers","Ziyaretçiler ve Kayıtlı Müşteriler"
"Registered Customers","Kayıtlı Müşteriler"
"Visitors","Ziyaretçiler"
"Please save this information to specify segmentation conditions.","Lütfen segmentasyon koşullarını belirtmek için bu bilgiyi kaydedin."
"Matched Customers (%1)","Eşleşen Müşteriler (%1)"
"ID","No"
"Segment","Bölüm"
"Website","Web sitesi"
"Customer Segment Report","Müşteri Segmenti Raporu"
"Customer Segment Report '%1'","Müşteri Segmenti Raporu '%1'"
"Customer Segments Report","Müşteri Segmentleri Raporu"
"Back","Geri"
"From","Baş"
"To","Bit"
"Please request the correct customer segment.","Lütfen doğru müşteri segmentini isteyin."
"You deleted the segment.","Segmenti siz sildiniz."
"Unable to delete the segment.","Segment silinemiyor."
"Customer Segments","Müşteri Segmentleri"
"Edit Segment","Bölümü düzenle"
"Segment Customers matching error","Segment Müşteriler hatayla eşleşiyor"
"You saved the segment.","Segmenti kaydettiniz."
"We can't save the segment right now.","Segmenti şu an kaydedemiyoruz."
"Reports","Raporlar"
"Customers","Müşteriler"
"Viewing combined ""%1"" report from segments: %2.","Birleştirilmiş ""%1"" raporunu kesimlerden görüntüleme: %2."
"Details","Detaylar"
"The Customer Segment data has been refreshed.","Müşteri Segmenti verileri yenilendi."
"Union","Birlik"
"Intersection","Kesişim"
"All","Tümü"
"Specified","Özel"
"Applies to All of the Specified Customer Segments","Belirlenen Müşteri Segmentlerinin Tümüne Uygulanır"
"Apply to the Selected Customer Segments","Seçilen Müşteri Bölümlerine Uygula"
"contains","içerir"
"does not contains","içermez"
"Matched %1 Customers of Segment %2","Eşleşen %1 Segmentin Müşterileri: %2"
"Unknown operator specified.","Bilinmeyen operatör belirtildi."
"Conditions Combination","Koşullar listesi"
"Customer Address","Müşteri Adresi"
"Product List","Ürün listesi"
"Product History","Ürün Geçmişi"
"Products","Ürünler"
