"AVS result code","Codice di risultato AVS"
"CVN result code","Codice di risultato CVN"
"Card number","Numero della carta"
"Card expiry date","Data di scadenza della carta"
"Decision","Decisione"
"Transaction ID","ID Transazione"
"Risk Score","Punteggio Rischio"
"Risk Factor","Fattore Rischio"
"Reference number","Numero di riferimento"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Cambiamento di indirizzo eccessivo. Il cliente ha cambiato l'indirizzo di fatturazione due o più volte negli ultimi sei mesi"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Rischio carta BIN o autorizzazione. Fattori di rischio sono correlati alla carta di credito BIN e/o controlli di autorizzazione della carta"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Elevato numero di numeri di conto. Il cliente ha utilizzato più di sei numeri di carte di credito negli ultimi sei mesi"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impressioni indirizzo email. Il cliente utilizza un email provider gratuito, o l'indirizzo email è rischioso"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Elenco positivo. Il cliente è sulla tua lista positiva.  Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negativa. Il numero di conto, indirizzo, indirizzo email o indirizzo IP per questo ordine sono visualizzati sulla tua lista negativa"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Incoerenze di geolocalizzazione. Il dominio dell'email, il numero di telefono, l'indirizzo di fatturazione, l'indirizzo di spedizione o l'indirizzo IP del cliente sono sospetti"
"Excessive name changes. The customer changed the name two or more times in the last six months","Cambiamenti di nome eccessivi. Il cliente ha cambiato il nome due o più volte negli ultimi sei mesi"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Incoerenze di Internet. L'indirizzo IP e il dominio dell'email non sono coerenti con l'indirizzo di fatturazione"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Input senza senso. Il nome cliente e il campo indirizzo contengono parole senza senso o di una lingua sconosciuta"
"Obscenities. The customer’s input contains obscene words","Oscenità. Il testo inserito dal cliente contiene parole oscene"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identity morphing. Più valori di un elemento di identity sono collegati a un valore di un elemento di identiy diverso. Ad esempio, i numeri di telefono multipli sono legati a un numero di un singolo account"
"Phone inconsistencies. The customer’s phone number is suspicious","Incoerenze numero di telefono. Il numero di telefono del cliente è sospetto"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Ordine rischioso. Le informazioni sulla transazione, sul cliente e sul venditore mostrano diverse correlazioni ad alto rischio"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Tempo di copertura. Il cliente sta cercando di acquistare fuori dall'orario previsto"
"Unverifiable address. The billing or shipping address cannot be verified","Indirizzo non verificabile. L'indirizzo di fatturazione o di spedizione non può essere verificato"
"Velocity. The account number was use  many times in the past 15 minutes","Velocità. Il numero di conto è stato usato molte volte negli ultimi 15 minuti"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Contrassegnato come sospetto. L'indirizzo di fatturazione o di spedizione è simile a un indirizzo precedentemente contrassegnato come sospetto"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Ordine regalo. L'indirizzo, città, provincia o paese gli indirizzi di fatturazione e spedizione non sono correlati"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valore non valido. Poiché la richiesta contiene un valore imprevisto, è stato sostituito un valore predefinito. Anche se la transazione può ancora essere elaborata, esaminare la richiesta con attenzione per eventuali anomalie nell'ordine"
"Unknown factor. Please contact Cybersource customer service","Fattore sconosciuto. Si prega di contattare il servizio clienti di Cybersource"
"Payment Token Build Error.","Errore di compilazione Token di pagamento."
"Your payment has been declined. Please try again.","Il tuo pagamento è stato rifiutato. Si prega di riprovare."
"CC type field should be provided","Il campo tipo CC deve essere fornito"
"Gateway validation error","Errore di validazione gateway"
"Authorize","Autorizza"
"Authorize and Capture","Autorizza e trattieni"
"Risk Factor Q","Fattore di rischio Q"
"Risk Factor V","Fattore di rischio V"
"Place Order","Effettua Ordine"
"Cybersource","Cybersource"
"Enabled","Abilitato"
"Payment Action","Azione di pagamento"
"Title","Titolo"
"Merchant ID","ID Venditore"
"Transaction Key","Transaction Key"
"Profile ID","ID profilo"
"Access Key","Chiave di accesso"
"Secret Key","Chiave segreta"
"New Order Status","Nuovo stato dell'ordine"
"Test Mode","Modalità test"
"Debug","Debug"
"Credit Card Types","Tipi di carta di credito"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Minimum Order Total","Totale ordine minimo"
"Maximum Order Total","Totale ordine massimo"
"Sort Order","Ordinamento"
"Authorize Only","Authorize Only"
"Webhook URL","URL del webhook"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
