"AVS result code","AVSリザルトコード"
"CVN result code","CVN結果コード"
"Card number","カード番号"
"Card expiry date","カード有効期限"
"Decision","決定"
"Transaction ID","トランザクションID"
"Risk Score","リスクスコア"
"Risk Factor","リスクファクター"
"Reference number","参照番号"
"Excessive address change. The customer changed the billing address two or more times in the last six months","過度のアドレス変更。過去6か月間に請求先住所が2回以上変更されました"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","カードBINまたは認証リスク。リスク要因は、クレジットカードのBINおよび/またはカードの承認チェックに関連しています"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","アカウント番号の数が多い。顧客は過去6ヶ月間に6つ以上のクレジットカード番号を使用していた"
"Email address impact. The customer uses a free email provider, or the email address is risky","電子メールアドレスの影響。顧客が無料の電子メールプロバイダを使用している、または電子メールアドレスが危険です。"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","ポジティブリスト。 顧客はあなたのポジティブリストに入っています。 Decision Manager開発者ガイドSimple Order APの使用1月201 10付録情報と返信コード"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","ネガティブリスト。この注文のアカウント番号、住所、Eメールアドレス、またはIPアドレスがネガティブリストに表示されます"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","ジオロケーションの不一致。顧客の電子メールドメイン、電話番号、請求先住所、配送先住所、またはIPアドレスが疑わしいです"
"Excessive name changes. The customer changed the name two or more times in the last six months","過度の名前変更。顧客は過去6ヶ月間に2回以上名前を変更しました"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","インターネットの不一致。 IPアドレスと電子メールドメインが請求先住所と一致しません"
"Nonsensical input. The customer name and address fields contain meaningless words or language","無意味な入力。顧客名と住所フィールドに無意味な言葉や言葉が含まれています"
"Obscenities. The customer’s input contains obscene words","猥褻。顧客の入力にはわいせつな言葉が含まれています"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","アイデンティティモーフィング。識別要素の複数の値は、異なる識別要素の値にリンクされています。たとえば、複数の電話番号が単一の口座番号にリンクされています"
"Phone inconsistencies. The customer’s phone number is suspicious","電話の不一致。顧客の電話番号が疑わしいです"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","危険な注文。 取引、顧客、および加盟店の情報は、複数の高リスク相関を示しています"
"Time hedge. The customer is attempting a purchase outside of the expected hours","タイムヘッジ。 顧客が予定された時間外に購入を試みています"
"Unverifiable address. The billing or shipping address cannot be verified","確認できないアドレス。 請求先住所または配送先住所を確認できません"
"Velocity. The account number was use  many times in the past 15 minutes","速度。 過去15分間にアカウント番号が何度も使用されていました"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","疑わしいとマークされています。請求または配送先住所は、以前に疑わしいとマークされた住所と似ています"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","ギフト注文。請求先住所と配送先住所の住所、市町村、州または国の間には相関がありません"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","値が無効です。要求に予期しない値が含まれているため、デフォルト値が代入されました。取引は依然として処理することができますが、注文の異常値を慎重に検討してください"
"Unknown factor. Please contact Cybersource customer service","不明な要素。 Cybersourceのカスタマーサービスにお問い合わせください"
"Payment Token Build Error.","支払いトークンのビルドエラー。"
"Your payment has been declined. Please try again.","支払が拒否されました。再度お試しください。"
"CC type field should be provided","CCタイプフィールドを提供する必要があります"
"Gateway validation error","ゲートウェイの検証エラー"
"Authorize","権限"
"Authorize and Capture","認証と取込"
"Risk Factor Q","リスクファクター Q"
"Risk Factor V","リスクファクター V"
"Place Order","注文を確定する"
"Cybersource","サイバーソース"
"Enabled","有効"
"Payment Action","決済アクション"
"Title","タイトル"
"Merchant ID","マーチャントID"
"Transaction Key","トランザクションキー"
"Profile ID","プロフィールID
Promo Section"""
"Access Key","アクセスキー"
"Secret Key","秘密鍵"
"New Order Status","新規注文ステータス"
"Test Mode","テストモード"
"Debug","デバッグ"
"Credit Card Types","クレジットカード種別"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Minimum Order Total","注文合計最小値"
"Maximum Order Total","注文合計最大値"
"Sort Order","表示順"
"Authorize Only","認証のみ"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL をお使いのCybersource アカウントにトランザクションレスポンスページとしてセットしてください。"
"Is admin panel works on the different domain?","管理パネルは別のドメインで動作しますか？"
"Admin Profile ID","管理者プロファイルID"
"Admin Access Key","管理者アクセスキー"
"Admin Secret Key","管理シークレットキー"
"Admin Webhook URL","管理者Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","クレジットカードタイプのフィールドを提供する必要があります。フィールドを選択して再度お試し下さい。"
