"Import failed: %1","Увоз није успео: %1"
"Class for type ""%1"" was not declared","Класа за тип ""%1"" није декларисана"
"%1 does not implement %2","%1 није увежен %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Филе апп/етц/%1 не може бити прочитан. Молимо проверите да ли постоји и да ли има дозволе за читање."
"There are no sensitive configurations to fill","Не постоје осетљиве конфигурације које треба испунити"
"Value can't be empty","Вредност цан'т бе емптy"
"A configuration with this path does not exist or is not sensitive","Конфигурација са овом путањом не постоји или није сензитивна"
"Cannot switch into given mode ""%1""","Не може се пребацити у задати режим ""%1"""
"Wrong logger interface specified.","Наведени су погрешни подаци за приступ."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Параметар ""импортер_цласс"" мора бити присутан."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Наведени тип је погрешан: '%1'"
"Wrong queue type specified.","Наведена погрешна врста реда."
"Compilation from source: ","Компилација из извора:"
"Wrong deploy strategy type: %1","Погрешан тип развоја стратегије: %1"
"Some error","Нека грешка"
"some message","нека порука"
"Exception","Изузетак"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Класа за ""%1"" тип није уписана. Унесите класу и покушајте поново."
"The value can't be empty. Enter the value and try again.","Вредност не може бити празна. Молимо унесите вредност и покушајте поново."
"The mode can't be switched to ""%1"".","Режим не може бити промењен на ""%1""."
"The hash isn't saved.","Хаш није сачуван."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","Недостаје параметар ""импортер_цласс"". Подесите ""импортер_цласс"" и покушајте поново."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Конфигурациона датотека се променила. За синхронизацију конфигурације покрените команду: ""апп:цонфиг:импорт"" или ""сетуп:упграде""."
