"Format for IDE '%1' is not supported","Format untuk IDE '%1' tidak didukung"
"Client side compilation doesn't work in production mode","Kompilasi sisi klien tidak bekerja dalam mode produksi"
"Client side less compilation","Sisi klien kurang kompilasi"
"Server side less compilation","Sisi server kurang kompilasi"
"Frontend Development Workflow","Pengembangan Alur kerja Frontend"
"Workflow type","Jenis alur kerja"
"Not available in production mode","Tidak tersedia dalam mode produksi"
"Developer Client Restrictions","Pembatasan Klien Pengembang"
"Allowed IPs (comma separated)","IP yang diizinkan (dipisahkan koma)"
"Leave empty for access from any location.","Biarkan kosong untuk akses dari lokasi manapun."
"Log to File","Masuk ke File"
"Not available in production mode.","Tidak tersedia dalam mode produksi."
"Front-end development workflow","Alur kerja pengembangan paling depan"
"Magento was installed with a table prefix. Please re-install without prefix.","Magento was installed with a table prefix. Please re-install without prefix."
"Syslog","Syslog"
"Log to Syslog","Log to Syslog"
