"Patch %1 has been successfully generated.","Patch %1 has been successfully generated."
"Template hints are %status","Template hints are %status"
"Format for IDE '%1' is not supported","Formato per IDE '%1' non supportato"
"Client side compilation doesn't work in production mode","La compilazione lato client non funziona in modalità produzione"
"Client side less compilation","Compliazione less lato cliente"
"Server side less compilation","Compilazione less lato server"
"Magento was installed with a table prefix. Please re-install without prefix.","Magento was installed with a table prefix. Please re-install without prefix."
"Configuration Exception Message","Configuration Exception Message"
"The ""%1.xml"" file doesn't exist.","The ""%1.xml"" file doesn't exist."
"Frontend Development Workflow","Workflow di sviluppo frontend"
"Workflow type","Tipo workflow"
"Modifying this configuration has no effect in production mode.","Modifying this configuration has no effect in production mode."
"Developer Client Restrictions","Restrizioni Client Developer"
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Leave empty for access from any location.","Lascia vuoto per accedere da qualsiasi luogo."
