"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","حدد هذا الخيار للسماح لشركة DHL لتحسين رسوم الشحن عن طريق تقسيم النظام إذا كان يتجاوز %1 %2."
"Wrong Content Type","نوع محتوى غير صحيح"
"Pounds","جنيهات"
"Kilograms","كيلوجرام"
"Inches","بوصة"
"Centimeters","سنتيمتر"
"inch","بوصة"
"cm","سم"
"Height","الارتفاع"
"Depth","العمق"
"Width","العرض"
"Regular","عادي"
"Specific","محددة"
"Easy shop","Easy shop"
"Sprintline","Sprintline"
"Secureline","الخط الآمن"
"Express easy","Express easy"
"Europack","Europack"
"Break bulk express","Break bulk express"
"Medical express","Medical express"
"Express worldwide","إكسبريس في جميع أنحاء العالم"
"Express 9:00","Express 9:00"
"Express 10:30","Express 10:30"
"Domestic economy select","Domestic economy select"
"Economy select","Economy select"
"Domestic express 9:00","Domestic express 9:00"
"Domestic express","Domestic express"
"Others","Others"
"Globalmail business","Globalmail business"
"Same day","في اليوم نفسه"
"Express 12:00","سريع 12:00"
"Express envelope","مغلف بالشحن السريع"
"Domestic express 12:00","Domestic express 12:00"
"Jetline","Jetline"
"Freight worldwide","الشحن لجميع أنحاء العالم"
"Jumbo box","صندوق كبير"
"DHL service is not available at %s date","لا تتوفر خدمة DHL في تاريخ %s"
"The response is in wrong format.","أن الرد بتنسيق غير صحيح."
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","يتوجب علينا تخطي DHL طريقة %1 لأننا لا يمكننا أن نجد سعر الصرف %2 (العملة الأساسية)."
"Zero shipping charge for '%1'","رسوم شحن صفر على '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","لا يمكن تحديد وحدة القياس ل %1"
"Cannot identify weight unit for %1","لا يمكن تحديد وزن وحدة %1"
"There is no items in this order","لا يوجد أي منتج في هذا الطلب"
"Please specify origin country.","Please specify origin country."
"Documents","الوثائق"
"Non Documents","بدون وثائق"
"Height, width and length should be equal or greater than %1","الارتفاع والعرض والطول يجب أن تكون مساوية أو أكبر من %1"
"Wrong Region","Wrong Region"
"Unable to retrieve tracking","غير قادر على استرداد التعقب"
"Response is in the wrong format","الاستجابة بشكل خاطئ"
"Error #%1 : %2","خطأ #%1: %2"
"No packages for request","لا يوجد حزم في الطلب"
"Unable to retrieve shipping label","غير قادر على استرداد تسمية الشحن"
"Non documents","بدون وثائق"
"None","لا شئ"
"Security validation of XML document has been failed.","Security validation of XML document has been failed."
"The response is in the wrong format","The response is in the wrong format"
"Field ","حقل "
" is required."," مطلوب."
"Enabled for Checkout","Enabled for Checkout"
"Gateway URL","Gateway URL"
"Title","العنوان"
"Access ID","معرف النفاذ"
"Password","كلمة المرور"
"Account Number","رقم الحساب"
"Content Type","Content Type"
"Calculate Handling Fee","حساب رسوم التوصيل"
"Handling Applied","تم تطبيق المعاملة"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package."
"Handling Fee","رسوم التوصيل"
"Divide Order Weight","Divide Order Weight"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","حدد هذا الخيار للسماح لشركة DHL لتحسين رسوم الشحن عن طريق تقسيم الطلب إذا كان تجاوز ٧٠ كليو جرام."
"Weight Unit","وحدة الوزن"
"Size","الحجم"
"Allowed Methods","Allowed Methods"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","الترتيب"
"Debug","نقح"
"Break bulk economy","Break bulk economy"
"Customer services","Customer services"
"Please, specify origin country","Please, specify origin country"
"Ready time","Ready time"
"Package ready time after order submission (in hours)","Package ready time after order submission (in hours)"
"The security validation of the XML document has failed.","The security validation of the XML document has failed."
"Content Type (Non Domestic)","Content Type (Non Domestic)"
"Documents Allowed Methods","Documents Allowed Methods"
"Non Documents Allowed Methods","Non Documents Allowed Methods"
