"--Please Select--","---Valitse---"
"lbs","lbs"
"kgs","kgs"
"The country isn't available.","The country isn't available."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"Please correct the target currency.","Please correct the target currency."
"label","tunniste"
"We can't retrieve a rate from %1 for %2.","We can't retrieve a rate from %1 for %2."
"No API Key was specified or an invalid API Key was specified.","No API Key was specified or an invalid API Key was specified."
"Currency rates can't be retrieved.","Currency rates can't be retrieved."
"The account this API request is coming from is inactive.","The account this API request is coming from is inactive."
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
"An invalid base currency has been entered.","An invalid base currency has been entered."
"FATAL ERROR:","VAKAVA VIRHE:"
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Please specify the correct Import Service.","Please specify the correct Import Service."
"WARNING:","VAROITUS:"
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Please correct the rates received","Please correct the rates received"
"Please select a region, state or province.","Valitse alue, osavaltio tai provinssi."
"Currency","Valuutta"
"Your current currency is: %1.","Nykyinen valuuttasi on: %1."
"Continue","Jatka"
"Currency Update Warnings","Currency Update Warnings"
"Currency Setup","Valuutta-asetukset"
"Currency Options","Valuutta-asetukset"
"Base Currency","Oletusvaluutta"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Default Display Currency","Default Display Currency"
"Allowed Currencies","Sallitut valuutat"
"Fixer.io","Fixer.io"
"API Key","API Key"
"Connection Timeout in Seconds","Yhteyden aikakatkaisu sekunteina"
"Currency Converter API","Currency Converter API"
"Scheduled Import Settings","Ajastetun tuonnin asetukset"
"Enabled","Käytössä"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Frequency","Tiheys"
"Service","Palveluntarjoaja"
"Start Time","Aloitusaika"
"Installed Currencies","Asennetut valuutat"
"Zip/Postal Code is Optional for","Maat, joille postinumero on valinnainen"
"State Options","Osavaltion/maakunnan asetukset"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
"Weight Unit","Painoyksikkö"
