"State/Province","State/Province"
"--Please Select--","-- נא לבחור --"
"lbs","פאונדים"
"kgs","קילוגרמים"
"Requested country is not available.","Requested country is not available."
"Undefined rate from ""%1-%2"".","דירוג לא מוגדר של ""%1-%2""."
"Please correct the target currency.","נא תקן את המטבע המיועד."
"label","תווית"
"We can't retrieve a rate from %1 for %2.","אין לנו אין אפשרות לאחזר את שיעור מ- %1 ל%2."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","שגיאה פאטלית:"
"We can't initialize the import model.","We can't initialize the import model."
"Please specify the correct Import Service.","נא ציין את שירות הייבוא הנכון."
"WARNING:","אזהרה:"
"Please correct the country code: %1.","נא תקן את קוד המדינה: %1."
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Please correct the rates received","Please correct the rates received"
"Please select a region, state or province.","נא בחר מדינה, אזור או מחוז."
"Currency","מטבע"
"Your current currency is: %1.","המטבע הנוכחי שלך הוא: %1."
"Continue","המשך"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Currency Setup","הגדרת מטבע"
"Currency Options","אפשרויות מטבע"
"Base Currency","מטבע הבסיס"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Default Display Currency","תצוגת מטבע ברירת מחדל"
"Allowed Currencies","מטבעות מותרים"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Connection Timeout in Seconds","זמן קצוב לחיבור בשניות"
"Fixer.io","Fixer.io"
"Webservicex","Webservicex"
"Scheduled Import Settings","תזמון הגדרות הייבוא"
"Enabled","פעיל"
"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Frequency","תדירות"
"Service","שירות"
"Start Time","שעת התחלה"
"Installed Currencies","מטבעות מותקנית"
"Zip/Postal Code is Optional for","המיקוד הוא אופציונלי עבור"
"State Options","State Options"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
"Weight Unit","יחידת משקל"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"No API Key was specified or an invalid API Key was specified.","No API Key was specified or an invalid API Key was specified."
"The account this API request is coming from is inactive.","The account this API request is coming from is inactive."
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
"An invalid base currency has been entered.","An invalid base currency has been entered."
"Currency rates can't be retrieved.","Currency rates can't be retrieved."
"API Key","API Key"
"The country isn't available.","The country isn't available."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Currency Converter API","Currency Converter API"
