"--Please Select--","-Vennligst velg--"
"lbs","lbs"
"kgs","kg"
"The country isn't available.","The country isn't available."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"Please correct the target currency.","Please correct the target currency."
"label","etikett"
"We can't retrieve a rate from %1 for %2.","We can't retrieve a rate from %1 for %2."
"No API Key was specified or an invalid API Key was specified.","No API Key was specified or an invalid API Key was specified."
"Currency rates can't be retrieved.","Currency rates can't be retrieved."
"The account this API request is coming from is inactive.","The account this API request is coming from is inactive."
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
"An invalid base currency has been entered.","An invalid base currency has been entered."
"FATAL ERROR:","FATAL FEIL:"
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Please specify the correct Import Service.","Please specify the correct Import Service."
"WARNING:","WARNING:"
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Please correct the rates received","Please correct the rates received"
"Please select a region, state or province.","Velg en region, stat eller provins."
"Currency","Valuta"
"Your current currency is: %1.","Din gjeldende valuta er: %1."
"Continue","Fortsett"
"Currency Update Warnings","Valuta oppdateringsvarsler"
"Currency Setup","Valutaoppsett"
"Currency Options","Valutainnstillinger"
"Base Currency","Standardvaluta"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Default Display Currency","Default Display Currency"
"Allowed Currencies","Allowed Currencies"
"Fixer.io","Fixer.io"
"API Key","API Key"
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Currency Converter API","Currency Converter API"
"Scheduled Import Settings","Scheduled Import Settings"
"Enabled","Aktivert"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Frequency","Frekvens"
"Service","Service"
"Start Time","Starttid"
"Installed Currencies","Installed Currencies"
"Zip/Postal Code is Optional for","Zip/Postal Code is Optional for"
"State Options","State Options"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
"Weight Unit","Vektenhet"
