"Downloadable Information","Informacije za Preuzimanje"
"Add New Link","Dodaj Novi Link"
"Upload Files","Otpremi Datoteke"
"All Files","Sve datoteke"
"Unlimited","Neograničeno"
"Something went wrong while getting the requested content.","Došlo je do greške prilikom dobijanja traženog sadržaja."
"My Downloadable Products","Moji Preuzimljivi Proizvodi"
"We can't find the link you requested.","Ne možemo pronaći traženi link."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Prijavite se kako bi preuzeli ili poručili proizvod <a href=""%1"">%2</a>."
"Please sign in to download your product.","Prijavite se da bi preuzeli Vaš proizvod."
"The link has expired.","Link je istekao."
"The link is not available.","Link nije dostupan."
"Sorry, there was an error getting requested content. Please contact the store owner.","Izvinite, Pojavila se greška prilikom preuzimanja željenog sadržaja. Molim kontakrirajte vlasnika prodavnice."
"Please set resource file and link type.","Podesite izvornu datoteku i tip veze."
"Invalid download link type.","Nevažeća vrsta veze za preuzimanje."
"Something went wrong while saving the file(s).","Došlo je do greške prilikom čuvanja fajlova."
"Provided content must be valid base64 encoded data.","Navedeni sadržaj mora biti validan base64 kodirani podatak."
"Provided file name contains forbidden characters.","Ime datoteke sadrži karaktere koji nisu dozvoljeni."
"Link file not provided","Nije unešen link datoteke"
"Link price must have numeric positive value.","Link cene mora imati pozitivnu numeričku vrednost."
"Number of downloads must be a positive integer.","Broj preuzimanja mora biti pozitivan ceo broj."
"Sort order must be a positive integer.","Redosled sortiranja mora biti pozitivan ceo broj."
"Link URL must have valid format.","Link URL mora imati validan format."
"Provided file content must be valid base64 encoded data.","Navedeni sadržaj datoteke mora biti validan base64 kodirani podatak."
"Sample URL must have valid format.","Primer URL-a mora imati validan format."
"Order id cannot be null","Id Porudbine ne može biti nula"
"Order item id cannot be null","Id Poručenog artikla ne može biti nula"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is neispravan."
"Invalid link type.","Neispravan link type."
"Link title cannot be empty.","Link title ne može be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Ne može delete link with id %1"
"Please specify product link(s).","Navedite linkove do proizvoda."
"Sample file not provided","Nije unešen primer datoteke"
"Provided sample information is invalid.","Provided sample information is neispravan."
"Invalid sample type.","Neispravan sample type."
"Sample title cannot be empty.","Sample title ne može be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Ne može delete sample with id %1"
"Yes","Da"
"No","Ne"
"Use config","Koristi konfiguraciju"
"Upload File","Pošalji datoteku"
"URL","URL"
"attachment","prilog"
"inline","u redu"
"Pending","Na čekanju"
"Invoiced","Faktura"
"To enable the option set the weight to no","Da omogućite ovu opciju podesite težinu na ne"
"Is this downloadable Product?","Da li je ovo preuzimljivi Proizvod?"
"Links","Linkovi"
"Title","Naslov"
"Links can be purchased separately","Linkovi se zasebno mogu kupiti"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Dodaj Link"
"Price","Cena"
"File","Datoteka"
"Sample","Primerak"
"Shareable","Deljivo"
"Max. Downloads","Max. Preuzetih"
"Samples","Uzorci"
"Use Default Value","Koristite podrazumevane vrednosti"
"sample","uzorak"
"Is this a downloadable Product?","Da li je ovo preuzimljivi Proizvod?"
"Add links to your product files here.","Dodajte linkove do fajlova svojih proizvoda ovde."
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Redosled porudžbina"
"Attach File or Enter Link","Prikači Fajl ili Unesi Link"
"Sort Variations","Sortiranje Varijacija"
"Browse Files...","Pregled datoteka..."
"Delete","Obrisati"
"Add product preview files here.","Dodaj pregled fajla ovde."
"SKU","Šifra"
"U","U"
"Select all","Izaberi sve"
"Unselect all","Poništi sve"
"Availability","Dostupnost"
"In stock","Na stanju"
"Out of stock","Nema na lageru"
"Go to <a href=""%1"">My Downloadable Products</a>","Idi na <a href=""%1"">Moji Preuzimljivi Proizvodi</a>"
"Downloadable Products","Preuzimljivi Proizvodi"
"Order #","Porudžbina #"
"Date","Datum"
"Status","Status"
"Remaining Downloads","Preostala Preuzimanja"
"View Order","Pregledaj porudžbinu"
"Start Download","Započni Preuzimanje"
"You have not purchased any downloadable products yet.","Niste kupili ni jedan preuzimljivi proizvod do sada."
"Back","Nazad"
"download","preuzimanje"
"Gift Message","Poklon poruka"
"From:","Od:"
"To:","Za:"
"Message:","Poruka:"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Subtotal","Međuzbir"
"Discount Amount","Iznos popusta"
"Row Total","Red ukupno"
"Qty Invoiced","Fakturisana kol."
"Ordered","Porućeno"
"Shipped","Isporučeno"
"Canceled","Otkazano"
"Refunded","Povraćen novac"
"We could not detect a size.","Nismo mogli otkriti veličinu."
"Downloadable Product Section","Sektor Preuzimljivih Proizvoda"
"Downloads","Preuzimanja"
"Downloadable Product Options","Opcije Preuzimljivih Proizvoda"
"Order Item Status to Enable Downloads","Status stavke narudžbe za omogućavanje preuzimanja"
"Default Maximum Number of Downloads","Podrazumevani Maksimalni Broj Preuzimanja"
"Default Sample Title","Podrazumevani Naslov Uzorka"
"Default Link Title","Podrazumevani Link Naslova"
"Open Links in New Window","Otvori Linkove u Novom Prozoru"
"Use Content-Disposition","Koristite Sadržaj-Dispoziciju"
"Disable Guest Checkout if Cart Contains Downloadable Items","Onemogući Plaćanje Gostu ako Korpa Sadrži Preuzimljive Proizvode"
"Guest checkout will only work with shareable.","Plaćanje će gostu biti omogućeno sa deljivim."
"Product type of the product must be 'downloadable'.","Proizvod type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","Proizvod treba biti za preuzimanje. Proverite proizvod i pokušajte ponovo."
"The link information is invalid. Verify the link and try again.","Neispravni podaci linka. Proverite link i pokušajte ponovo."
"The link type is invalid. Verify and try again.","Tip veze je nevažeći. Proverite i pokušajte ponovo."
"The link title is empty. Enter the link title and try again.","Naslov veze je prazan. Unesite naslov veze i pokušajte ponovo."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Uneti ID ne sadrži link za preuzimanje. Proverite ID i pokušajte ponovo."
"The downloadable link isn't related to the product. Verify the link and try again.","Link za preuzimanje nije povezan sa proizvodom. Proverite link i pokušajte ponovo."
"The link with ""%1"" ID can't be deleted.","Link koji sadrži %1 ID ne može biti obrisan."
"The sample information is invalid. Verify the information and try again.","Podaci primera nisu važeći. Proverite podatke i pokušajte ponovo."
"The sample type is invalid. Verify the sample type and try again.","Tip uzorka je neispravan. Proverite tip uzorka i pokušajte ponovo."
"The sample title is empty. Enter the title and try again.","Naslov veze je prazan. Unesite naslov veze i pokušajte ponovo."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Nije pronađen uzorak sa datom identifikacijom, Proverite ID i pokušajte ponovo."
"The downloadable sample isn't related to the product. Verify the link and try again.","Uzorak za preuzimanje nije povezan sa proizvodom. Proverite link i pokušajte ponovo."
"The sample with ""%1"" ID can't be deleted.","Uzorak sa ID ""%1"" nije moguće obrisati."
