"Attribute Properties","Ιδιότητες Χαρακτηριστικού"
"Default Label","Προεπιλεγμένη ετικέτα"
"Default label","Προεπιλεγμένη ετικέτα"
"Attribute Code","Κωδικός χαρακτηριστικού"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Αυτό χρησιμοποιείται εσωτερικά. Βεβαιωθείτε ότι δεν χρησιμοποιείτε διαστήματα ή περισσότερο(α) από %1 σύμβολο(α)."
"Catalog Input Type for Store Owner","Τύπος Εισόδου Καταλόγου για Ιδιοκτήτη Καταστήματος"
"Values Required","Απαιτούμενες Τιμές"
"Default Value","Προεπιλεγμένη τιμή"
"Unique Value","Μοναδική τιμή"
"Unique Value (not shared with other products)","Μοναδική τιμή (όχι από κοινού με άλλα προϊόντα)"
"Not shared with other products.","Δεν μοιράζεται με άλλα προϊόντα."
"Input Validation for Store Owner","Επικύρωση Εισαγωγής για τον Ιδιοκτήτη Καταστήματος"
"Required","Απαιτείται"
"Yes","Ναί"
"No","Όχι"
"System","Σύστημα"
"None","Κανένα"
"Decimal Number","Δεκαδικός αριθμός"
"Integer Number","Ακέραιος αριθμός"
"Email","Email"
"URL","Διεύθυνση URL"
"Letters","Γράμματα"
"Letters (a-z, A-Z) or Numbers (0-9)","Γράμματα (α-ω, Α-Ω) ή αριθμούς (0-9)"
"Text Field","Πεδίο κειμένου"
"Text Area","Περιοχή κειμένου"
"Date","Ημερομηνία"
"Yes/No","Ναι/όχι"
"Multiple Select","Πολλαπλή Επιλογή"
"Dropdown","Αναπτυσσόμενο μενού"
"Input type ""%value%"" not found in the input types list.","Τύπος εισόδου ""%value%"" δεν βρέθηκε στη λίστα τύποι εισόδου."
"Attribute object is undefined","Αντικείμενο χαρακτηριστικό δεν έχει οριστεί"
"Entity object is undefined","Αντικείμενο Οντότητας δεν έχει οριστεί"
"""%1"" invalid type entered.","μη έγκυρος τύπος ""%1"" εισάχθηκε."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" περιέχει μη-αλφαβητικούς ή μη αριθμητικούς χαρακτήρες."
"""%1"" is an empty string.","""%1"" είναι μια κενή συμβολοσειρά."
"""%1"" contains non-numeric characters.","""%1"" περιέχει μη αριθμητικούς χαρακτήρες."
"""%1"" contains non-alphabetic characters.","""%1"" περιέχει μη-αλφαβητικούς χαρακτήρες."
"""%1"" is not a valid email address.","""%1"" δεν είναι μια έγκυρη διεύθυνση email."
"""%1"" is not a valid hostname.","""%1"" δεν είναι έγκυρο όνομα κεντρικού υπολογιστή."
"""%1"" uses too many characters.","""%1"" χρησιμοποιεί πάρα πολλούς χαρακτήρες."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" μοιάζει με μια διεύθυνση IP, η οποία δεν έχει αποδεκτή μορφή."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά περιέχει μια παύλα σε μια μη έγκυρη θέση."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν ταιριάζει με το σχήμα ονόματος κεντρικού υπολογιστή για το TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν είναι δυνατή η εξαγωγή τμήματος TLD."
"'%value%' does not look like a valid local network name.","'%value%' δεν μοιάζει με ένα έγκυρο όνομα τοπικού δικτύου."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' μοιάζει με ένα όνομα τοπικού δικτύου, το οποίο δεν αποτελεί αποδεκτή μορφή."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' φαίνεται να είναι ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν μπορούν να αποκωδικοποιηθούν τα δεδομένα σημειογραφίας punycode."
"""%1"" is not a valid URL.","«%1» δεν είναι μια έγκυρη διεύθυνση URL."
"""%1"" is not a valid date.","""%1"" δεν είναι έγκυρη ημερομηνία."
"""%1"" does not fit the entered date format.","""%1"" δεν ταιριάζει τη μορφή ημερομηνίας που έχει εισαχθεί."
"""%1"" is a required value.","""%1"" είναι μια απαιτούμενη τιμή."
"Please enter a valid date between %1 and %2 at %3.","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία μεταξύ %1 και %2 σε %3."
"Please enter a valid date equal to or greater than %1 at %2.","Παρακαλώ εισάγετε μια έγκυρη ημερομηνία ίση ή μεγαλύτερη από %1 σε %2."
"Please enter a valid date less than or equal to %1 at %2.","Παρακαλώ εισάγετε μια έγκυρη ημερομηνία λιγότερη ή ίση με %1 στο %2."
"""%1"" is not a valid file extension.","«%1» δεν είναι μια έγκυρη επέκταση αρχείου."
"""%1"" is not a valid file.","""%1"" δεν είναι ένα έγκυρο αρχείο."
"""%1"" exceeds the allowed file size.","""%1"" υπερβαίνει το επιτρεπόμενο μέγεθος."
"""%1"" is not a valid image format","""%1"" δεν είναι μια έγκυρη μορφή εικόνας"
"""%1"" width exceeds allowed value of %2 px.","""%1"" πλάτος υπερβαίνει τις επιτρεπόμενες τιμές του %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ύψος υπερβαίνει τις επιτρεπόμενες τιμές του %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" δεν μπορεί να περιέχει περισσότερες από %2 γραμμές."
"""%1"" length must be equal or greater than %2 characters.","""%1"" μήκος πρέπει να είναι ίσο ή μεγαλύτερο από %2 χαρακτήρες."
"""%1"" length must be equal or less than %2 characters.","""%1"" μήκος πρέπει να είναι ίσο ή μικρότερο από %2 χαρακτήρες."
