"Attribute Properties","Atribut Properties"
"Default Label","Label standar"
"Default label","Label standar"
"Attribute Code","Kode Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Catalog Input Type for Store Owner","Jenis Masukan Katalog untuk Pemilik Toko"
"Values Required","Nilai yang dibutuhkan"
"Default Value","Nilai Standar"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan dengan produk lain)"
"Not shared with other products.","Tidak dibagikan dengan produk lain."
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Required","Wajib"
"Yes","Ya"
"No","Tidak"
"System","Sistem"
"None","Tidak ada"
"Decimal Number","Angka desimal"
"Integer Number","Nomor Integer"
"Email","E-mail"
"URL","URL"
"Letters","Surat"
"Letters (a-z, A-Z) or Numbers (0-9)","Surat (az, Az) atau Angka (0-9)"
"Text Field","Bidang Teks"
"Text Area","Area teks"
"Date","Tanggal"
"Yes/No","Ya/Tidak"
"Multiple Select","Beberapa Pilih"
"Dropdown","Drop-down"
"Input type ""%value%"" not found in the input types list.","Jenis input ""%value%"" tidak ditemukan dalam daftar jenis input."
"Attribute object is undefined","Objek atribut tidak terdefinisi"
"Entity object is undefined","Objek entitas tidak terdefinisi"
"""%1"" invalid type entered.","""%1"" tipe tidak sah masuk."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" berisi karakter non-alfabet atau non-numerik."
"""%1"" is an empty string.","""%1"" adalah string kosong."
"""%1"" contains non-numeric characters.","""%1"" berisi karakter non-numerik."
"""%1"" contains non-alphabetic characters.","""%1"" berisi karakter non-abjad."
"""%1"" is not a valid email address.","""%1"" bukan alamat email yang valid."
"""%1"" is not a valid hostname.","""%1"" bukan nama host yang valid."
"""%1"" uses too many characters.","""%1"" menggunakan terlalu banyak karakter."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' terlihat seperti alamat IP, yang bukan format yang dapat diterima."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' terlihat seperti nama host DNS namun berisi tanda hubung pada posisi yang tidak valid."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' Sepertinya nama host DNS tapi kami tidak dapat mencocokkannya dengan skema nama host untuk TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' Sepertinya nama host DNS tapi tidak bisa mengekstrak bagian TLD."
"'%value%' does not look like a valid local network name.","'%value%' tidak terlihat seperti nama jaringan lokal yang valid."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' terlihat seperti nama jaringan lokal, yang bukan format yang dapat diterima."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' nampaknya menjadi nama host DNS, namun notasi punycode yang diberikan tidak dapat diterjemahkan."
"""%1"" is not a valid URL.","""%1"" bukan URL yang valid."
"""%1"" is not a valid date.","""%1"" bukan tanggal yang valid."
"""%1"" does not fit the entered date format.","""%1"" tidak sesuai dengan format tanggal yang dimasukkan."
"""%1"" is a required value.","""%1"" adalah nilai yang dibutuhkan."
"Please enter a valid date between %1 and %2 at %3.","Silakan masukkan tanggal yang valid antara %1 dan %2 pada %3."
"Please enter a valid date equal to or greater than %1 at %2.","Silakan masukkan tanggal yang valid sama dengan atau lebih besar dari %1 pada %2."
"Please enter a valid date less than or equal to %1 at %2.","Silakan masukkan tanggal berlaku kurang dari atau sama dengan %1 pada %2."
"""%1"" is not a valid file extension.","""%1"" bukan ekstensi file yang valid."
"""%1"" is not a valid file.","""%1"" bukan file yang valid."
"""%1"" exceeds the allowed file size.","""%1"" melebihi ukuran file yang diizinkan."
"""%1"" is not a valid image format","""%1"" bukan format gambar yang valid"
"""%1"" width exceeds allowed value of %2 px.","""%1"" Lebar melebihi nilai yang diijinkan %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" Tinggi melebihi nilai yang diijinkan %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" tidak boleh berisi lebih dari %2 baris."
"""%1"" length must be equal or greater than %2 characters.","Panjang ""%1"" harus sama atau lebih besar dari %2 karakter."
"""%1"" length must be equal or less than %2 characters.","""%1"" harus sama atau kurang dari %2 karakter."
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Entity_type tidak valid dimasukkan: %1"
"Entity is not initialized","Entitas tidak diinisialisasi"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","Pelanggaran kendala yang unik ditemukan"
"The attribute code '%1' is reserved by system. Please try another attribute code","Kode atribut ' %1 ' dicadangkan oleh sistem. Silakan coba kode atribut lainnya"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","Model sumber ""%1"" tidak ditemukan untuk atribut ""%2"""
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","Tanggal tidak berlaku"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Cannot save attribute %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","Tidak ada pilihan yang ditemukan."
"label","label"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","Pengenal atribut tidak sah untuk filter (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","Ekspresi lapangan bersama atau atribut dengan alias ini sudah dinyatakan"
"Invalid alias, already exists in joint attributes","Alias ​​tidak valid, sudah ada di atribut bersama"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","Bidang bergabung dengan alias ini sudah dideklarasikan."
"Invalid joint fields","Bidang gabungan tidak sah"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","Karakter tidak sah ditemui di ID penambah: %1"
"The current module pathname is undefined.","Nama jalur modul saat ini tidak terdefinisi."
"The current module EAV entity is undefined.","Entah modul EAV saat ini tidak terdefinisi."
"The form code is not defined.","Kode formulir tidak didefinisikan."
"The entity instance is not defined.","Contoh entitas tidak didefinisikan."
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","Atribut dengan kode yang sama"
"The storefront label is not defined.","Label etalase tidak ditentukan."
"Default option value is not defined","Default option value is not defined"
"Attribute group with same code already exist. Please rename ""%1"" group","Atribut grup dengan kode yang sama sudah ada. Silakan ganti nama grup ""%1"""
"Form Element with the same attribute","Dari Elemen dengan atribut yang sama"
"Form Fieldset with the same code","Dari Fieldset dengan kode yang sama"
"Form Type with the same code","Dari tipe dengan kode yang sama"
"The value of attribute ""%1"" is invalid.","Nilai atribut ""%1"" tidak sah."
"Wrong entity ID","Wrong entity ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Atribut dengan ID: ""%1"" tidak ada"
"AttributeSet does not exist.","AttributeSet tidak ada."
"hello","halo"
"Some internal exception message.","Beberapa pesan kesalahan internal."
"The value of attribute not valid","Nilai atribut tidak valid"
"EAV types and attributes","Tipe dan atribut EAV"
"Entity types declaration cache","Jenis entitas deklarasi cache"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
