"Attribute Properties","属性のプロパティ"
"Default Label","標準のラベル"
"Default label","ディフォルトラベル"
"Attribute Code","属性コード"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","これは内部用です。スペースまたは%1シンボル以上を使わないようにしてください。"
"Catalog Input Type for Store Owner","店舗管理者のカタログ入力形式"
"Values Required","値が必要"
"Default Value","標準の値"
"Unique Value","一意な値"
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Not shared with other products.","他の属性と共有しない。"
"Input Validation for Store Owner","管理画面で値チェックを行う"
"Required","必須"
"Yes","Yes"
"No","No"
"System","システム"
"None","なし"
"Decimal Number","10進数"
"Integer Number","自然数"
"Email","Eメール"
"URL","URL"
"Letters","文字列"
"Letters (a-z, A-Z) or Numbers (0-9)","アルファベット(a-z, A-Z)または数字(0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","入力形式 ""%value%"" は入力形式リストにありません。"
"Attribute object is undefined","属性オブジェクトが未定義です"
"Entity object is undefined","エンティティオブジェクトが未定義です"
"""%1"" invalid type entered.","""%1""不正なタイプが入力された"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""はアルファベットでも数字でもない字を含んでいます"
"""%1"" is an empty string.","""%1""は空の文字列"
"""%1"" contains non-numeric characters.","""%1""は数字でないキャラクターを含んでいます"
"""%1"" contains non-alphabetic characters.","""%1""はアルファベットでないキャラクターを含んでいます"
"""%1"" is not a valid email address.","%1""""は正しいメールアドレスではありません"
"""%1"" is not a valid hostname.","""%1"" は有効なホストネームではない"
"""%1"" uses too many characters.","""%1"" は文字数が多すぎです"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%'はIPアドレスのようですが適切なフォーマットではありません"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%'はDNSホストネームのようですがダッシュが不正な位置にあります"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' はDNSホストネームのようですがTLD '%tld%'のホストネームスキーマにマッチできません"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%'はDNSホストネームのようですがTLD部分を抽出できません"
"'%value%' does not look like a valid local network name.","'%value%'は有効なローカルネットワーク名ではありません"
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' はローカルホストネームのようですが受けれられるフォーマットではありません。"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' はDNSホストネームのようですが渡されたピューニーノーテーションは解読できません。"
"""%1"" is not a valid URL.","""%1""は有効なURLではありません"
