"Attribute Properties","Свойства атрибута"
"Default Label","Метка по умолчанию"
"Default label","Default label"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Catalog Input Type for Store Owner","Входной тип каталога для владелец магазина"
"Values Required","Values Required"
"Default Value","Значение по умолчанию"
"Unique Value","Уникальное значение"
"Unique Value (not shared with other products)","Уникальное значение (не совместно с другими товарами)"
"Not shared with other products.","Не совместно с другими товарами."
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Required","Необходимо"
"Yes","Да"
"No","Нет"
"System","Система"
"None","Нет"
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
"Email","Электронная почта"
"URL","URL"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Буквы (a-z, A-Z) или цифры (0-9)"
"Text Field","Текстовое поле"
"Text Area","Текстовая область"
"Date","Дата"
"Yes/No","Да/Нет"
"Multiple Select","Множественный выбор"
"Dropdown","Выпадающий список"
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Attribute object is undefined","Объект атрибута не определен"
"Entity object is undefined","Entity object is undefined"
"""%1"" invalid type entered.","""%1"" введен неверный тип."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" содержит неалфавитные или нечисловые символы."
"""%1"" is an empty string.","""%1"" пустая строка."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" не является действительным адресом электронной почты."
"""%1"" is not a valid hostname.","""%1"" не является допустимым именем хоста."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" не является допустимым URL."
"""%1"" is not a valid date.","""%1"" не является допустимой датой."
"""%1"" does not fit the entered date format.","""%1"" не подходит формат введенной даты."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Укажите действительную дату между %1 и %2 в %3."
"Please enter a valid date equal to or greater than %1 at %2.","Укажите действительную дату, равную или превышающую %1 в %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" не является допустимым расширением файла."
"""%1"" is not a valid file.","""%1"" не является допустимым файлом."
"""%1"" exceeds the allowed file size.","""%1"" превышает размер допустимого файла."
"""%1"" is not a valid image format","""%1"" is not a valid image format"
"""%1"" width exceeds allowed value of %2 px.","""%1"" ширина превышает допустимое значение %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" высота превышает допустимое значение %2 px."
