"Attribute Properties","đặc điểm thuộc tính"
"Default Label","Nhãn mặc định"
"Default label","Nhãn mặc định"
"Attribute Code","Mã thuộc tính"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1."
"Catalog Input Type for Store Owner","Danh mục các loại đầu vào cho các chủ cửa hàng"
"Values Required","Giá trị bắt buộc"
"Default Value","Giá trị mặc định"
"Unique Value","Giá trị duy nhất"
"Unique Value (not shared with other products)","Giá trị duy nhất (không được chia sẻ với các sản phẩm khác)"
"Not shared with other products.","Không được chia sẻ với các sản phẩm khác."
"Input Validation for Store Owner","Xác nhận đầu vào cho các chủ cửa hàng"
"Required","Bắt buộc"
"Yes","Có"
"No","Không"
"System","Hệ thống"
"None","Không cái nào"
"Decimal Number","Số thập phân"
"Integer Number","Số nguyên"
"Email","Email"
"URL","URL"
"Letters","Chữ cái"
"Letters (a-z, A-Z) or Numbers (0-9)","Chữ cái (a-z, A-Z) hoặc số (0-9)"
"Text Field","Trường văn bản"
"Text Area","Khu vực văn bản"
"Date","Ngày"
"Yes/No","Có/không"
"Multiple Select","Nhiều lựa chọn"
"Dropdown","Trình đơn xổ dọc"
"Input type ""%value%"" not found in the input types list.","Loại đầu vào ""%value%"" không tìm thấy trong danh sách các loại đầu vào."
"Attribute object is undefined","Thuộc tính đối tượng là không xác định"
"Entity object is undefined","Đối tượng thực thể là không xác định"
"""%1"" invalid type entered.","""%1"" nhập vào loại không hợp lệ."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" có chứa không phải ký tự hoặc không phải là số."
"""%1"" is an empty string.","""%1"" là một chuỗi rỗng."
"""%1"" contains non-numeric characters.","""%1"" có chứa ký tự không phải là số."
"""%1"" contains non-alphabetic characters.","""%1"" có chứa các ký tự không phải ký tự."
"""%1"" is not a valid email address.","""%1"" không phải là một địa chỉ email hợp lệ."
"""%1"" is not a valid hostname.","""%1"" không phải là một tên máy hợp lệ."
"""%1"" uses too many characters.","""%1"" sử dụng quá nhiều ký tự."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' trông giống như một địa chỉ IP, mà không phải là một định dạng được chấp nhận."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' trông giống như một tên máy chủ DNS, nhưng bao gồm một dấu gạch ngang ở một vị trí không hợp lệ."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' trông giống như một tên máy chủ DNS, nhưng chúng tôi không thể kết hợp nó với giản đồ hostname cho tên miền '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' trông giống như một tên máy chủ DNS, nhưng không thể trích xuất một phần tên miền."
"'%value%' does not look like a valid local network name.","'%value%' không giống như một tên mạng địa phương hợp lệ."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' giống như một tên mạng lưới địa phương, mà không phải là một định dạng được chấp nhận."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' dường như là một tên máy chủ DNS, nhưng ký hiệu punycode nhất định không thể được giải mã."
"""%1"" is not a valid URL.","""%1"" không phải là một URL hợp lệ."
"""%1"" is not a valid date.","""%1"" không phải là một ngày hợp lệ."
"""%1"" does not fit the entered date format.","""%1"" không phù hợp với định dạng ngày."
"""%1"" is a required value.","""%1"" là một giá trị bắt buộc."
"Please enter a valid date between %1 and %2 at %3.","Vui lòng nhập ngày hợp lệ giữa %1 và %2 tại %3."
"Please enter a valid date equal to or greater than %1 at %2.","Vui lòng nhập ngày hợp lệ bằng hoặc lớn hơn %1 tại %2."
"Please enter a valid date less than or equal to %1 at %2.","Vui lòng nhập ngày hợp lệ ít hơn hoặc bằng với %1 tại %2."
"""%1"" is not a valid file extension.","""%1"" không phải là một phần mở rộng tập tin hợp lệ."
"""%1"" is not a valid file.","""%1"" không phải là một tập tin hợp lệ."
"""%1"" exceeds the allowed file size.","""%1"" vượt quá kích thước tập tin cho phép."
"""%1"" is not a valid image format","""%1"" không phải là một định dạng hình ảnh hợp lệ"
"""%1"" width exceeds allowed value of %2 px.","""%1"" chiều rộng vượt quá các giá trị cho phép của %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" chiều cao vượt quá các giá trị cho phép của %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" không thể chứa hơn %2 dòng."
"""%1"" length must be equal or greater than %2 characters.","độ dài ""%1"" phải bằng hoặc nhiều hơn với %2 ký tự."
"""%1"" length must be equal or less than %2 characters.","độ dài ""%1"" phải bằng hoặc ít hơn %2 ký tự."
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Entity_type không hợp lệ được chỉ định: %1"
"Entity is not initialized","Tổ chức không được khởi tạo"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","Unique constraint violation found"
"The attribute code '%1' is reserved by system. Please try another attribute code","Mã số thuộc tính '%1' được dành riêng cho hệ thống. Hãy thử một mã thuộc tính khác"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","Mô hình mã nguồn ""%1"" không tìm thấy cho thuộc tính ""%2"""
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","Ngày không hợp lệ"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Cannot save attribute %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","Không có lựa chọn nào được tìm thấy."
"label","nhãn"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","Thuộc tính định danh không hợp lệ cho việc lọc (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","Chung lĩnh vực hoặc thuộc tính biểu hiện với bí danh này đã được công bố"
"Invalid alias, already exists in joint attributes","Bí danh không hợp lệ, đã tồn tại trong các thuộc tính chung"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","Một lĩnh vực tham gia với bí danh này đã được công bố."
"Invalid joint fields","Trường hợp không hợp lệ"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","Ký tự không hợp lệ trong ID tăng: %1"
"The current module pathname is undefined.","Tên đường dẫn mô-đun hiện tại là không xác định."
"The current module EAV entity is undefined.","Các mô-đun hiện tại thực thể EAV là không xác định."
"The form code is not defined.","Mẫu mã không được xác định."
"The entity instance is not defined.","Trường hợp tổ chức không được xác định."
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","Thuộc tính với mã tương tự"
"The storefront label is not defined.","Nhãn storefront không được xác định."
"Default option value is not defined","Default option value is not defined"
"Attribute group with same code already exist. Please rename ""%1"" group","Attribute group with same code already exist. Please rename ""%1"" group"
"Form Element with the same attribute","Yếu tố hình thức với các thuộc tính tương tự"
"Form Fieldset with the same code","Hình thức thiết lập field với mã tương tự"
"Form Type with the same code","Kiểu mẫu với tương tự mã"
"The value of attribute ""%1"" is invalid.","Giá trị của thuộc tính ""%1"" không hợp lệ."
"Wrong entity ID","Wrong entity ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Attribute with ID: ""%1"" does not exist"
"AttributeSet does not exist.","Bộ thuộc tính không tồn tại."
"hello","xin chào"
"Some internal exception message.","Một số tin nhắn nội bộ ngoại lệ."
"The value of attribute not valid","Giá trị của thuộc tính không hợp lệ"
"EAV types and attributes","Các loại EAV và các thuộc tính"
"Entity types declaration cache","Bộ nhớ đệm khai báo các loại thực thể"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
