"There is no such data mapper ""%1"" for interface %2","There is no such data mapper ""%1"" for interface %2"
"Data mapper ""%1"" must implement interface %2","Data mapper ""%1"" must implement interface %2"
"We were unable to perform the search because of a search engine misconfiguration.","Не удалось выполнить поиск из-за неправильной конфигурации поисковой системы."
"Could not ping search engine: %1","Could not ping search engine: %1"
"Elasticsearch Server Hostname","Имя сервера Elasticsearch"
"Elasticsearch Server Port","Порт сервера Elasticsearch"
"Elasticsearch Index Prefix","Префикс индекса Elasticsearch"
"Enable Elasticsearch HTTP Auth","Включить HTTP-аутентификацию Elasticsearch"
"Elasticsearch HTTP Username","Имя пользователя HTTP Elasticsearch"
"Elasticsearch HTTP Password","Пароль HTTP Elasticsearch"
"Elasticsearch Server Timeout","Таймаут сервера Elasticsearch"
"Test Connection","Проверка подключения"
"Minimum Terms to Match","Minimum Terms to Match"
"Created indexer handler must be instance of %1.","Created indexer handler must be instance of %1."
