"The search failed because of a search engine misconfiguration.","The search failed because of a search engine misconfiguration."
"There is no such data mapper ""%1"" for interface %2","没有接口 %2 的数据映射器 ""%1"""
"Data mapper ""%1"" must implement interface %2","数据映射器 ""%1"" 必须实现接口%2"
"Could not ping search engine: %1","不能 ping 搜索引擎: %1"
"Elasticsearch Server Hostname","Elasticsearch 服务器主机名"
"Elasticsearch Server Port","Elasticsearch 服务器端口"
"Elasticsearch Index Prefix","Elasticsearch 索引前缀"
"Enable Elasticsearch HTTP Auth","启用 Elasticsearch HTTP 身份验证"
"Elasticsearch HTTP Username","Elasticsearch HTTP 用户名"
"Elasticsearch HTTP Password","Elasticsearch HTTP 密码"
"Elasticsearch Server Timeout","Elasticsearch 服务器超时"
"Test Connection","测试连接"
"We were unable to perform the search because of a search engine misconfiguration.","We were unable to perform the search because of a search engine misconfiguration."
