"Add New Template","Agregar nueva plantilla"
"Transactional Emails","Correos electrónicos transaccionales"
"Back","Volver"
"Reset","Restablecer"
"Delete Template","Eliminar plantilla"
"Convert to Plain Text","Convertir a texto sin formato"
"Return Html Version","Volver versión Html"
"Preview Template","Vista previa de la plantilla"
"Save Template","Guardar la plantilla"
"Load Template","Plantilla de carga"
"Edit Email Template","Editar plantilla de correo electrónico"
"New Email Template","Nueva plantilla de correo electrónico"
"Default Config","Configuración por defecto"
"Template Information","Información de plantilla"
"Currently Used For","Actualmente utilizada para"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Insert Variable...","Insertar variable..."
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"Preview","Vista previa"
"Unknown","Desconocido"
"You deleted the email template.","Ha eliminado la plantilla de correo electrónico."
"The email template is currently being used.","La plantilla de correo electrónico está siendo usada actualmente."
"We can't delete email template data right now. Please review log and try again.","No podemos borrar datos de la plantilla de correo electrónico ahora mismo. Revise el registro y vuelva a intentarlo."
"We can't find an email template to delete.","No podemos encontrar una plantilla de correo electrónico para eliminar."
"Edit Template","Editar la plantilla"
"Edit System Template","Editar plantilla de sistema"
"New Template","Nueva plantilla"
"New System Template","Nueva plantilla de sistema"
"Email Templates","Plantillas de correo electrónico"
"Email Preview","Vista previa del correo electrónico"
"An error occurred. The email template can not be opened for preview.","Se ha producido un error. La plantilla de correo electrónico no se puede abrir para vista previa."
"This email template no longer exists.","Esta plantilla de correo electrónico ya no existe."
"You saved the email template.","Ha guardado la plantilla de correo electrónico."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Variables de plantilla"
"Please enter a template name.","Por favor, introduzca un nombre de plantilla."
"Duplicate Of Template Name","Nombre de la plantilla duplicado"
"Invalid transactional email code: %1","Código de correo electrónico transaccional invalido: %1"
"Requested invalid store ""%1""","Tienda solicitada ""%1"" no válida"
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","se debe especificar el parámetro ""archivo"""
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","Parámetro ""archivo"" debe ser especificado y no debe estar vacío"
"Design params must be set before calling this method","Parámetros de diseño se deben establecer antes de llamar a este método"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","Error de inclusión de CSS:"
"Error filtering template: %s","Error de filtrado plantilla: %s"
"We're sorry, an error has occurred while generating this content.","Lo sentimos, que ha ocurrido un error al generar este contenido."
"Invalid sender data","Datos de remitente inválidos"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Título"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Plantilla"
"Are you sure you want to strip tags?","¿Seguro que deseas retira las etiquetas?"
"Are you sure you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"The template did not load. Please review the log for details.","La plantilla no se cargó. Por favor, revise el registro para más detalles."
"Footer","Pie de página"
"Thank you, %store_name","Gracias, %store_name"
"Header","Encabezado"
"Communications","Comunicaciones"
"No Templates Found","No se encontraron plantillas"
"ID","Número de Identificación (ID)"
"Added","Añadido"
"Updated","Actualizado"
"Subject","Asunto"
"Template Type","Tipo de plantilla"
"Action","Acción"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necesario solamente si una imagen se ha subido encima. Introduzca el número de píxeles, sin adición de ""px""."
"Logo Width","Ancho del logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necesario solamente si una imagen se ha subido encima. Introduzca el tamaño de altura de la imagen en píxeles sin añadiendo ""px""."
"Logo Height","Altura del logotipo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Header Template","Plantilla de cabecera"
"Footer Template","Plantilla de pie de página"
