"Add New Template","להוסיף תבנית חדשה"
"Transactional Emails","מיילים של עסקאות"
"Back","חזור"
"Reset","איפוס"
"Delete Template","למחוק תבנית"
"Convert to Plain Text","המר לטקסט רגיל"
"Return Html Version","החזר את גרסת Html"
"Preview Template","תצוגה מקדימה של תבנית"
"Save Template","שמירת תבנית"
"Load Template","טעינת תבנית"
"Edit Email Template","ערוך תבנית דואר אלקטרוני"
"New Email Template","תבנית דואר אלקטרוני החדשה"
"Default Config","תצורת ברירת מחדל"
"Template Information","מידע אודות התבנית"
"Currently Used For","כיום משמש"
"Template Name","שם תבנית"
"Template Subject","נושא תבנית"
"Insert Variable...","הוסף משתנה..."
"Template Content","תוכן התבנית"
"Template Styles","סטייל תבנית"
"Preview","תצוגה מקדימה"
"Unknown","לא ידועה"
"You deleted the email template.","מחקת את תבנית הדואר האלקטרוני."
"The email template is currently being used.","תבנית הדואר האלקטרוני נמצא כעת בשימוש."
"We can't delete email template data right now. Please review log and try again.","איינו יכולים למחוק נתונים בתבנית המיילים עכשיו. נא בדוק את הקובץ הלוג ונסה שוב."
"We can't find an email template to delete.","אינני יכולים למצוא את התבנית המייל למחיקה."
"Edit Template","ערוך תבנית"
"Edit System Template","עריכת תבנית מערכת"
"New Template","תבנית חדשה"
"New System Template","תבנית מערכת חדשה"
"Email Templates","תבניות אימייל"
"Email Preview","תצוגה מקדימה של דואר אלקטרוני"
"An error occurred. The email template can not be opened for preview.","אירעה שגיאה. לא ניתן לפתוח את תבנית הדואר האלקטרוני עבור תצוגה מקדימה."
"This email template no longer exists.","תבנית דואר אלקטרוני זו כבר לא קיימת."
"You saved the email template.","שמרת את תבנית דואר אלקטרוני."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","משתני תבנית"
"Please enter a template name.","אנא הזינו שם תבנית."
"Duplicate Of Template Name","שכפול של שם תבנית"
"Invalid transactional email code: %1","דוא""ל עסקה לא חוקי קוד: %1"
"Requested invalid store ""%1""","בקשת חנות לא תקינה ""%1"""
"""file"" parameter must be specified","יש לציין פרמטר ""קובץ"""
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","יש לציין פרמטר ""קובץ"" והוא אינו יכול להיות ריק"
"Design params must be set before calling this method","עיצוב הפרמטרים חייב להיות מוגדר לפני קריאה לפעולת השיטה"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","שגיאה בשורת ה-CSS:"
"Error filtering template: %s","שגיאה בסינון תבנית: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","נתוני השולח לא חוקיים"
"Title","כותרת"
"Load default template","Load default template"
"Template","תבנית"
"Are you sure you want to strip tags?","האם אתה בטוח שברצונך להסיר תגים?"
"Are you sure you want to delete this template?","האם אתה בטוח כי ברצונך למחוק את תבנית זו?"
"The template did not load. Please review the log for details.","התבנית לא נטענה. נא עיין בלוג לפרטים."
"Footer","כותרת תחתונה"
"Thank you, %store_name",". תודה לך, %store_name"
"Header","כותרת עליונה"
"Communications","תקשורת"
"No Templates Found","אין תבניות שנמצאו"
"ID","מזהה"
"Added","הוסף"
"Updated","עודכן"
"Subject","נושא"
"Template Type","סוג התבנית"
"Action","פעולה"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","תמונת לוגו"
"Logo Image Alt","Alt תמונת לוגו"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","נחוץ רק אם תמונה שהועלתה לעיל. הזן מספר פיקסלים, ללא צירוף ""px""."
"Logo Width","רוחב לוגו"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","נחוץ רק אם תמונה שהועלתה לעיל. הזן גודל גובה התמונה בפיקסלים ללא צירוף ""px""."
"Logo Height","גובה לוגו"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","תבנית הדואר האלקטרוני שנבחרה בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Header Template","כותרת התבנית"
"Footer Template","תבנית הכותרת התחתונה"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
