"Add New Template","නව සැකිල්ල එක් කරන්න"
"Transactional Emails","ගනුදෙනු ඊමේල්"
"Back","ආපසු"
"Reset","යළි පිහිටුවන්න"
"Delete Template","අච්චුව මකන්න"
"Convert to Plain Text","සරල පෙළ බවට පරිවර්තනය කරන්න"
"Return Html Version","Html අනුවාදය ආපසු දෙන්න"
"Preview Template","පෙරදසුන් අච්චුව"
"Save Template","සැකිල්ල සුරකින්න"
"Load Template","අච්චුව පැටවීම"
"Edit Email Template","ඊමේල් අච්චුව සංස්කරණය කරන්න"
"New Email Template","නව විද්‍යුත් තැපැල් අච්චුව"
"Default Config","පෙරනිමි වින්‍යාසය"
"Template Information","සැකිලි තොරතුරු"
"Currently Used For","දැනට භාවිතා වේ"
"Template Name","සැකිල්ල නම"
"Template Subject","සැකිලි විෂය"
"Insert Variable...","විචල්‍යය ඇතුළු කරන්න..."
"Template Content","සැකිලි අන්තර්ගතය"
"Template Styles","සැකිලි මෝස්තර"
"Preview","පෙරදසුන"
"Unknown","නොදන්නා"
"You deleted the email template.","ඔබ ඊමේල් අච්චුව මකා ඇත."
"The email template is currently being used.","ඊමේල් අච්චුව දැනට භාවිතා වේ."
"We can't delete email template data right now. Please review log and try again.","අපට දැන් ඊමේල් අච්චු දත්ත මකා දැමිය නොහැක. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"We can't find an email template to delete.","අපට මැකීමට ඊමේල් අච්චුවක් සොයාගත නොහැක."
"Edit Template","සැකිල්ල සංස්කරණය කරන්න"
"Edit System Template","පද්ධති සැකිල්ල සංස්කරණය කරන්න"
"New Template","නව සැකිල්ල"
"New System Template","නව පද්ධති සැකිල්ල"
"Email Templates","ඊමේල් සැකිලි"
"Email Preview","ඊමේල් පෙරදසුන"
"An error occurred. The email template can not be opened for preview.","දෝෂයක් සිදු විය. ඊමේල් අච්චුව පෙරදසුන සඳහා විවෘත කළ නොහැක."
"This email template no longer exists.","මෙම ඊමේල් අච්චුව තවදුරටත් නොපවතී."
"You saved the email template.","ඔබ ඊමේල් අච්චුව සුරකින ලදී."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","සැකිලි විචල්යයන්"
"Please enter a template name.","කරුණාකර අච්චු නමක් ඇතුළු කරන්න."
"Duplicate Of Template Name","සැකිල්ල නම අනුපිටපත"
"Invalid transactional email code: %1","වලංගු නොවන ගනුදෙනු ඊමේල් කේතය: %1"
"Requested invalid store ""%1""","වලංගු නොවන ගබඩාව ""%1"" ඉල්ලන ලදී"
"""file"" parameter must be specified","""file"" පරාමිතිය සඳහන් කළ යුතුය"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" පරාමිතිය සඳහන් කළ යුතු අතර හිස් නොවිය යුතුය"
"Design params must be set before calling this method","මෙම ක්රමය ඇමතීමට පෙර සැලසුම් පරාමිතීන් සැකසිය යුතුය"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS ඇතුළත් කිරීමේ දෝෂය:"
"Error filtering template: %s","අච්චු පෙරීමේ දෝෂයකි: %s"
"We're sorry, an error has occurred while generating this content.","අපට කණගාටුයි, මෙම අන්තර්ගතය උත්පාදනය කිරීමේදී දෝෂයක් සිදුවී ඇත."
"Invalid sender data","අවලංගු යවන්නාගේ දත්ත"
"Title","ශීර්ෂය"
"Load default template","Load default template"
"Template","සැකිල්ල"
"Are you sure you want to strip tags?","ඔබට ටැග් ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to delete this template?","ඔබට මෙම අච්චුව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"The template did not load. Please review the log for details.","අච්චුව පූරණය නොවීය. විස්තර සඳහා කරුණාකර ලොගය සමාලෝචනය කරන්න."
"Footer","පාදකය"
"Thank you, %store_name","ස්තූතියි, %store_name"
"Header","ශීර්ෂකය"
"Communications","සන්නිවේදන"
"No Templates Found","සැකිලි හමු නොවිණි"
"ID","හැඳුනුම්පත"
"Added","එකතු කරන ලදී"
"Updated","යාවත්කාලීන කරන ලදී"
"Subject","විෂය"
"Template Type","සැකිලි වර්ගය"
"Action","කටයුතු"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","ලාංඡන රූපය"
"Logo Image Alt","ලාංඡන රූපය Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","අවශ්‍ය වන්නේ ඉහත පින්තූරයක් උඩුගත කර ඇත්නම් පමණි. ""px"" එකතු නොකර පික්සල ගණන ඇතුලත් කරන්න."
"Logo Width","ලාංඡනය පළල"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","අවශ්‍ය වන්නේ ඉහත පින්තූරයක් උඩුගත කර ඇත්නම් පමණි. ""px"" එකතු නොකර පික්සල වලින් රූපයේ උස ප්‍රමාණය ඇතුළු කරන්න."
"Logo Height","ලාංඡනය උස"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට, තේමා පසුබැසීම මත පදනම්ව විද්‍යුත් තැපැල් අච්චුව තෝරා ගනු ලැබේ."
"Header Template","ශීර්ෂ අච්චුව"
"Footer Template","පාදක සැකිල්ල"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","සැලසුම් වින්යාසය සඳහා ප්රදේශයක් සහ ගබඩාවක් අවශ්ය වේ. දෙකම සකසා ඇති බව තහවුරු කර නැවත උත්සාහ කරන්න."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","අධි-විභේදන සංදර්ශක සඳහා ලාංඡනය ප්‍රශස්ත කිරීමට, සාමාන්‍ය ප්‍රමාණය 3x වන රූපයක් උඩුගත කරන්න, ඉන්පසු පහත පළල/උස ක්ෂේත්‍රවල 1x මානයන් සඳහන් කරන්න."
