"Change Encryption Key","Cambiar clave de cifrado"
"Encryption Key","Clave de cifrado"
"New Encryption Key","Nueva clave de cifrado"
"The encryption key is used to protect passwords and other sensitive data.","La clave de cifrado se utiliza para proteger las contraseñas y otros datos sensibles."
"Auto-generate a Key","Generar una clave"
"No","No 	"
"Yes","Sí"
"The generated key will be displayed after changing.","Se mostrará la clave generada después de cambiar."
"New Key","Nueva clave"
"Deployment configuration file is not writable.","Archivo de configuración de implementación no es escribible."
"Please enter an encryption key.","Por favor, introduzca una clave de cifrado."
"The encryption key has been changed.","Se cambió la clave de cifrado."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Esta es su nueva clave de cifrado: %1. ¡Asegúrese de escribirlo y cuidar de él!"
"Manage Encryption Key","Administrar Encryption Key"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Esta es su nueva clave de cifrado: <span style=""font-family:monospace;"">%1</span>. ¡Asegúrese de tomar nota y conservarla con cuidado!"
