"Change Encryption Key","Змінити ключ шифрування"
"Encryption Key","Ключ шифрування"
"New Encryption Key","Новий ключ шифрування"
"The encryption key is used to protect passwords and other sensitive data.","Ключ шифрування використовується для захисту паролів та інших конфіденційних даних."
"Auto-generate a Key","Автоматично згенерувати ключ"
"No","Ні"
"Yes","Так"
"The generated key will be displayed after changing.","Згенерований ключ буде показано після змін."
"New Key","Новий ключ"
"Deployment configuration file is not writable.","Файл конфігурації розгортання не доступний для запису."
"Please enter an encryption key.","Будь ласка, введіть ключ шифрування."
"The encryption key has been changed.","Ключ шифрування змінено."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Це ваш новий ключ шифрування: %1. Обов'язково запишіть та старанно збережіть його!"
"Manage Encryption Key","Керування ключем шифрування"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
