"Payment Type","Betalingstype"
"Transaction Type","Transaktionstype"
"Transaction ID","Transaktions-ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV verifikation"
"Address Verification","Address Verification"
"Email Verification","Email Verification"
"Mobile Verification","Mobile Verification"
"Phone Verification","Phone Verification"
"Card number","Kortnummer"
"Expiration Date","Udløbsdato"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","Desværre, men noget gik galt"
"Wrong response type","Wrong response type"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Authorize Only","Kun tillad"
"Authorize and Capture","Tillad og fasthold"
"Credit Card Type","Kreditkorttype"
"Credit Card Number","Kreditkortnummer"
"Card Verification Number","Kortnummer verifikation"
"eWAY","eWAY"
"Enabled","Aktiveret"
"Connection Type","Connection Type"
"Title","Titel"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","Betalingshandling"
"Debug","Fejlsøgning"
"Credit Card Types","Kreditkorttyper"
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Sort Order","Sorteringsrækkefølge"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Udstedelsesnummer"
"Start Date","Start dato"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
