"Payment Type","Makse tüüp"
"Transaction Type","Tehingu tüüp"
"Transaction ID","Tehingu ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV kontrollimine"
"Address Verification","Aadressi kontrollimine"
"Email Verification","Email Verification"
"Mobile Verification","Mobile Verification"
"Phone Verification","Phone Verification"
"Card number","Kaardi number"
"Expiration Date","Aegumiskuupäev"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","Vabandage, midagi läks valesti"
"Wrong response type","Wrong response type"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Authorize Only","Lubada ainult"
"Authorize and Capture","Lubada ja salvesta"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Number","Krediitkaardi number"
"Card Verification Number","Kaardi turvakood"
"eWAY","eWAY"
"Enabled","Lubatud"
"Connection Type","Connection Type"
"Title","Pealkiri"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","Makse tegevus"
"Debug","Silumine"
"Credit Card Types","Krediitkaardi tüübid"
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Sort Order","Sorteerimise järjekord"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Issue Number"
"Start Date","Alguskuupäev"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
