"Payment Type","Payment Type"
"Transaction Type","Transaction Type"
"Transaction ID","Transaction ID"
"BeagleScore","BeagleScore"
"CVV Verification","รหัส CVV"
"Address Verification","Address Verification"
"Email Verification","Email Verification"
"Mobile Verification","Mobile Verification"
"Phone Verification","Phone Verification"
"Card number","Card number"
"Expiration Date","วันหมดอายุ"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","ขออภัย! มีบางอย่างผิดปกติ"
"Wrong response type","Wrong response type"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Authorize Only","Authorize เท่านั้น"
"Authorize and Capture","Authorize และ Capture"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Card Verification Number","รหัสยืนยันของบัตร"
"eWAY","eWAY"
"Enabled","เปิดใช้งาน"
"Connection Type","Connection Type"
"Title","Title"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","Payment Action"
"Debug","Debug"
"Credit Card Types","ประเภทบัตรเครดิต"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","การเรียงลำดับ"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Issue Number"
"Start Date","วันที่เริ่มต้น"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
