"Europe First Priority","Europe First Priority"
"1 Day Freight","1 Day Freight"
"2 Day Freight","2 Day Freight"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"3 Day Freight","3 Day Freight"
"Express Saver","Express Saver"
"Ground","Ground"
"First Overnight","First Overnight"
"Home Delivery","Home Delivery"
"International Economy","International Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Freight"
"National Freight","National Freight"
"Regular Pickup","Regular Pickup"
"Request Courier","Request Courier"
"Drop Box","Drop Box"
"Business Service Center","Business Service Center"
"Station","Station"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Vaše balení"
"Not Required","Nepovinný"
"Adult","Adult"
"Direct","Přímé"
"Indirect","Nepřímé"
"Pounds","Libry"
"Kilograms","Kilogramy"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","Sledovací údaje momentálně nelze načíst."
"status","stav"
"Empty response","Žádná odpověď"
"None","Nic"
"Field ","Údaj "
" is required."," je povinný."
"FedEx","FedEx"
"Enabled for Checkout","Zapnuto v pokladně"
"Title","Název"
"Account ID","ID účtu"
"Please make sure to use only digits here. No dashes are allowed.","Zkontrolujte, zda jsou použity pouze číslice. Pomlčky nejsou povoleny."
"Meter Number","Pořadové číslo"
"Key","Klíč"
"Password","Heslo"
"Sandbox Mode","Režim izolovaného prostoru"
"Web-Services URL (Production)","URL adresa webové služby (ostrý provoz)"
"Web-Services URL (Sandbox)","URL adresa webové služby (sandbox)"
"Packages Request Type","Způsob požadovaného balení"
"Packaging","Balení"
"Dropoff","Vyzvednutí"
"Weight Unit","Jednotka hmotnosti"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximální hmotnost balení (maximální podporovanou přepravní hmotnost konzultujte přímo s přepravcem)"
"Calculate Handling Fee","Výpočet balného"
"Handling Applied","Balné použít"
"Handling Fee","Balné"
"Residential Delivery","Osobní doručení"
"Allowed Methods","Povolené způsoby"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Tento údaj je použitelný, pouze je-li zvolen způsob Smart Post."
"Free Method","Bezplatný způsob"
"Enable Free Shipping Threshold","Zapnout limit přepravného zdarma"
"Free Shipping Amount Threshold","Limit přepravného zdarma"
"Displayed Error Message","Zobrazená chybová zpráva"
"Ship to Applicable Countries","Doručení do dostupných zemí"
"Ship to Specific Countries","Doručení do zvolených zemí"
"Debug","Ladící režim"
"Show Method if Not Applicable","Zobrazit způsob, i když není použitelný"
"Sort Order","Řadit podle"
"Expected Delivery:","Expected Delivery:"
