"Europe First Priority","Európa elsőbbségi"
"1 Day Freight","1 napos szállítás"
"2 Day Freight","2 napos szállítás"
"2 Day","2 nap"
"2 Day AM","2 nap délelőtt"
"3 Day Freight","3 napos szállítás"
"Express Saver","Express Saver"
"Ground","Alap"
"First Overnight","First Overnight"
"Home Delivery","Házhozszállítás"
"International Economy","International Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Fuvar"
"National Freight","Belföldi fuvar"
"Regular Pickup","Normál felvétel"
"Request Courier","Futár kérés"
"Drop Box","Drop Box"
"Business Service Center","Business Service Center"
"Station","Station"
"FedEx Envelope","FedEx boríték"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Your Packaging"
"Not Required","Nem szükséges"
"Adult","Felnőtt"
"Direct","Közvetlen"
"Indirect","Közvetett"
"Pounds","Font"
"Kilograms","Kilogramm"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","állapot"
"Empty response","Üres válasz"
"None","Egyik sem"
"Field ","Mező "
" is required."," kötelező."
"FedEx","FedEx"
"Enabled for Checkout","Engedélyezve a pénztárnál"
"Title","Cím"
"Account ID","Fiókazonosító"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Meter Number"
"Key","Kulcs"
"Password","Jelszó"
"Sandbox Mode","Sandbox mód"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Csomagolás"
"Dropoff","Kiszállítás"
"Weight Unit","Súly mértékegysége"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","Kezelési költség kiszámítása"
"Handling Applied","Kezelés alatt"
"Handling Fee","Kezelési költség"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Alkalmazható módok"
"Hub ID","Hub azonosító"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Ingyenes mód"
"Enable Free Shipping Threshold","Ingyenes szállítás határértékének engedélyezése"
"Free Shipping Amount Threshold","Ingyenes szállítás határérték"
"Displayed Error Message","Megjelenített hibaüzenet"
"Ship to Applicable Countries","Szállítás az alkalmazható országokba"
"Ship to Specific Countries","Szállítás megadott országokba"
"Debug","Hibakeresés"
"Show Method if Not Applicable","Mód megjelenítése, ha nem alkalmazható"
"Sort Order","Rendezési sorrend"
"Expected Delivery:","Expected Delivery:"
