"Are you sure you want to delete this gift registry?","آیا مطمئن هستید که می خواهید این هدیه رجیستری را حذف کنید؟"
"Delete Registry","حذف رجیستری"
"Gift Registry Entity","هدیه ثبت نام"
"Product ID","شناسه محصول"
"Product","محصول"
"SKU","کد محصول"
"Price","قيمت"
"Quantity","تعداد"
"Total","مجموع"
"Add to Gift Registry","افزودن به هدیه رجیستری"
"Are you sure you want to add these products?","آیا مطمئن هستید که می خواهید این محصولات را اضافه کنید؟"
"Update Items and Quantities","اعمال تغییرات در نوع و تعداد محصولات"
"ID","شناسه"
"Requested","در خواست شده"
"Fulfilled","تکمیل شده"
"Note","یادداشت"
"Action","اقدام"
"Update Quantity","به روز رسانی تعداد"
"Remove Item","برداشتن آیتم"
"Sharing Information","اطلاعات تسهیم"
"Emails","ایمیل ها"
"Send From","ارسال از"
"Message","پیام"
"Share Gift Registry","اشتراک هدیه رجیستری"
"Gift Registry","هدیه رجیستری"
"Event","رویداد"
"Registrants","ثبت نام کننده ها"
"Event Date","تاریخ رویداد"
"Total Items","مجموع موارد"
"Remaining","باقی مانده"
"Public","عمومی"
"No","خیر"
"Yes","بله"
"Website","وب سایت"
"Gift Registry Types","انواع هدیه رجیستری"
"Add Gift Registry Type","افزودن نوع هدیه رجیستری"
"Save","ذخيره"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","اگر این نوع هدیه رجیستری را حذف کنید، رجیسترهای مشتری که از این نوع استفاده می کند نیز حذف می شوند. آیا می خواهید ادامه دهید؟"
"Delete","حذف"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Edit '%1' Gift Registry Type","ویرایش '%1' نوع هدیه رجیستری"
"New Gift Registry Type","نوع جدید هدیه رجیستری"
"Add Attribute","افزودن ویژگی"
"Delete Attribute","حذف ویژگی"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"Short","کوتاه"
"Medium","متوسط"
"Long","طولانی"
"Full","کامل"
"Add New Option","افزودن گزینه‌ جدید"
"Delete Option","حذف گزینه"
"General Information","اطلاعات عمومی"
"Code","کد"
"Label","برچسب"
"Sort Order","ترتيب سفارش"
"Is Listed","لیست شده است"
"Attributes","ویژگی‌ ها"
"[GLOBAL]","[سراسری]"
"[WEBSITE]","[وب‌سایت]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"None","هیچ یک"
"New Address","آدرس جدید"
"Edit Gift Registry","ویرایش هدیه رجیستری"
"Create Gift Registry","ایجاد هدیه رجیستری"
"State/Province","استان / شهرستان"
"Please select a region, state or province","لطفا یک منطقه، استان یا شهرستان انتخاب کنید"
"Please Select","لطفا انتخاب نمایید"
"View Gift Registry %1","نمایش هدیه رجیستری %1"
"Share '%1' Gift Registry","اشتراک '%1' هدیه رجیستری"
"-- Please select --","-- لطفا انتخاب نمایید --"
"From","از"
"To","به"
"Gift Registry Search","جستجوی هدیه رجیستری"
"Select Search Type","نوع جستجو را انتخاب کنید"
"Registrant","ثبت نام کننده"
"Registry owner","صاحب رجیستری"
"Please correct the  gift registry ID.","Please correct the  gift registry ID."
"Please correct the gift registry entity.","Please correct the gift registry entity."
"Shopping cart items have been added to gift registry.","محصولات موجود در سبد خرید به هدیه رجیستری اضافه شده است."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","محصولات مجازی ، قابل دانلود و محصولات کارت هدیه مجازی نمی توانند به هدیه رجیستری اضافه شوند."
"We can't add shopping cart items to the gift registry right now.","ما نمی توانیم آیتم های خرید سبد خرید را به هدیه رجیستری اضافه کنیم."
"You deleted this gift registry entity.","شما این هدیه رجیستری را حذف کردید."
"We couldn't delete this gift registry entity.","ما نمی توانیم این هدیه رجیستری را حذف کنیم."
"Customers","مشتریان"
"Edit '%1' Gift Registry","ویرایش '%1' هدیه رجیستری"
"Something went wrong while editing the gift registry.","در هنگام ویرایش هدیه رجیستری خطایی رخ داده است."
"Please enter at least one email address.","Please enter at least one email address."
"%1 email(s) were sent.","%1 ایمیل ارسال شد."
"We couldn't send '%1 of %2 emails.","ما نمی توانیم %1 از %2 ایمیل را ارسال کنیم."
"You updated this gift registry.","شما این هدیه رجیستری را به روز رسانی کردید."
"We can't update these gift registry items right now.","ما اکنون نمی توانیم این موارد هدیه رجیستری را به روز کنیم."
"You deleted the gift registry type.","شما نوع هدیه رجیستری را حذف کردید."
"We couldn't delete this gift registry type.","ما نمی توانیم این نوع هدیه رجیستری را حذف کنیم."
"%1","%1"
"Edit Type","ویرایش نوع"
"New Type","نوع جدید"
"You saved the gift registry type.","شما نوع هدیه رجیستری را ذخیره کردید."
"We can't save this gift registry type right now.","ما نمی توانیم این نوع هدیه رجیستری را در حال حاضر ذخیره کنیم."
"Page not found.","صفحه یافت نشد."
"Please correct the gift registry ID.","Please correct the gift registry ID."
"%1 item(s) have been added to the gift registry.","%1 مورد به هدیه رجیستری اضافه شده است."
"We have nothing to add to this gift registry.","ما هیچ چیزی برای افزودن به این هدیه رجیستری نداریم."
"You can't add virtual products, digital products or gift cards to gift registries.","شما نمی توانید محصولات مجازی، محصولات دیجیتال یا کارت هدیه را به هدیه رجیستری اضافه کنید."
"You deleted this gift registry.","شما این هدیه رجیستری را حذف کردید."
"Something went wrong while deleting the gift registry.","در هنگام حذف هدیه رجیستری خطایی رخ داده است."
"Please correct the gift registry.","Please correct the gift registry."
"Incorrect Type","Incorrect Type"
"Please correct the registrant data.","Please correct the registrant data."
"Address is empty.","Address is empty."
"Please select an address.","Please select an address."
"Please correct the address.","Please correct the address."
"You saved this gift registry.","شما این هدیه رجیستری را ذخیره کردید."
"We couldn't save this gift registry.","ما نمی توانیم این هدیه رجیستری را ذخیره کنیم."
"Gift Registry Items","موارد هدیه رجیستری"
"Something went wrong while sending email(s).","در هنگام ارسال ایمیل (ها) خطایی رخ داده است."
"Something went wrong while sharing the gift registry.","هنگام اشتراک گذاری هدیه رجیستری خطایی رخ داده است."
"You updated the gift registry items.","شما موارد هدیه رجیستری را به روز کردید."
"We couldn't update the gift registry.","ما نمی توانیم هدیه رجیستری را به روز کنیم."
"The wish list item has been added to this gift registry.","محصول موجود در لیست علاقه مندی به این هدیه رجیستری اضافه شده است."
"We couldn’t add your wish list items to your gift registry.","ما نمی توانیم موارد موجود در لیست علاقه مندی شما را به هدیه رجیستری اضافه کنیم."
"Please enter correct search options.","لطفا گزینه های جستجو درست را وارد کنید."
"Please enter at least 2 letters of the first name.","لطفا حداقل 2 حرف از نام را وارد کنید."
"Please enter at least 2 letters of the last name.","لطفا حداقل 2 حرف از نام خانوادگی وارد کنید."
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"Please enter a gift registry ID.","لطفا یک شناسه هدیه رجیستری وارد کنید."
"Please enter the quantity of items to add to cart.","لطفا تعداد موارد را برای افزودن به سبد خرید وارد کنید."
"We can't add this item to your shopping cart right now.","ما اکنون نمی توانیم این آیتم را به سبد خرید خود اضافه کنیم."
"Gift Registry Info","اطلاعات هدیه رجیستری"
"Please enter the ""%1"".","لطفا ""%1"" را وارد کنید."
"Please enter the correct ""%1"".","لطفا ""%1"" صحیح را وارد کنید."
"Custom Types","انواع سفارشی"
"Static Types","انواع ایستا"
"label","برچسب"
"Product has required options.","محصول دارای گزینه های الزامی است."
"You need to enter sender data.","شما باید داده های ارسال کننده را وارد کنید."
"Please add invitees.","لطفا مدعوین را اضافه کنید."
"You cannot send emails to more than %1 recipients at once","شما نمی توانید به بیش از %1 گیرنده ایمیل ارسال کنید"
"Please enter a valid invitee email address.","لطفا یک آدرس ایمیل معتبر برای مدعو وارد کنید."
"Please enter an invitee name.","لطفا نام مدعو را وارد کنید."
"You shared the gift registry for %1 emails.","شما هدیه رجیستری را برای %1 ایمیل به اشتراک گذاشتید."
"We couldn't share the registry.","ما نمی توانیم رجیستری را به اشتراک بگذاریم."
"Private","خصوصی"
"Inactive","غیرفعال"
"Active","فعال"
"Please enter the title.","لطفا عنوان را وارد کنید."
"Please enter the message.","لطفاً پیغام را وارد کنید."
"Please enter correct the Privacy setting.","لطفا تنظیمات خصوصی صحیح را وارد کنید."
"We cannot specify the product.","ما نمی توانیم محصول را مشخص کنیم."
"Please correct the  gift registry item quantity.","Please correct the  gift registry item quantity."
"Please correct the gift registry item ID.","Please correct the gift registry item ID."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","تعداد ""%1"" محصول اضافه شده به سبد خرید، بیش از تعداد مد نظر صاحب هدیه رجیستری است. تعداد اضافه شده طوری تنظیم شده است که مطابق با تعداد باقیمانده %2 باشد."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","تعداد موجود ""%1"" محصول در سبد خرید با تعداد درخواستی %2 جایگزین شده است."
"This product(s) is out of stock.","این محصول (ها) موجود نیست."
