"Are you sure you want to delete this gift registry?","Tem a certeza que deseja excluir esta lista de ofertas?"
"Delete Registry","Excluir registo"
"Gift Registry Entity","Entidade da Lista de Ofertas"
"Product ID","ID de produto"
"Product","Produto"
"SKU","REF"
"Price","Preço"
"Quantity","Quantidade"
"Total","Total"
"Add to Gift Registry","Adicionar à Lista de Ofertas"
"Are you sure you want to add these products?","Tem a certeza que quer adicionar estes produtos?"
"Update Items and Quantities","Atualizar Artigos e Quantidades"
"ID","Id."
"Requested","Solicitado"
"Fulfilled","Satisfeito"
"Note","Anotação"
"Action","Ação"
"Update Quantity","Atualizar Quantidade"
"Remove Item","Remover Item"
"Sharing Information","Informação de Partilha"
"Emails","Emails"
"Send From","Enviar a partir de"
"Message","Mensagem"
"Share Gift Registry","Partilhar Lista de Ofertas"
"Gift Registry","Lista de Ofertas"
"Event","Evento"
"Registrants","Registantes"
"Event Date","Data do Evento"
"Total Items","Total de Itens"
"Remaining","Restantes"
"Public","Pública"
"No","Não"
"Yes","Sim"
"Website","Site"
"Gift Registry Types","Tipos de Listas de Ofertas"
"Add Gift Registry Type","Adicionar Tipo de Lista de Ofertas"
"Save","Gravar"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Se apagar este tipo de lista de ofertas, também apagará todos as listas de clientes que utilizem este tipo. Deseja continuar?"
"Delete","Eliminar"
"Save and Continue Edit","Gravar e Continuar Edição"
"Edit '%1' Gift Registry Type","Editar Tipo de Lista de Ofertas '%1'"
"New Gift Registry Type","Novo Tipo de Lista de Ofertas"
"Add Attribute","Adicionar Atributo"
"Delete Attribute","Remover Atributo"
"Use Default Value","Usar o Valor Pré-definido"
"Short","Curto"
"Medium","Média"
"Long","Longo"
"Full","Completo"
"Add New Option","Adicionar Nova Opção"
"Delete Option","Apagar Opção"
"General Information","Informação Geral"
"Code","Código"
"Label","Etiqueta"
"Sort Order","Ordenação"
"Is Listed","Está Listado"
"Attributes","Atributos"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA DE LOJA]"
"None","Nenhum"
"New Address","Nova Morada"
"Edit Gift Registry","Editar Lista de Ofertas"
"Create Gift Registry","Criar Lista de Ofertas"
"State/Province","Concelho/Distrito"
"Please select a region, state or province","Por favor selecione a região, concelho ou distrito"
"Please Select","Por favor selecione"
"View Gift Registry %1","Ver Lista de Ofertas %1"
"Share '%1' Gift Registry","Partilhar Lista de Ofertas '%1'"
"-- Please select --","-- Por favor selecione --"
"From","De"
"To","Para"
"Gift Registry Search","Pesquisar Lista de Ofertas"
"Select Search Type","Selecione o tipo de pesquisa"
"Registrant","Registante"
"Registry owner","Proprietário da Lista"
"Please correct the  gift registry ID.","Please correct the  gift registry ID."
"Please correct the gift registry entity.","Please correct the gift registry entity."
"Shopping cart items have been added to gift registry.","Os itens do carrinho de compras foram adicionados à Lista de Ofertas."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Os produtos virtuais, com download e cartões de oferta não podem ser adicionados a listas de ofertas."
"We can't add shopping cart items to the gift registry right now.","De momento não é possível adicionar os itens do carrinho de compras à Lista de Ofertas."
"You deleted this gift registry entity.","Eliminou a entidade da Lista de Ofertas."
"We couldn't delete this gift registry entity.","Não foi possível eliminar a entidade da Lista de Ofertas."
"Customers","Clientes"
"Edit '%1' Gift Registry","Editar Lista de Ofertas '%1'"
"Something went wrong while editing the gift registry.","Algo correu mal ao editar a Lista de Ofertas."
"Please enter at least one email address.","Please enter at least one email address."
"%1 email(s) were sent.","Foram enviados %1 email(s)."
"We couldn't send '%1 of %2 emails.","Não conseguimos enviar '%1 de %2 emails."
"You updated this gift registry.","Atualizou esta Lista de Ofertas."
"We can't update these gift registry items right now.","De momento não é possível atualizar estes itens da Lista de Ofertas."
"You deleted the gift registry type.","Eliminou o tipo de Lista de Ofertas."
"We couldn't delete this gift registry type.","Não foi possível eliminar este tipo de Lista de Ofertas."
"%1","%1"
"Edit Type","Editar Tipo"
"New Type","Novo Tipo"
"You saved the gift registry type.","Gravou o tipo de Lista de Ofertas."
"We can't save this gift registry type right now.","De momento não é possível gravar este tipo de Lista de Ofertas."
"Page not found.","Página não encontrada."
"Please correct the gift registry ID.","Please correct the gift registry ID."
"%1 item(s) have been added to the gift registry.","%1 Item(ns) foram adicionados para à Lista de Ofertas."
"We have nothing to add to this gift registry.","Não existe nada para adicionar a esta Lista de Ofertas."
"You can't add virtual products, digital products or gift cards to gift registries.","Não pode adicionar produtos virtuais, produtos digitais ou cartões de oferta às listas de ofertas."
"You deleted this gift registry.","Eliminou esta Lista de Ofertas."
"Something went wrong while deleting the gift registry.","Algo correu mal ao eliminar a Lista de Ofertas."
"Please correct the gift registry.","Please correct the gift registry."
"Incorrect Type","Incorrect Type"
"Please correct the registrant data.","Please correct the registrant data."
"Address is empty.","Address is empty."
"Please select an address.","Please select an address."
"Please correct the address.","Please correct the address."
"You saved this gift registry.","Gravou esta Lista de Ofertas."
"We couldn't save this gift registry.","Não foi possível gravar esta Lista de Ofertas."
"Gift Registry Items","Itens da Lista de Ofertas"
"Something went wrong while sending email(s).","Algo correu mal ao enviar o(s) email(s)."
"Something went wrong while sharing the gift registry.","Algo correu mal durante a partilha da lista de ofertas."
"You updated the gift registry items.","Atualizou os itens da lista de ofertas."
"We couldn't update the gift registry.","Não foi possível atualizar a lista de ofertas."
"The wish list item has been added to this gift registry.","O item da lista de desejos foi adicionado a esta lista de ofertas."
"We couldn’t add your wish list items to your gift registry.","Não conseguimos adicionar os itens da sua lista de desejos à sua lista de ofertas."
"Please enter correct search options.","Por favor insira opções de pesquisa válidas."
"Please enter at least 2 letters of the first name.","Por favor insira pelo menos 2 letras do primeiro nome."
"Please enter at least 2 letters of the last name.","Por favor insira pelo menos 2 letras do último nome."
"Please enter a valid email address.","Por favor introduza um endereço de email válido."
"Please enter a gift registry ID.","Por favor insira um ID de lista de ofertas."
"Please enter the quantity of items to add to cart.","Por favor introduza a quantidade de itens para adicionar ao carrinho."
"We can't add this item to your shopping cart right now.","De momento não é possível adicionar este item ao seu carrinho de compras."
"Gift Registry Info","Informação da Lista de Ofertas"
"Please enter the ""%1"".","Por favor insira o ""%1""."
"Please enter the correct ""%1"".","Por favor insira o ""%1"" correto."
"Custom Types","Tipos Personalizados"
"Static Types","Tipos Estáticos"
"label","etiqueta"
"Product has required options.","O produto tem opções obrigatórias."
"You need to enter sender data.","Tem de introduzir os dados do remetente."
"Please add invitees.","Por favor adicione convidados."
"You cannot send emails to more than %1 recipients at once","Não pode enviar emails a mais do que %1 destinatários de uma só vez"
"Please enter a valid invitee email address.","Por favor insira um email de convidado válido."
"Please enter an invitee name.","Por favor insira um nome de convidado."
"You shared the gift registry for %1 emails.","Partilhou a lista de ofertas por %1 emails."
"We couldn't share the registry.","Não foi possível partilhar a lista."
"Private","Privada"
"Inactive","Inativo"
"Active","Ativo"
"Please enter the title.","Por favor insira o título."
"Please enter the message.","Por favor insira a mensagem."
"Please enter correct the Privacy setting.","Por favor corrija as definições de privacidade."
"We cannot specify the product.","Não conseguimos especificar o produto."
"Please correct the  gift registry item quantity.","Please correct the  gift registry item quantity."
"Please correct the gift registry item ID.","Please correct the gift registry item ID."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","A quantidade do produto adicionado ao carrinho de compras ""%1"" excede a quantidade desejada pelo(a) proprietário(a) da Lista de Ofertas. A quantidade adicionada foi ajustada para corresponder à quantidade restante %2."
