"Gift Wrapping","Pembungkus hadiah"
"Add Gift Wrapping","Tambahkan pebungkus hadiah"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Are you sure you want to delete this gift wrapping?","Yakin ingin menghapus pembungkus kado ini?"
"Edit Gift Wrapping ""%1""","Edit Pembungkus Kado ""%1"""
"New Gift Wrapping","Bungkus Kado Baru"
"Gift Wrapping Information","Informasi Pembungkus Kado"
"Gift Wrapping Design","Desain Bungkus Hadiah"
"Websites","Situs web"
"Status","Subjek"
"Enabled","Diaktifkan"
"Disabled","Dinonaktifkan"
"Price","Harga"
"Image","Gambar"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITUS WEB]"
"[STORE VIEW]","[LIHAT TOKO]"
"Please request the correct gift wrapping.","Mohon minta bungkus kado yang benar."
"You updated a total of %1 records.","Anda memperbarui total% 1 catatan."
"Something went wrong while updating the wrapping(s) status.","Ada yang tidak beres saat memperbarui status pembungkusnya(s)."
"You deleted the gift wrapping.","Anda menghapus pembungkus kado."
"%1","% 1"
"Please select items.","Please select items."
"You deleted a total of %1 records.","Anda menghapus total %1 catatan."
"You have not uploaded the image.","Anda belum mengunggah gambar."
"You saved the gift wrapping.","Anda menyimpan pembungkus kado."
"We can't save the gift wrapping right now.","Kita tidak bisa menyimpan pembungkus hadiah sekarang juga."
"We can't update the image right now.","Kami tidak dapat memperbarui gambar sekarang."
"Please select","Silahkan pilih"
"Excluding Tax","Tidak termasuk pajak"
"Including Tax","Termasuk pajak"
"Including and Excluding Tax","Termasuk dan tidak termasuk pajak"
"None","Tidak ada"
"The image content must be valid data.","Konten gambar harus data yang valid."
"The image extension ""%1"" not allowed.","Ekstensi gambar ""%1"" tidak diizinkan."
"Provided image name contains forbidden characters.","Nama gambar yang diberikan mengandung karakter terlarang."
"The image MIME type is not valid or not supported.","Jenis gambar MIME tidak valid atau tidak didukung."
"Gift Wrapping with specified ID ""%1"" not found.","Gift Wrapping with specified ID ""%1"" not found."
"Please enter valid currency code: %1","Please enter valid currency code: %1"
"Unable to remove gift wrapping %1","Unable to remove gift wrapping %1"
"Printed Card","Kartu cetak"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"Use Default Value","Gunakan Nilai Default"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Biarkan kotak kosong jika Anda tidak ingin menambahkan pembungkus kado untuk keseluruhan pesanan."
"Price Excl. Tax","Harga tidak Pajak"
"Price Incl. Tax","Harga termasuk Pajak"
"Send Gift Receipt","Kirim Hadiah Penerimaan"
"Add Printed Card","Tambahkan Printed Card"
"Gift Wrapping for the Entire Order","Gift Wrapping untuk Seluruh Order"
"Other Gift Options","Pilihan Hadiah Lainnya"
"Excl. Tax","Belum termasuk pajak"
"Incl. Tax","Incl. Pajak"
"Preview","Pratinjau"
"Gift wrapping","Pembungkus kado"
"Printed card","Kartu tercetak"
"Gift receipt","Tanda terima hadiah"
"Pick a paper of your choice (optional)","Pilihlah kertas pilihan Anda (opsional)"
"No image","Tidak ada gambar"
"Remove","Hapus"
"Gift Receipt","Tanda Terima Hadiah"
"Allow Gift Wrapping on Order Level","Biarkan Gift Wrapping di Tingkat Order"
"Allow Gift Wrapping for Order Items","Biarkan Gift Wrapping untuk Item Pemesanan"
"Allow Gift Receipt","Izinkan Hadiah Penerimaan"
"Allow Printed Card","Izinkan Kartu Cetak"
"Default Price for Printed Card","Harga Default untuk Printed Card"
"Tax Class for Gift Options","Kelas Pajak untuk Opsi Hadiah"
"Display Gift Wrapping Prices","Tampilkan Harga Bungkus Hadiah"
"Display Printed Card Prices","Menampilkan Harga Kartu Cetak"
"Delete","Hapus"
"Are you sure you want to delete the selected gift wrappings?","Yakin ingin menghapus bungkus kado yang dipilih?"
"Change Status","Ubah Status"
"ID","Id"
"Gift Wrap Design","Desain Bungkus Hadiah"
"Action","Tindakan"
"Edit","Ubah"
"Custom Price","Custom Price"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Gift wrapping with the %1 ID wasn't found. Verify the ID and try again.","Gift wrapping with the %1 ID wasn't found. Verify the ID and try again."
"A valid currency code wasn't entered. Enter a valid %1 currency code and try again.","A valid currency code wasn't entered. Enter a valid %1 currency code and try again."
"The ""%1"" gift wrapping couldn't be removed.","The ""%1"" gift wrapping couldn't be removed."
