"Dynamic","پویا"
"Constant","ثابت"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","مقدار داده شده در قسمت تغییر رنگ ""%1"" معتبر نیست. لطفا یک مقدار 6 رقمی هگزادسیمال را تنظیم کنید."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","مقدار داده شده در قسمت شناسه تغییر ""%1"" معتبر نیست. شناسه تغییر باید یک عدد صحیح باشد."
"Google AdWords","AdWords گوگل"
"Enable","فعال"
"Conversion ID","شناسه تغییر"
"Conversion Language","زبان تغییر"
"Conversion Format","فرمت تغییر"
"Conversion Color","رنگ تغییر"
"Conversion Label","برچسب تغییر"
"Conversion Value Type","نوع مقدار تغییر"
"Conversion Value","مقدار تغییر"
"Send Order Currency","ارسال سفارش ارز"
