"Dynamic","Dynaaminen"
"Constant","Jatkuva"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konversion ID ""%1"" ei ole kelvollinen. ID:n tulisi olla kokonaisluku."
"Google AdWords","Google AdWords"
"Enable","Käytä"
"Conversion ID","Conversion ID"
"Conversion Language","Conversion Language"
"Conversion Format","Conversion Format"
"Conversion Color","Conversion Color"
"Conversion Label","Conversion Label"
"Conversion Value Type","Conversion Value Type"
"Conversion Value","Conversion Value"
"Send Order Currency","Send Order Currency"
