"Dynamic","Dinamisks"
"Constant","Pastāvīgi"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Konversācijas krāsas Id nav pareizs ""%1"". Lietojiet heksadecimālu 6-simbolu vērtību."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konversācijas Id nav pareizs ""%1"". Konversācijas Id jābūt ciparam."
"Google AdWords","Google AdWords"
"Enable","Ieslēgt"
"Conversion ID","Konversācijas ID"
"Conversion Language","Konversācijas valoda"
"Conversion Format","Konversācijas formāts"
"Conversion Color","Konversācijas krāsa"
"Conversion Label","Konversācijas nosaukums"
"Conversion Value Type","Konversācijas vērtības veids"
"Conversion Value","Konversācijas vērtība"
"Send Order Currency","Send Order Currency"
