"Grouped Products","Grupperade produkter"
"Please specify the quantity of product(s).","Vänligen välj antalet produkter."
"Cannot process the item.","Kan inte bearbeta artikeln."
"Add Products to Group","Lägg till produkter i grupp"
"Cancel","Avbryt"
"Add Selected Products","Lägg till valda produkter"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","En grupperad produkt består av flera enskilda produkter som presenteras tillsammans som en grupp. Du kan erbjuda variationer av en produkt, eller gruppera produkter efter säsong eller tema för att skapa ett passande urval. Varje produkt kan köpas separat, eller som en del av gruppen."
"Remove","Ta bort"
"ID","ID"
"Thumbnail","Tumnagel"
"Name","Namn"
"Attribute Set","Attributgrupp"
"Status","Status"
"SKU","Art.nr"
"Price","Pris"
"Default Quantity","Förvalt Antal"
"Actions","Åtgärder"
"Associated Products","Relaterade produkter"
"Availability:","Tillgänglighet:"
"Out of stock","Ej i lager"
"Product Name","Produktnamn"
"Qty","Antal"
"No options of this product are available.","Det finns inget alternativ för denna produkt."
"There are no grouped products.","Det finns inga grupperade produkter."
"Default Qty","Förvalt Antal"
"Starting at","Från"
"Availability","Tillgänglighet"
"In stock","I lager"
"Grouped product items","Grupperade produktartiklar"
"Grouped Product Image","Grupperade Produktbilder"
"Select...","Välj..."
"Type","Typ"
"Quantity","Antal"
"AttributeSetText","AttributUppsättningText"
"StatusText","StatusText"
"Position","Position"
