"Export","Εξαγωγή"
"Export Settings","Ρυθμίσεις Εξαγωγής"
"Entity Type","Τύπος Οντότητας"
"Export File Format","Εξαγόμενη Μορφή Αρχείου"
"Fields Enclosure","Περίβλημα Πεδίων"
"From","Από"
"To","Έως"
"We can't filter an attribute with no attribute options.","Δεν μπορούμε να φιλτράρουμε ένα χαρακτηριστικό χωρίς επιλογές χαρακτηριστικού."
"Fixed Price: From","Σταθερή Τιμή: Από"
"Exclude","Εξαίρεση"
"Attribute Label","Ετικέτα Χαρακτηριστικού"
"Attribute Code","Κωδικός χαρακτηριστικού"
"Filter","Φίλτρο"
"Unknown attribute filter type","Άγνωστα τύπος φίλτρου χαρακτηριστικού"
"Download","Λήψη"
"Check Data","Έλεγχος Δεδομένων"
"Import","Εισαγωγή"
"Import Settings","Ρυθμίσεις Εισαγωγής"
"Import Behavior","Εισαγωγή συμπεριφοράς"
" "," "
"Stop on Error","Διακοπή σε Σφάλμα"
"Skip error entries","Παράβλεψη καταχωρήσεων σφάλματος"
"Allowed Errors Count","Μέτρηση Επιτρεπόμενων Σφαλμάτων"
"Please specify number of errors to halt import process","Παρακαλούμε να προσδιορίσετε αριθμό σφαλμάτων να σταματήσει η διαδικασία εισαγωγής"
"Field separator","Διαχωριστικό πεδίου"
"Multiple value separator","Διαχωριστικό Πολλαπλών Τιμών"
"Fields enclosure","Περίβλημα πεδίων"
"File to Import","Αρχείο για εισαγωγή"
"Select File to Import","Επιλέξτε το αρχείο για εισαγωγή"
"Images File Directory","Κατάλογος Αρχείου Εικόνων"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","Για τον τύπο ""Τοπικού διακομιστή"" χρησιμοποιείστε σχετική διαδρομή σε εγκατάσταση Magento, π.χ. η var/export, η var/import, η var/export/καποιος/φάκελος"
"Download Sample File","Κατεβάστε το αρχείο δείγματος"
"Please correct the data sent value.","Παρακαλώ διορθώστε τα απεσταλμένα δεδομένα."
"Import/Export","Εισαγωγή/Εξαγωγή"
"History","Ιστορικό"
"Import History","Ιστορικό Εισαγωγών"
"Import history","ιστορικό εισαγωγών"
"There is no sample file for this entity.","Δεν υπάρχει κανένα δείγμα αρχείου για αυτήν την οντότητα."
"Status","Κατάσταση"
"Maximum error count has been reached or system error is occurred!","Μέγιστο σφάλμα καταμέτρησης έχει επιτευχθεί ή Παρουσιάστηκε σφάλμα συστήματος!"
"Import successfully done","Εισαγωγή έγινε με επιτυχία"
"Sorry, but the data is invalid or the file is not uploaded.","Συγγνώμη, αλλά τα δεδομένα δεν είναι έγκυρα ή το αρχείο δεν φορτώθηκε."
"The file was not uploaded.","Το αρχείο δεν φορτώθηκε."
"Data validation failed. Please fix the following errors and upload the file again.","Απέτυχε η επικύρωση δεδομένων. Παρακαλώ διορθώστε τα παρακάτω σφάλματα και να αποστείλετε το αρχείο ξανά."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Ελέχθηκαν σειρές: %1, ελέχθηκαν οντότητες: %2, σειρές μη έγκυρες: %3, σύνολο σφαλμάτων: %4"
"This file is empty. Please try another one.","Αυτό το αρχείο είναι κενό. Παρακαλώ δοκιμάστε ένα άλλο."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Διορθώστε τα σφάλματα και ανεβάστε ξανά το αρχείο ή απλά πατήστε το κουμπί ""Εισαγωγή"" για να παραλείψετε τις σειρές με σφάλματα"
"File is valid! To start import process press ""Import"" button","Το αρχείο είναι έγκυρο! Για να ξεκινήσετε τη διαδικασία εισαγωγής πατήστε κουμπί ""Εισαγωγή"""
"The file is valid, but we can't import it for some reason.","Το αρχείο είναι έγκυρο, αλλά δεν μπορούμε να το εισάγουμε για κάποιο λόγο."
"Show more","Προβολή περισσότερων"
"Additional data","Πρόσθετα δεδομένα"
"Following Error(s) has been occurred during importing process:","Τα επόμενα σφάλματα έχουν επέλθει κατά τη διάρκεια της διαδικασίας εισαγωγής:"
"Only the first 100 errors are shown. ","Εμφανίζονται μόνο τα πρώτα 100 σφάλματα. "
"Download full report","Κατεβάστε την πλήρη έκθεση"
"in row(s):","στη σειρά(ές):"
"Make sure your file isn't more than %1M.","Βεβαιωθείτε ότι το αρχείο δεν είναι περισσότερο από %1M."
"We can't provide the upload settings right now.","Δεν μπορούμε να παρέχουμε τις ρυθμίσεις για τη μεταφόρτωση αυτή τη στιγμή."
"Created: %1, Updated: %2, Deleted: %3","Δημιουργήθηκαν: %1, Ενημερώθηκαν: %2, Διαγράφηκαν: %3"
"Please enter a correct entity model.","Παρακαλούμε εισάγετε ένα σωστό μοντέλο οντότητας."
"The entity adapter object must be an instance of %1 or %2.","Το αντικείμενο μοντέλου προσαρμογέα πρέπει να είναι μια παρουσία από %1 ή %2."
"The input entity code is not equal to entity adapter code.","Ο κωδικός οντότητας εισόδου δεν είναι ίσος με κωδικό οντότητας προσαρμογέα."
"Please enter a correct entity.","Παρακαλούμε εισάγετε μια σωστή οντότητα."
