"Invitations","ආරාධනා"
"Add Invitations","ආරාධනා එකතු කරන්න"
"New Invitations","නව ආරාධනා"
"Invitations Information","ආරාධනා තොරතුරු"
"Enter Each Email on New Line","නව පේළියේ සෑම විද්‍යුත් තැපෑලක්ම ඇතුළත් කරන්න"
"Message","පණිවුඩය"
"Send From","වෙතින් යවන්න"
"Invitee Group","ආරාධිත කණ්ඩායම"
"Reset","යළි පිහිටුවන්න"
"Save","සුරකින්න"
"View Invitation for %1 (ID: %2)","%1 සඳහා ආරාධනා බලන්න (ID: %2)"
"Back","ආපසු"
"Discard Invitation","ආරාධනාව ඉවතලන්න"
"Are you sure you want to discard this invitation?","ඔබට මෙම ආරාධනාව ඉවත දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Save Invitation","ආරාධනාව සුරකින්න"
"Send Invitation","ආරාධනා පත්‍රය යවන්න"
"General","ජනරාල්"
"Default from System Configuration","පද්ධති වින්‍යාසයෙන් පෙරනිමිය"
"N/A","N/A"
"Status History","තත්ව ඉතිහාසය"
"Customers","පාරිභෝගිකයන්"
"Order Conversion Rate","ඇණවුම් පරිවර්තන අනුපාතය"
"We can't find this invitation.","අපට මෙම ආරාධනාව සොයාගත නොහැක."
"Please select invitations.","කරුණාකර ආරාධනා තෝරන්න."
"We discarded %1 of %2 invitations.","අපි ආරාධනා %2 න් %1 ක් ඉවත දැමුවෙමු."
"We skipped %1 of the selected invitations.","අපි තෝරාගත් ආරාධනාවලින් %1 ක් මඟ හැරියෙමු."
"Something went wrong while sending invitations.","ආරාධනා යැවීමේදී යම් දෙයක් වැරදී ඇත."
"No invitations have been resent.","කිසිදු ආරාධනාවක් යවා නැත."
"You sent %1 of %2 invitation(s).","ඔබ ආරාධනා (ය) %2 කින් %1 ක් යවා ඇත."
"Something went wrong while sending %1 invitations.","ආරාධනා %1 ක් යවන අතරතුර යම් දෙයක් වැරදී ඇත."
"We discarded %1 invitation(s) addressed to current customers.","වත්මන් පාරිභෝගිකයන් වෙත යොමු කර ඇති ආරාධනා (ය) අපි ඉවත %1."
"Please specify at least one email address.","කරුණාකර අවම වශයෙන් එක් ඊමේල් ලිපිනයක් සඳහන් කරන්න."
"We sent %1 invitation(s).","අපි ආරාධනා %1 ක් යැව්වා."
"Something went wrong while sending %1 of %2 invitations.","ආරාධනා %2 කින් %1 ක් යවන අතරතුර යම් දෙයක් වැරදී ඇත."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","මෙම විද්‍යුත් තැපැල් ලිපින සඳහා පාරිභෝගික ගිණුම් දැනටමත් පවතින නිසා ආරාධනා %1 ක් යවා නැත."
"The invitation has been saved.","ආරාධනාව සුරැකී ඇත."
"Reports","වාර්තා"
"Invitation Report by Customers","පාරිභෝගිකයින් විසින් ආරාධනා වාර්තාව"
"Invited Customers Report","ආරාධිත පාරිභෝගික වාර්තාව"
"General Report","සාමාන්ය වාර්තාව"
"Invitations Report","ආරාධනා වාර්තාව"
"Invitation Report by Order Conversion Rate","ඇණවුම් පරිවර්තන අනුපාතය අනුව ආරාධනා වාර්තාව"
"Conversion Rate Report","පරිවර්තන අනුපාත වාර්තාව"
"The wrong customer account is specified.","වැරදි පාරිභෝගික ගිණුමක් සඳහන් කර ඇත."
"Please enter a correct confirmation key.","කරුණාකර නිවැරදි තහවුරු කිරීමේ යතුරක් ඇතුළත් කරන්න."
"Bad request.","නරක ඉල්ලීම."
"Your invitation is not valid. Please create an account.","ඔබගේ ආරාධනාව වලංගු නැත. කරුණාකර ගිණුමක් සාදන්න."
"Your invitation is not valid. Please contact us at %1.","ඔබගේ ආරාධනාව වලංගු නැත. කරුණාකර %1ට අප හා සම්බන්ධ වන්න."
"We can't save this customer.","අපට මෙම පාරිභෝගිකයා බේරා ගත නොහැක."
"Page not found.","පිටුව හමු නොවීය."
"My Invitations","මගේ ආරාධනා"
"Invalid Form Key. Please refresh the page.","වලංගු නොවන පෝරම යතුර. කරුණාකර පිටුව නැවුම් කරන්න."
"You sent the invitation for %1.","ඔබ %1සඳහා ආරාධනාව යවා ඇත."
